Zila/Division,,2015-16,,2016-17,,2017-18,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,322,166,320,173,331,1132
2,Barishal,1688,2991,1667,2971,1668,3219
3,Bhola,484,1054,498,1116,513,1178
4,Jhallokati,2621,6761,2795,7358,2824,7461
5,Patuakhali,565,1744,522,1611,764,3343
6,Pirojpur,3170,13427,3238,14026,3240,14034
1,Barishal,8850,26143,9040,27255,9340,30367
7,Bandarban,3806,18310,3736,18093,3736,18093
8,Brahmanbaria,349,1641,357,1679,373,1685
9,Chandpur,956,4931,975,5142,956,4995
10,Chattogram,2861,14823,2980,14817,2980,14611
11,Cumilla,930,4872,896,4663,847,4545
12,Cox's Bazar,886,3213,886,3213,888,3213
13,Feni,574,2900,575,2874,581,2880
14,Khagrachhari,5409,17625,5642,18797,5870,22260
15,Laksmipur,3240,9105,3175,8915,3226,9024
16,Noakhali,1142,3321,1252,2549,1465,1351
17,Rangamati,9517,44240,9356,43559,9072,40463
2,Chattogram,29670,124981,29830,124301,29994,123120
18,Dhaka,508,3498,549,3837,518,3370
19,Faridpur,1391,14674,1435,15756,1467,13460
20,Gazipur,1040,6426,1042,6452,1066,6609
21,Gopalganj,961,5756,959,5712,959,5712
22,Kishorganj,1477,11016,1492,11219,1468,11084
23,Madaripur,1348,10703,1375,10793,1375,11793
24,Manikganj,550,1342,554,1332,563,1352
25,Munshiganj,133,494,142,504,150,556
26,Narayanganj,211,1066,217,1109,204,1047
27,Narsingdi,4229,33094,3806,26992,4029,32128
28,Rajbari,1000,6467,808,5379,1246,5843
29,Shariatpur,391,1481,430,1642,400,1417
30,Tangail,11599,90548,11669,92888,11611,90685
3,Dhaka,33028,239058,24478,183615,25056,185056
31,Bagerhat,1900,7605,2068,8108,1980,8392
32,Chuadanga,1464,17635,1500,18045,1522,18211
33,Jashore,1909,10358,1925,10424,1911,6680
34,Jhenaidah,6679,43039,7945,50522,8204,51674
35,Khulna,1279,5098,1309,5377,1339,5554
36,Kushtia,3835,38592,3878,38988,3928,39914
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,1415,12751,1415,13075,1545,13962
38,Meherpur,1885,27621,1943,28557,1943,28557
39,Narail,552,3942,574,4040,579,3989
40,Satkhira,999,4234,945,4578,973,5627
4,Khulna,21917,170875,23502,181714,23924,182560
41,Jamalpur,1704,9089,2177,11557,2104,12259
42,Mymensing,5348,35293,5324,37449,5244,37398
43,Netrakona,591,5077,768,5183,809,4300
44,Sherpur,547,3034,570,3169,572,3197
5,Mymensing,8190,52493,8839,57358,8729,57154
45,Bogura,1904,13613,2242,14116,2310,17954
46,Joypurhat,393,3151,397,3158,393,3149
47,Naogaon,1549,13094,1536,13116,1523,12492
48,Natore,690,6651,744,7030,773,7193
49,Chapai Nawabganj,276,9096,209,2090,312,2410
50,Pabna,617,4564,673,4784,707,5209
51,Rajshahi,4449,45174,4675,46903,4528,45735
52,Sirajganj,591,5077,718,6407,733,6520
6,Rajshahi,10469,100420,11194,97604,11279,100662
53,Dinajpur,2904,25059,2862,25038,2803,26769
54,Gaibandha,3596,65534,3565,65109,3396,61353
55,Kurigram,501,5285,508,4938,518,5015
56,Lalmonirhat,280,3147,280,3120,255,2796
57,Nilphamari,394,3362,397,3407,414,3548
58,Panchagarh,348,4230,357,4326,371,4485
59,Rangpur,2305,18976,2316,16936,2345,15978
60,Thakurgaon,1089,5992,1105,6651,1129,5682
7,Rangpur,11417,131585,11390,129525,11231,125626
61,Habiganj,309,774,298,807,277,717
62,Maulvibazar,187,687,261,1088,263,1388
63,Sunamganj,314,1772,312,1882,313,1882
64,Sylhet,998,1717,1059,1955,978,1815
8,Sylhet,1808,4950,1930,5732,1831,5802
,BANGLADESH,117159,798012,120203,807104,121384,810347
