Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
37,Magura,504,628,621,3197,3464,3473,3941,4425,5518,7138,7889,8991
38,Meherpur,440,4441,4448,7595,6095,6530,3564,1889,2161,11159,7984,8691
39,Narail,539,547,559,3455,3578,3754,8924,9777,10148,12379,13355,13902
40,Satkhira,1183,1080,1061,3816,4355,3999,5329,10818,4546,9145,15173,8545
4,Khulna,7545,11437,8928,47367,46474,47752,75459,86134,84337,122826,132608,132089
41,Jamalpur,13,16,21,149,170,225,8791,9801,9508,8940,9971,9733
42,Mymensing,231,250,136,1314,1414,1282,25879,26584,24810,27193,27998,26092
43,Netrakona,2,2,3,14,14,15,14749,15302,1544,14763,15316,1559
44,Sherpur,11,11,11,73,74,76,9467,9965,10286,9540,10039,10362
5,Mymensing,257,279,171,1550,1672,1598,58886,61652,46148,60436,63324,47746
45,Bogura,0,53,53,368,466,435,16686,20947,21984,17054,21413,22419
46,Joypurhat,103,96,98,363,453,313,3673,5324,3749,4036,5777,4062
47,Naogaon,1754,1754,11104,7100,7100,9843,14219,14219,12975,21319,21319,22818
48,Natore,1876,1887,1896,18732,13693,13077,50937,55513,53398,69669,69206,66475
49,Chapai Nawabganj,44661,44968,50412,"15173
2",145990,185604,15171,15357,17917,166903,161347,203521
50,Pabna,1675,1718,1568,3261,9235,7291,24751,20935,26334,28012,30170,33625
51,Rajshahi,21767,22054,22442,"14974
7",138930,148343,"12731
1",58385,93956,277058,197315,242299
52,Sirajganj,37,142,41,185,163,189,33591,25883,25903,33776,26046,26092
6,Rajshahi,71873,72672,87614,"33148
8",316030,365095,"28633
9",216563,256216,617827,532593,621311
53,Dinajpur,1811,2081,2106,11084,11788,12340,22177,227044,41071,33261,238832,53411
54,Gaibandha,3,10,9,15,20,36,6334,8637,8284,6349,8657,8320
55,Kurigram,77,75,41,525,684,213,9084,9378,10604,9609,10062,10817
56,Lalmonirhat,219,258,270,1079,1232,1193,4351,4817,4703,5430,6049,5896
57,Nilphamari,278,280,279,1282,1341,1300,6642,7267,7291,7924,8608,8591
58,Panchagarh,509,514,515,2590,2656,2632,9089,9161,9109,11679,11817,11741
59,Rangpur,735,918,955,2707,4014,419,15134,15552,18217,17841,19566,18636
60,Thakurgaon,1098,1138,1474,13851,7863,8324,34830,19355,17841,48681,27218,26165
7,Rangpur,4730,5274,5649,33133,29598,26457,"10764
1",301211,117120,140774,330809,143577
61,Habiganj,37,40,42,33,84,106,7979,9593,10174,8012,9677,10280
62,Maulvibazar,62,62,64,142,176,173,6422,6542,6085,6564,6718,6258
63,Sunamganj,0,0,0,0,0,0,15813,14485,10945,15813,14485,10945
64,Sylhet,88,114,113,98,112,100,4656,4661,4509,4754,4773,4609
8,Sylhet,187,216,219,273,372,379,34870,35281,31713,35143,35653,32092
,BANGLADESH,93480,102939,109584,437449,416993,463644,724236,871322,702160,1161685,1288315,1165804
