Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
1,Barguna,337,7,96,80,69,469,439,555,329,519,624,798
2,Barishal,23,16,173,193,270,290,1537,1521,1605,1730,1791,1895
3,Bhola,0,0,46,0,0,0,497,3409,699,497,3409,699
4,Jhallokati,0,0,24,0,0,0,345,792,213,345,792,213
5,Patuakhali,0,0,98,0,0,50,809,845,1168,809,845,1218
6,Pirojpur,21,21,82,138,145,157,465,476,584,603,621,741
1,Barishal,381,44,518,411,484,966,4092,7598,4598,4503,8082,5564
7,Bandarban,117,117,82,1294,1294,1328,849,863,829,2143,2157,2157
8,Brahmanbaria,0,0,28,0,0,0,417,461,498,417,461,498
9,Chandpur,3,3,117,78,81,91,1976,1984,2154,2054,2065,2245
10,Chattogram,30,127,238,347,470,469,2885,2495,2569,3232,2965,3038
11,Cumilla,2,1,151,31,12,12,1982,1931,1931,2013,1943,1943
12,Cox's Bazar,94,94,83,590,590,590,1400,1400,1400,1990,1990,1990
13,Feni,0,0,59,0,0,0,661,727,674,661,727,674
14,Khagrachhari,120,132,156,852,89,973,1182,2066,1348,2034,2155,2321
15,Laksmipur,28,26,258,936,100,0,2741,3411,3395,3677,3511,3395
16,Noakhali,0,35,119,376,799,1772,2343,4074,1830,2719,4873,3602
17,Rangamati,171,18,358,2732,2852,2729,2390,2391,2524,5122,5243,5253
2,Chattogram,565,553,1650,7236,6287,7964,18826,21803,19152,26062,28090,27116
18,Dhaka,48,643,133,649,349,1015,1278,2049,1231,1927,2398,2246
19,Faridpur,10,110,100,104,104,98,568,564,574,672,668,672
20,Gazipur,81,94,183,1020,1394,1062,619,715,519,1639,2109,1581
21,Gopalganj,12,19,203,271,267,173,765,991,1085,1036,1258,1258
22,Kishorganj,7,8,74,152,176,210,930,980,886,1082,1156,1096
23,Madaripur,8,8,202,812,812,812,2388,2388,2388,3200,3200,3200
24,Manikganj,10,9,94,159,76,120,1068,1128,1142,1227,1204,1262
25,Munshiganj,387,3,42,26,24,24,852,439,439,878,463,463
26,Narayanganj,14,859,85,166,260,159,947,714,737,1113,974,896
27,Narsingdi,112,98,131,819,656,656,456,594,594,1275,1250,1250
28,Rajbari,367,63,120,676,482,616,337,647,648,1013,1129,1264
29,Shariatpur,0,0,121,0,0,0,1061,1942,1941,1061,1942,1941
30,Tangail,28,28,360,541,608,542,3048,3239,3359,3589,3847,3901
3,Dhaka,1084,1942,1847,5395,5208,5487,14317,16390,15543,19712,21598,21030
31,Bagerhat,29,22,85,90,52,72,490,470,655,580,522,727
32,Chuadanga,97,67,73,1597,1920,1397,302,657,533,1899,2577,1930
33,Jashore,90,92,143,1598,1639,1638,1519,1483,1530,3117,3122,3168
34,Jhenaidah,56,46,76,527,642,1288,692,796,881,1219,1438,2169
35,Khulna,46,49,112,284,257,249,834,906,869,1118,1163,1118
36,Kushtia,42,47,166,1183,1273,14,4569,4201,3074,5752,5474,3088
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
37,Magura,22,20,106,734,725,814,1682,1873,2183,2416,2598,2997
38,Meherpur,26,33,48,367,459,379,353,418,769,720,877,1148
39,Narail,6,7,45,97,107,102,1385,1355,1411,1482,1462,1513
40,Satkhira,80,22,242,666,667,855,1251,1421,1219,1917,2088,2074
4,Khulna,494,405,1095,7143,7741,6808,13077,13580,13124,20220,21321,19932
41,Jamalpur,44,43,164,472,405,453,2541,2652,992,3013,3057,1445
42,Mymensing,1417,36,264,806,617,353,1659,2340,2966,2465,2957,3319
43,Netrakona,0,2,56,42,44,45,746,816,847,788,860,892
44,Sherpur,4,8,115,625,336,216,677,1336,1229,1302,1672,1445
5,Mymensing,1465,89,599,1945,1402,1067,5623,7144,6034,7568,8546,7101
45,Bogura,150,190,269,1762,2896,2640,1621,1725,1457,3383,4621,4097
46,Joypurhat,16,16,47,327,30,398,187,541,225,514,571,623
47,Naogaon,5,4,78,103,107,129,1590,1644,1672,1693,1751,1801
48,Natore,4822,62,258,3154,4860,5616,17682,9100,10816,20836,13960,16432
49,Chapai Nawabganj,18,27,50,233,266,378,493,567,556,726,833,934
50,Pabna,54,52,427,811,754,755,3290,3730,3715,4101,4484,4470
51,Rajshahi,312,312,262,4480,4463,2836,2733,2665,4067,7213,7128,6903
52,Sirajganj,0,1,224,60,73,58,2955,2989,2622,3015,3062,2680
6,Rajshahi,5377,664,1616,10930,13449,12810,30551,22961,25130,41481,36410,37940
53,Dinajpur,29,25,153,189,458,389,1300,1119,1373,1489,1577,1762
54,Gaibandha,281,4,158,419,428,1543,857,861,306,1276,1289,1849
55,Kurigram,9,10,112,52,55,128,615,770,1302,667,825,1430
56,Lalmonirhat,9,10,48,175,203,260,546,640,572,721,843,832
57,Nilphamari,6,20,84,73,78,166,980,627,1112,1053,705,1278
58,Panchagarh,14,14,54,142,132,402,935,888,568,1077,1020,970
59,Rangpur,27,31,99,367,350,395,947,942,923,1314,1292,1318
60,Thakurgaon,5,112,36,28,36,35,383,461,487,411,497,522
7,Rangpur,380,226,743,1445,1740,3318,6563,6308,6643,8008,8048,9961
61,Habiganj,5,5,21,98,156,162,398,315,317,496,471,479
62,Maulvibazar,0,0,70,0,0,0,990,1001,1009,990,1001,1009
63,Sunamganj,0,0,41,0,0,0,663,667,688,663,667,688
64,Sylhet,10,14,51,110,63,61,558,350,717,668,413,778
8,Sylhet,15,19,183,208,219,223,2609,2333,2731,2817,2552,2954
,BANGLADESH,9761,3942,8251,34713,36530,38643,95658,98117,92955,130371,134647,131598
