Zila/Division,,2015-16,,2016-17,,2017-18,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,185,513,183,356,189,410
2,Barishal,320,1586,293,1002,306,1019
3,Bhola,1095,5578,795,3053,777,3131
4,Jhallokati,75,184,87,247,88,248
5,Patuakhali,248,372,229,332,237,332
6,Pirojpur,460,3228,271,1675,273,1709
1,Barishal,2383,11461,1858,6665,1870,6849
7,Bandarban,73,204,70,196,70,196
8,Brahmanbaria,107,450,109,459,89,417
9,Chandpur,157,740,151,599,142,458
10,Chattogram,641,2377,650,2351,645,2414
11,Cumilla,808,5501,712,4909,531,3512
12,Cox's Bazar,282,1766,283,1766,283,1766
13,Feni,62,120,50,98,13,33
14,Khagrachhari,39,96,41,100,33,77
15,Laksmipur,120,188,119,147,69,250
16,Noakhali,162,914,120,577,99,487
17,Rangamati,67,303,65,304,70,320
2,Chattogram,2518,12659,2370,11506,2044,9930
18,Dhaka,30,99,30,100,29,96
19,Faridpur,735,4235,767,4356,735,4235
20,Gazipur,28,83,24,66,24,64
21,Gopalganj,344,3705,344,3705,368,3859
22,Kishorganj,20,44,19,40,20,64
23,Madaripur,216,1623,196,1465,198,1468
24,Manikganj,161,434,165,448,165,441
25,Munshiganj,123,764,129,773,131,836
26,Narayanganj,81,471,64,365,63,363
27,Narsingdi,59,333,75,408,76,416
28,Rajbari,564,2932,107,660,364,1829
29,Shariatpur,125,206,140,270,161,276
30,Tangail,100,313,102,318,102,311
3,Dhaka,2586,15242,2162,12974,2436,14258
31,Bagerhat,209,941,203,883,240,900
32,Chuadanga,95,478,101,506,112,579
33,Jashore,190,623,176,571,171,566
34,Jhenaidah,72,218,109,344,109,343
35,Khulna,121,355,132,327,108,324
36,Kushtia,121,560,110,485,100,420
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,33,105,32,100,33,109
38,Meherpur,12,60,12,60,12,60
39,Narail,196,573,181,527,142,536
40,Satkhira,0,0,0,0,0,0
4,Khulna,1049,3913,1056,3803,1027,3837
41,Jamalpur,64,203,64,211,87,245
42,Mymensing,68,252,64,207,57,191
43,Netrakona,52,196,49,184,55,191
44,Sherpur,57,210,65,244,23,100
5,Mymensing,241,861,242,846,222,727
45,Bogura,73,259,82,255,75,251
46,Joypurhat,42,140,43,137,43,137
47,Naogaon,55,215,60,217,61,218
48,Natore,350,1441,354,1454,325,1388
49,Chapai Nawabganj,12,60,15,79,18,95
50,Pabna,446,1946,447,1915,471,1945
51,Rajshahi,22,95,22,91,16,58
52,Sirajganj,66,245,77,292,76,282
6,Rajshahi,1066,4401,1100,4440,1085,4374
53,Dinajpur,69,200,62,179,65,178
54,Gaibandha,84,199,81,191,68,165
55,Kurigram,13,39,13,38,10,30
56,Lalmonirhat,0,0,0,0,0,0
57,Nilphamari,11,11,12,12,4,4
58,Panchagarh,0,0,0,0,0,0
59,Rangpur,41,106,45,117,50,123
60,Thakurgaon,68,72,70,77,88,95
7,Rangpur,286,627,283,614,285,595
61,Habiganj,19,49,24,63,25,68
62,Maulvibazar,2,3,2,3,2,3
63,Sunamganj,5,8,4,5,5,6
64,Sylhet,12,46,13,40,21,56
8,Sylhet,38,106,43,111,53,133
,BANGLADESH,10167,49270,9114,40959,9022,40703
