Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
1,Barguna,0,0,0,0,0,0,50,24,0,50,24,0
2,Barishal,0,0,0,0,0,0,415,347,0,415,347,579
3,Bhola,0,0,0,0,0,0,173,104,0,173,104,156
4,Jhallokati,0,0,0,0,0,0,43,47,0,43,47,238
5,Patuakhali,0,0,0,0,0,0,451,545,0,451,545,591
6,Pirojpur,0,0,0,0,0,0,198,215,0,198,215,2110
1,Barishal,0,0,0,0,0,0,1330,1282,0,1330,1282,1774
7,Bandarban,0,0,0,0,0,0,0,0,0,0,0,0
8,Brahmanbaria,0,0,0,0,0,0,20,20,0,20,20,22
9,Chandpur,0,0,0,0,0,0,189,170,0,189,170,105
10,Chattogram,0,0,0,0,0,0,193,189,0,193,189,181
11,Cumilla,0,0,0,0,0,0,144,264,0,144,264,282
12,Cox's Bazar,1,1,0,4,6,0,58,67,0,62,73,74
13,Feni,0,0,1,0,0,6,45,46,0,45,46,45
14,Khagrachhari,0,0,0,0,0,0,15,26,26,15,26,19
15,Laksmipur,0,0,0,0,0,0,38,38,38,38,38,42
16,Noakhali,0,0,0,0,0,0,391,271,271,391,271,278
17,Rangamati,7,7,0,52,55,0,301,326,326,353,381,369
2,Chattogram,8,8,7,56,61,55,1394,1417,661,1450,1478,1417
18,Dhaka,0,0,8,0,0,61,136,137,0,136,137,151
19,Faridpur,0,0,0,0,0,0,405,408,0,405,408,375
20,Gazipur,0,0,0,0,0,0,87,91,0,87,91,101
21,Gopalganj,0,0,0,0,0,0,407,534,0,407,534,578
22,Kishorganj,0,0,0,0,0,0,25,25,0,25,25,30
23,Madaripur,0,0,0,0,0,0,290,272,0,290,272,265
24,Manikganj,0,0,0,0,0,0,37,40,0,37,40,43
25,Munshiganj,0,0,0,0,0,0,22,32,0,22,32,25
26,Narayanganj,0,0,0,0,0,0,82,79,0,82,79,80
27,Narsingdi,0,0,0,0,0,0,40,64,0,40,64,45
28,Rajbari,0,0,0,0,0,0,159,161,0,159,161,247
29,Shariatpur,0,0,0,0,0,0,144,153,0,144,153,161
30,Tangail,0,0,0,0,0,0,32,33,33,32,33,34
3,Dhaka,0,0,0,0,0,0,1866,2029,33,1866,2029,2135
31,Bagerhat,0,0,0,0,0,0,301,276,0,301,276,288
32,Chuadanga,0,0,0,0,0,0,38,35,0,38,35,38
33,Jashore,0,0,0,0,0,0,1181,963,0,1181,963,978
34,Jhenaidah,0,0,0,0,0,0,644,716,0,644,716,719
35,Khulna,0,0,0,0,0,0,567,578,0,567,578,585
36,Kushtia,0,0,0,0,0,0,439,404,0,439,404,371
