Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
1,Barguna,0,0,9121,0,0,265,11648,11730,12647,11648,11730,12912
2,Barishal,170,85,8477,12252,725,734,6952,12879,13252,19204,13604,13986
3,Bhola,0,0,9686,0,0,290,10608,14288,17836,10608,14288,18126
4,Jhallokati,0,0,4244,0,0,0,1184,5826,7545,1184,5826,7545
5,Patuakhali,0,0,5947,0,0,0,12869,13096,15486,12869,13096,15486
6,Pirojpur,0,113,12311,1031,1595,1831,21675,24116,23288,22706,25711,25119
1,Barishal,170,198,49785,13283,2320,3120,64936,81935,90054,78219,84255,93174
7,Bandarban,33,33,284,133,283,275,679,526,534,812,809,809
8,Brahmanbaria,0,0,1178,0,0,0,20740,2456,2655,20740,2456,2655
9,Chandpur,85,53,2536,496,505,505,4886,5888,5888,5382,6393,6393
10,Chattogram,115,115,3309,1051,1067,1161,8205,8190,8089,9256,9257,9250
11,Cumilla,9,0,3171,264,0,0,10488,8989,8095,10752,8989,8095
12,Cox's Bazar,201,311,2940,2066,5479,5559,5517,11672,11628,7583,17151,17187
13,Feni,0,0,1870,0,5479,0,2151,2061,1813,2151,7540,1813
14,Khagrachhari,14,14,1034,40,36,51,1355,1264,1402,1395,1300,1453
15,Laksmipur,658,0,6832,2313,0,0,6043,10150,10348,8356,10150,10348
16,Noakhali,0,0,6825,0,0,3086,10837,53488,27792,10837,53488,30878
17,Rangamati,41,225,1746,2452,2456,2376,2250,2253,2151,4702,4709,4527
2,Chattogram,1156,751,31724,8815,15305,13013,73151,106937,80395,81966,122242,93408
18,Dhaka,30,28,1226,346,199,0,1358,1532,2169,1704,1731,2169
19,Faridpur,40,40,3144,318,322,318,4945,5073,4945,5263,5395,5263
20,Gazipur,27,27,1099,169,171,78,2156,2230,1198,2325,2401,1276
21,Gopalganj,46,15,2094,186,50,20,4546,2070,2100,4732,2120,2120
22,Kishorganj,4,4,2346,84,88,82,6845,7134,6860,6929,7222,6942
23,Madaripur,0,0,3608,0,0,0,18850,18887,18395,18850,18887,18395
24,Manikganj,4,5,2364,347,382,386,13204,13671,13702,13551,14053,14088
25,Munshiganj,0,0,355,0,0,0,748,553,139,748,553,139
26,Narayanganj,0,0,688,0,0,0,1799,1725,1725,1799,1725,1725
27,Narsingdi,0,0,682,0,0,0,1190,2273,2282,1190,2273,2282
28,Rajbari,79,100,4074,5488,4104,4127,3371,3876,3788,8859,7980,7915
29,Shariatpur,90,84,4828,150,433,0,9348,7566,9044,9498,7999,9044
30,Tangail,14,14,2482,145,151,151,4773,4495,4895,4918,4646,5046
3,Dhaka,334,317,28991,7233,5900,5162,73133,71085,71242,80366,76985,76404
31,Bagerhat,858,846,13265,2947,2882,3145,8328,8098,9031,11275,10980,12176
32,Chuadanga,157,143,872,1633,1587,1568,2578,2601,2586,4211,4188,4154
33,Jashore,280,283,2795,2511,2540,2788,4108,6764,4575,6619,9304,7363
34,Jhenaidah,334,140,3766,1762,1721,1704,9806,8704,9289,11568,10425,10993
35,Khulna,7592,236,7314,1069,1113,1091,10351,11703,10329,11420,12816,11420
36,Kushtia,117,94,6353,1490,1570,445,11785,14735,16223,13275,16305,16668
