Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
37,Magura,0,0,5582,0,0,0,314,330,320,314,330,320
38,Meherpur,0,0,152,0,0,0,2,3,2,2,3,2
39,Narail,0,0,0,0,0,0,0,0,0,0,0,0
40,Satkhira,0,0,7373,0,0,0,276,330,297,276,330,297
4,Khulna,0,0,57863,0,0,0,2481,2481,2391,2481,2481,2391
41,Jamalpur,0,0,352,0,0,0,12,12,14,12,12,14
42,Mymensing,9,0,12248,0,0,0,354,284,280,354,284,280
43,Netrakona,0,0,3071,0,0,0,135,23,20,135,23,20
44,Sherpur,0,0,800,0,0,0,246,0,30,246,0,30
5,Mymensing,9,0,16470,0,0,0,747,319,344,747,319,344
45,Bogura,0,0,4920,0,0,0,329,330,332,329,330,332
46,Joypurhat,0,0,2265,0,0,0,56,460,450,56,460,450
47,Naogaon,0,0,3988,0,0,0,1339,1230,1220,1339,1230,1220
48,Natore,0,0,749,0,0,0,51,51,50,51,51,50
49,Chapai Nawabganj,0,0,283,0,0,0,8,8,9,8,8,9
50,Pabna,0,0,1576,0,0,0,97,83,82,97,83,82
51,Rajshahi,0,0,214,0,0,0,0,6,7,0,6,7
52,Sirajganj,0,0,1152,0,0,0,46,49,52,46,49,52
6,Rajshahi,0,0,15147,0,0,0,1926,2217,2202,1926,2217,2202
53,Dinajpur,0,0,1718,0,0,0,50,61,68,50,61,68
54,Gaibandha,0,0,1029,0,0,0,15,16,14,15,16,14
55,Kurigram,0,0,2445,0,0,0,80,85,34,80,85,34
56,Lalmonirhat,0,0,838,0,0,0,105,88,31,105,88,31
57,Nilphamari,0,0,2666,0,0,0,118,94,26,118,94,26
58,Panchagarh,0,0,1145,0,0,0,36,35,37,36,35,37
59,Rangpur,0,0,911,0,0,0,21,24,40,21,24,40
60,Thakurgaon,0,0,1208,0,0,0,60,58,53,60,58,53
7,Rangpur,0,0,11960,0,0,0,485,461,303,485,461,303
61,Habiganj,0,0,678,0,0,0,16,74,83,16,74,83
62,Maulvibazar,0,0,3345,0,0,0,149,179,173,149,179,173
63,Sunamganj,0,0,2911,0,0,0,386,173,176,386,173,176
64,Sylhet,0,0,527,0,0,0,9,13,13,9,13,13
8,Sylhet,0,0,7462,0,0,0,560,439,445,560,439,445
,BANGLADESH,56,79,521750,78,120,120,21021,23086,21966,21099,23206,22086
