Zila/Division,,2015-16,,2016-17,,2017-18,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,39,93,45,105,10,21
2,Barishal,470,2065,471,1923,535,1824
3,Bhola,213,713,208,778,239,844
4,Jhalokati,232,621,239,624,556,1359
5,Patuakhali,126,205,128,206,33,48
6,Pirojpur,456,1505,484,1618,269,1065
1,Barishal,1536,5202,1575,5254,1642,5161
7,Bandarban,979,1709,987,1734,982,1722
8,Brahmanbaria,739,869,157,898,71,390
9,Chandpur,229,808,235,783,214,1220
10,Chattogram,3634,13829,3629,13777,3626,13963
11,Cumilla,670,4400,675,907,724,4717
12,Cox's Bazar,347,1433,314,1356,297,776
13,Feni,386,1634,372,1559,638,3669
14,Khagrachhari,3737,15223,5011,21478,4415,18911
15,Laksmipur,228,587,606,2728,495,1899
16,Noakhali,494,2474,527,1430,440,1203
17,Rangamati,2123,6624,2159,6472,2026,6086
2,Chattogram,13566,49590,14672,53122,13928,54556
18,Dhaka,540,1855,545,1881,390,1815
19,Faridpur,935,4162,885,4054,935,4162
20,Gazipur,862,1825,855,1798,831,1839
21,Gopalganj,618,2308,632,2349,708,1999
22,Kishorganj,631,2698,604,2594,600,2465
23,Madaripur,194,636,201,674,185,629
24,Manikganj,327,608,334,558,346,589
25,Munshiganj,105,431,110,481,92,111
26,Narayanganj,352,953,334,896,302,866
27,Narsingdi,520,1673,493,1617,481,1039
28,Rajbari,499,2362,789,3219,895,5105
29,Shariatpur,214,651,231,721,186,491
30,Tangail,2529,12134,2530,12107,1051,4401
3,Dhaka,8326,32296,8543,32949,7002,25511
31,Bagerhat,505,1265,559,2513,550,2500
32,Chuadanga,1229,7320,1298,6332,1344,6241
33,Jashore,3234,19340,3428,20754,3478,21272
34,Jhenaidah,1835,8589,1864,9337,1916,9290
35,Khulna,567,2010,607,2104,680,2299
36,Kushtia,1651,7600,1634,7940,1620,7151
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,169,804,189,892,181,838
38,Meherpur,2162,12907,2224,13210,2217,13543
39,Narail,576,2226,602,2343,558,2129
40,Satkhira,1304,5300,1357,6480,1389,6647
4,Khulna,13232,67361,13762,71905,13933,71910
41,Jamalpur,524,2184,434,2006,430,1990
42,Mymensing,2550,15715,1622,12323,1620,12200
43,Netrakona,783,3945,690,3668,685,3650
44,Sherpur,357,2512,255,2047,250,2040
5,Mymensing,4214,24356,3001,20044,2985,19880
45,Bogura,813,3850,1187,5724,1171,5403
46,Joypurhat,192,1047,1641,7928,356,1659
47,Naogaon,732,2428,694,2225,672,2283
48,Natore,809,1762,1069,1928,1069,1928
49,Chapai Nawabganj,185,463,190,483,196,481
50,Pabna,859,2745,911,2867,959,2974
51,Rajshahi,756,3135,656,2889,709,3165
52,Sirajganj,498,1065,423,1665,336,1344
6,Rajshahi,4844,16495,6771,25709,5468,19237
53,Dinajpur,1142,3481,1071,3058,983,2831
54,Gaibandha,926,3039,908,3118,907,3112
55,Kurigram,792,3291,796,3271,825,2819
56,Lalmonirhat,133,333,418,1784,415,1507
57,Nilphamari,749,3364,719,3534,706,3394
58,Panchagarh,1995,4771,1471,4545,1466,4549
59,Rangpur,762,2130,777,2379,1037,3524
60,Thakurgaon,1050,2439,1066,3050,1067,3067
7,Rangpur,7549,22848,7226,24739,7406,24803
61,Habiganj,983,4277,1016,4779,987,4326
62,Maulvibazar,893,2315,981,2483,973,2471
63,Sunamganj,133,468,138,264,127,248
64,Sylhet,894,2710,801,2291,777,2129
8,Sylhet,2903,9770,2936,9817,2864,9174
,BANGLADESH,56170,227918,58486,243539,55228,230232
