Zila/Division,,2015-16,,2016-17,,2017-18,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,79,78,86,76,85,79
2,Barishal,224,305,232,313,299,392
3,Bhola,162,145,177,162,192,173
4,Jhallokati,136,122,135,123,153,153
5,Patuakhali,77,46,83,50,84,80
6,Pirojpur,137,203,130,170,138,192
1,Barishal,815,899,843,894,951,1069
7,Bandarban,308,395,305,390,312,400
8,Brahmanbaria,70,49,74,52,74,119
9,Chandpur,816,661,77,65,76,66
10,Chattogram,1393,2465,1404,2501,1409,2491
11,Cumilla,498,817,453,752,422,718
12,Cox's Bazar,306,529,307,527,307,532
13,Feni,109,116,112,113,112,112
14,Khagrachhari,924,1986,902,1925,871,1836
15,Laksmipur,153,103,153,104,146,96
16,Noakhali,251,210,224,166,210,202
17,Rangamati,611,869,630,893,638,795
2,Chattogram,5439,8200,4641,7488,4577,7367
18,Dhaka,476,552,487,582,494,658
19,Faridpur,252,380,255,382,246,384
20,Gazipur,237,188,232,189,235,189
21,Gopalganj,138,248,146,257,161,281
22,Kishorganj,140,176,140,181,145,207
23,Madaripur,61,50,63,56,64,56
24,Manikganj,135,80,143,84,144,83
25,Munshiganj,42,22,64,25,96,53
26,Narayanganj,155,147,142,150,134,136
27,Narsingdi,286,405,299,426,285,420
28,Rajbari,226,174,201,158,238,316
29,Shariatpur,78,41,91,55,90,55
30,Tangail,191,276,204,297,205,297
3,Dhaka,2417,2739,2467,2842,2537,3135
31,Bagerhat,443,540,335,502,339,551
32,Chuadanga,684,1418,695,1440,697,1448
33,Jashore,557,1356,553,1379,554,1366
34,Jhenaidah,306,860,306,746,325,761
35,Khulna,245,215,240,209,251,223
36,Kushtia,242,502,215,451,220,460
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,55,129,60,141,63,144
38,Meherpur,75,107,72,100,78,116
39,Narail,175,386,167,382,158,366
40,Satkhira,271,538,268,531,264,503
4,Khulna,3053,6051,2911,5881,2949,5938
41,Jamalpur,133,224,141,239,154,260
42,Mymensing,609,1275,632,1322,629,1345
43,Netrakona,142,124,173,159,135,118
44,Sherpur,135,199,149,247,111,133
5,Mymensing,1019,1822,1095,1967,1029,1856
45,Bogura,249,384,237,374,229,361
46,Joypurhat,110,149,102,157,104,157
47,Naogaon,130,140,122,128,133,143
48,Natore,275,165,269,161,262,155
49,Chapai Nawabganj,53,66,51,59,58,57
50,Pabna,129,152,164,162,190,179
51,Rajshahi,248,303,240,309,257,355
52,Sirajganj,114,107,115,113,113,106
6,Rajshahi,1308,1466,1300,1463,1346,1513
53,Dinajpur,248,304,259,319,263,310
54,Gaibandha,158,181,158,182,162,184
55,Kurigram,191,269,198,271,202,268
56,Lalmonirhat,194,310,198,311,199,308
57,Nilphamari,187,370,187,380,184,439
58,Panchagarh,351,818,343,771,348,779
59,Rangpur,366,462,326,468,340,478
60,Thakurgaon,152,224,156,229,158,228
7,Rangpur,1847,2938,1825,2931,1856,2994
61,Habiganj,210,350,206,367,199,307
62,Maulvibazar,341,811,339,795,347,823
63,Sunamganj,118,68,107,81,122,125
64,Sylhet,341,471,351,497,371,524
8,Sylhet,1010,1700,1003,1740,1039,1779
,BANGLADESH,16908,25815,16085,25206,16284,25651
