Zila/Division,,2015-16,,2016-17,,2017-18,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,23,34,28,41,38,56
2,Barishal,203,256,200,258,270,358
3,Bhola,94,113,87,110,115,172
4,Jhallokati,157,353,160,352,161,346
5,Patuakhali,12,17,13,18,12,15
6,Pirojpur,190,311,209,337,219,354
1,Barishal,679,1084,697,1116,815,1301
7,Bandarban,235,319,230,381,233,384
8,Brahmanbaria,292,265,265,246,183,192
9,Chandpur,61,125,68,105,69,94
10,Chattogram,757,2338,766,2356,777,2390
11,Cumilla,190,327,185,349,176,344
12,Cox's Bazar,214,352,221,357,218,365
13,Feni,20,20,19,19,21,20
14,Khagrachhari,947,1898,964,1970,989,2017
15,Laksmipur,109,80,103,76,100,70
16,Noakhali,100,92,88,75,75,55
17,Rangamati,2116,3223,2134,3292,2150,3342
2,Chattogram,5041,9039,5043,9226,4991,9273
18,Dhaka,112,127,115,135,121,125
19,Faridpur,37,54,24,40,24,42
20,Gazipur,148,239,147,242,148,254
21,Gopalganj,23,32,23,32,25,38
22,Kishorganj,177,359,188,398,204,455
23,Madaripur,19,25,20,27,24,32
24,Manikganj,41,76,44,78,45,79
25,Munshiganj,94,69,94,70,65,58
26,Narayanganj,136,231,141,226,146,249
27,Narsingdi,1849,7681,1505,6683,1839,7581
28,Rajbari,72,163,73,143,72,123
29,Shariatpur,26,25,28,37,29,28
30,Tangail,190,423,193,436,184,395
3,Dhaka,2924,9504,2595,8547,2926,9459
31,Bagerhat,145,295,148,275,161,318
32,Chuadanga,41,51,32,46,38,53
33,Jashore,383,1645,385,1676,396,1754
34,Jhenaidah,183,443,199,543,202,555
35,Khulna,57,110,52,96,54,97
36,Kushtia,20,80,16,64,20,80
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,45,105,49,115,49,118
38,Meherpur,8,21,9,24,9,25
39,Narail,76,309,84,340,71,319
40,Satkhira,55,141,101,168,58,183
4,Khulna,1013,3200,1075,3347,1058,3502
41,Jamalpur,37,53,41,68,44,67
42,Mymensing,311,599,324,606,336,638
43,Netrakona,49,54,75,78,90,79
44,Sherpur,107,264,116,295,126,330
5,Mymensing,504,970,556,1047,596,1114
45,Bogura,119,340,104,277,93,207
46,Joypurhat,117,576,114,582,117,593
47,Naogaon,101,398,109,305,107,304
48,Natore,249,337,243,321,230,324
49,Chapai Nawabganj,0,0,0,0,0,0
50,Pabna,13,21,23,42,26,49
51,Rajshahi,52,169,47,127,46,119
52,Sirajganj,6,10,6,9,6,9
6,Rajshahi,657,1851,646,1663,625,1605
53,Dinajpur,100,152,110,184,113,184
54,Gaibandha,164,309,155,285,146,261
55,Kurigram,65,135,67,133,88,161
56,Lalmonirhat,150,216,164,327,173,331
57,Nilphamari,123,290,138,328,135,332
58,Panchagarh,77,125,77,135,74,130
59,Rangpur,271,399,276,426,291,457
60,Thakurgaon,57,91,60,93,63,78
7,Rangpur,1007,1717,1047,1911,1083,1934
61,Habiganj,53,50,65,67,75,87
62,Maulvibazar,62,244,55,228,65,223
63,Sunamganj,36,52,45,69,51,96
64,Sylhet,48,46,58,47,67,54
8,Sylhet,199,392,223,411,258,460
,BANGLADESH,12024,27757,11882,27268,12352,28648
