Zila/Division,,2015-16,,2016-17,,2017-18,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,165,135,169,150,170,323
2,Barishal,628,1713,624,1742,633,1772
3,Bhola,601,2204,675,1932,723,2098
4,Jhallokati,352,438,378,502,401,645
5,Patuakhali,179,161,152,122,169,345
6,Pirojpur,299,424,313,451,320,485
1,Barishal,2224,5075,2311,4899,2416,5668
7,Bandarban,313,774,314,799,314,799
8,Brahmanbaria,742,2737,778,2947,919,3156
9,Chandpur,604,3041,616,2637,535,2430
10,Chattogram,3122,9791,3125,9799,3141,9762
11,Cumilla,1448,5736,1379,5511,1205,4589
12,Cox's Bazar,996,2207,1053,2395,1019,2381
13,Feni,452,980,405,1039,409,1054
14,Khagrachhari,1049,3136,1061,3181,1075,3221
15,Laksmipur,570,1534,519,1438,520,1430
16,Noakhali,1464,2237,1438,2026,1208,4421
17,Rangamati,673,3404,675,3380,650,3173
2,Chattogram,11433,35577,11363,35152,10995,36416
18,Dhaka,1245,6240,1259,6303,1325,6738
19,Faridpur,562,2151,553,2078,896,4074
20,Gazipur,473,1567,463,1460,350,1253
21,Gopalganj,435,2210,453,2319,472,2432
22,Kishorganj,974,2798,974,2798,955,2744
23,Madaripur,303,407,304,409,299,540
24,Manikganj,1571,8964,1564,8788,1588,8971
25,Munshiganj,356,705,365,728,347,692
26,Narayanganj,474,1011,479,1290,478,1283
27,Narsingdi,1255,7020,1254,9505,1210,9404
28,Rajbari,817,2140,1226,5276,1244,5286
29,Shariatpur,386,1337,386,1435,395,1480
30,Tangail,2281,11440,2311,11498,2273,11200
3,Dhaka,11132,47990,11591,53887,11832,56097
31,Bagerhat,717,2321,770,2469,767,2451
32,Chuadanga,1884,6551,1896,6595,1791,6160
33,Jashore,3382,14940,3389,16346,3416,16261
34,Jhenaidah,1913,7033,2381,8686,2435,8748
35,Khulna,754,1839,763,1842,761,1832
36,Kushtia,1213,5550,1167,5353,1189,5484
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,528,1790,552,1801,561,1873
38,Meherpur,557,2741,597,3502,606,3624
39,Narail,558,2294,554,2256,572,2335
40,Satkhira,1502,8015,1520,8155,1481,7842
4,Khulna,13008,53074,13589,57005,13579,56610
41,Jamalpur,6987,25449,7035,25549,7579,27021
42,Mymensing,3074,30423,3075,26181,3075,25011
43,Netrakona,628,1714,614,1670,652,1722
44,Sherpur,1238,6613,1363,7460,1387,7692
5,Mymensing,11927,64199,12087,60860,12693,61446
45,Bogura,1835,6537,2078,7413,2120,7561
46,Joypurhat,682,3947,244,877,662,4197
47,Naogaon,1580,7653,1664,8033,1710,8172
48,Natore,825,2196,835,2261,794,2224
49,Chapai Nawabganj,1559,7830,1711,7846,1719,7711
50,Pabna,1121,3511,1148,3765,1175,3582
51,Rajshahi,3531,18970,3402,19737,3563,20869
52,Sirajganj,1794,12375,2287,14190,1732,10060
6,Rajshahi,12927,63019,13369,64122,13475,64376
53,Dinajpur,2278,11088,2272,11227,2139,10886
54,Gaibandha,802,2267,821,2361,874,2795
55,Kurigram,1737,7632,1739,7532,1732,7364
56,Lalmonirhat,722,2780,750,2887,751,2969
57,Nilphamari,1297,8588,1231,8013,1289,7739
58,Panchagarh,1362,7645,1384,7674,1389,7387
59,Rangpur,1671,4075,1679,4093,1662,4005
60,Thakurgaon,2924,13450,2933,13711,2967,16900
7,Rangpur,12793,57525,12809,57498,12803,60045
61,Habiganj,634,2728,647,2948,679,4061
62,Maulvibazar,587,2517,595,2519,573,2445
63,Sunamganj,924,5715,918,5690,934,5733
64,Sylhet,869,2731,916,2961,639,2965
8,Sylhet,3014,13691,3076,14118,2825,15204
,BANGLADESH,78458,340150,80195,347541,80618,355862
