Zila/Division,,2015-16,,2016-17,,2017-18,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,0,0,83,96,73,73
2,Barishal,0,0,0,0,0,0
3,Bhola,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0
1,Barishal,0,0,83,96,73,73
7,Bandarban,0,0,0,0,0,0
8,Brahmanbaria,260,3295,270,3407,270,3407
9,Chandpur,0,0,0,0,0,0
10,Chattogram,0,0,304,476,0,0
11,Cumilla,0,0,0,0,0,0
12,Cox's Bazar,0,0,0,0,0,0
13,Feni,0,0,0,0,0,0
14,Khagrachhari,0,0,0,0,0,0
15,Laksmipur,2,7,2,7,2,7
16,Noakhali,169,171,5,4,5,4
17,Rangamati,0,0,0,0,0,0
2,Chattogram,431,3473,581,3893,277,3418
18,Dhaka,5166,19358,5161,19464,5172,22684
19,Faridpur,357,564,365,552,357,564
20,Gazipur,17,73,18,77,0,0
21,Gopalganj,0,0,63,86,66,92
22,Kishorganj,13,51,14,53,13,51
23,Madaripur,1629,8794,1579,8374,2370,8337
24,Manikganj,0,0,76,284,0,0
25,Munshiganj,78,496,80,527,0,0
26,Narayanganj,68,107,65,100,51,80
27,Narsingdi,0,0,0,0,0,0
28,Rajbari,0,0,32,61,44,121
29,Shariatpur,247,356,366,549,373,559
30,Tangail,469,1220,495,1297,486,1284
3,Dhaka,8044,31019,8314,31424,8932,33772
31,Bagerhat,0,0,1,8,2,10
32,Chuadanga,117,262,121,2247,25,280
33,Jashore,60,44,63,44,65,50
34,Jhenaidah,70,860,95,1167,188,2332
35,Khulna,0,0,2,13,5,15
36,Kushtia,37,440,54,500,55,532
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,22,326,24,335,25,355
38,Meherpur,218,1502,225,1569,225,1573
39,Narail,0,0,0,0,0,0
40,Satkhira,0,0,0,0,0,0
4,Khulna,524,3434,585,5883,590,5147
41,Jamalpur,21,43,0,0,16,34
42,Mymensing,13,26,13,26,19,36
43,Netrakona,0,0,0,0,0,0
44,Sherpur,0,0,0,0,0,0
5,Mymensing,34,69,13,26,35,70
45,Bogura,51,158,66,638,64,418
46,Joypurhat,0,0,0,0,0,0
47,Naogaon,0,0,4,23,8,43
48,Natore,0,0,0,0,0,0
49,Chapai Nawabganj,0,0,0,0,0,0
50,Pabna,7510,52672,7498,52904,8156,66166
51,Rajshahi,0,0,0,0,0,0
52,Sirajganj,19925,104114,19948,104202,19954,104237
6,Rajshahi,27486,156944,27516,157767,28182,170864
53,Dinajpur,39,104,37,100,41,115
54,Gaibandha,0,0,0,0,20,80
55,Kurigram,0,0,0,0,0,0
56,Lalmonirhat,0,0,0,0,0,0
57,Nilphamari,34,119,40,133,43,146
58,Panchagarh,0,0,0,0,0,0
59,Rangpur,21,54,24,57,29,87
60,Thakurgaon,0,0,0,0,0,0
7,Rangpur,94,277,101,290,133,428
61,Habiganj,0,0,0,0,0,0
62,Maulvibazar,0,0,0,0,0,0
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,0,0,0,0,0,0
8,Sylhet,0,0,0,0,0,0
,BANGLADESH,36613,195216,37193,199380,38222,213772
