Zila/Division,,2015-16,,2016-17,,2017-18,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,0,0,0,0,0,0
2,Barishal,0,0,0,0,0,0
3,Bhola,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0
1,Barishal,0,0,0,0,0,0
7,Bandarban,0,0,0,0,0,0
8,Brahmanbaria,10,2,10,1.44,3,1
9,Chandpur,0,0,0,0,0,0
10,Chattogram,142,306,108,230,109,235
11,Cumilla,3,1,4,1,3,2
12,Cox's Bazar,4,5,4,6,4,5
13,Feni,0,0,0,0,0,0
14,Khagrachhari,0,0,0,0,0,0
15,Laksmipur,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0
17,Rangamati,20,5,16,4,14,3
2,Chattogram,179,319,142,242.44,133,246
18,Dhaka,6,20,5,20,5,20
19,Faridpur,4,3,4,27,4,25
20,Gazipur,3,2,3,3,4,3
21,Gopalganj,0,0,0,0,0,0
22,Kishorganj,0,0,0,0,0,0
23,Madaripur,0,0,0,0,0,0
24,Manikganj,0,0,0,0,0,0
25,Munshiganj,0,0,0,0,0,0
26,Narayanganj,53,94,13,24,14,24
27,Narsingdi,0,0,0,0,0,0
28,Rajbari,0,0,0,0,0,0
29,Shariatpur,0,0,0,0,0,0
30,Tangail,0,0,0,0,0,0
3,Dhaka,66,119,25,74,27,72
31,Bagerhat,0,0,0,0,0,0
32,Chuadanga,0,0,0,0,0,0
33,Jashore,24,10,38,19,40,20
34,Jhenaidah,0,0,0,0,0,0
35,Khulna,0,0,3,5,0,0
36,Kushtia,0,0,0,0,0,0
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,0,0,0,0,0,0
38,Meherpur,0,0,0,0,0,0
39,Narail,0,0,0,0,0,0
40,Satkhira,0,0,0,0,0,0
4,Khulna,24,10,41,24,40,20
41,Jamalpur,0,0,0,0,0,0
42,Mymensing,0,0,0,0,0,0
43,Netrakona,0,0,0,0,0,0
44,Sherpur,0,0,0,0,0,0
5,Mymensing,0,0,0,0,0,0
45,Bogura,1,2,5,8,6,9
46,Joypurhat,0,0,0,0,0,0
47,Naogaon,3,3,3,4,165,311
48,Natore,0,0,0,0,0,0
49,Chapai Nawabganj,0,0,0,0,0,0
50,Pabna,0,0,0,0,0,0
51,Rajshahi,0,0,0,0,0,0
52,Sirajganj,0,0,0,0,0,0
6,Rajshahi,4,5,8,12,171,320
53,Dinajpur,0,0,0,0,0,0
54,Gaibandha,0,0,0,0,0,0
55,Kurigram,0,0,0,0,0,0
56,Lalmonirhat,0,0,0,0,0,0
57,Nilphamari,0,0,0,0,0,0
58,Panchagarh,0,0,0,0,0,0
59,Rangpur,0,0,0,0,0,0
60,Thakurgaon,0,0,0,0,0,0
7,Rangpur,0,0,0,0,0,0
61,Habiganj,0,0,0,0,0,0
62,Maulvibazar,0,0,0,0,0,0
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,0,0,3,1,0,0
8,Sylhet,0,0,3,1,0,0
,BANGLADESH,273,453,219,353.44,371,658
