Station,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.
Dhaka,0,20,3,309,392,366,354,141,76,45
Tangail,0,40,24,211,336,218,329,182,251,77
Mymensingh,0,10,28,238,531,303,302,193,1214,409
Faridpur,0,4,6,222,258,224,422,83,143,
Madaripur,0,1,1,143,378,413,457,212,168,55
Srimangal,34,19,49,173,635,383,183,366,174,118
Sylhet,0,39,94,330,583,789,677,410,452,
Bogura,0,35,28,128,371,255,406,177,162,70
Dinajpur,0,0,29,70,155,124,165,164,195,8
Ishurdi,0,9,47,220,190,149,426,90,73,93
Rajshahi,0,12,9,75,176,139,238,84,162,87
Rangpur,0,0,13,151,365,347,169,213,144,33
sydpur,0,0,25,171,144,416,207,256,245,20
chuadanga,0,3,1,105,175,216,376,155,112,55
Jeshore,0,3,11,186,148,101,412,130,76,
Khulna,0,0,1,64,226,266,264,107,106,34
Mongla,0,0,1,69,254,526,388,254,177,
Satkhira,0,0,0,50,162,273,246,279,167,19
Barishal,0,0,9,139,259,331,294,182,82,110
Bhola,0,0,2,107,300,604,279,171,108,101
Khepupara,0,0,0,22,246,797,1010,325,294,
Patuakhali,0,0,1,125,239,396,485,339,106,201
Chandpur,0,2,5,166,451,541,420,220,79,73
Teknaf,92,0,0,12,181,1001,1671,844,,
Chittagong,13,0,20,72,388,667,807,325,148,275
Cumilla,0,0,21,214,406,516,268,117,121,42
Cox'sbazar,26,0,0,56,172,984,1246,398,341,395
Feni,0,2,16,222,418,623,572,523,196,89
Hatiya,0,0,1,73,394,616,736,291,226,
Kutubdia,11,0,0,90,273,737,744,435,319,
M.court,0,2,1,162,406,519,705,327,164,101
Rangamati,6,0,4,236,291,1037,504,281,342,257
Sandwip,1,3,0,166,473,904,1272,621,239,251
Sitakunda,18,0,0,246,279,1025,1114,454,170,218
Ambagan(Ctg),13,0,12,115,348,791,751,330,152,496
