District name,With Food,,,,,,Witout Food,
,one meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barisal,390,0,0,0,0,0,430,0
Jhalokathi,400,0,0,0,0,0,430,380
Perojpur,385,0,0,0,0,0,410,0
Bhola,385,340,350,300,0,0,415,375
Patuakhali,380,0,0,0,0,0,415,0
Barguna,380,0,0,0,0,0,410,0
Barisal Division,387,340,350,300,0,0,418,378
Jessore,0,0,0,0,0,0,236,189
Jhenaidah,309,224,305,214,304,213,341,233
Magura,352,0,282,0,258,0,412,0
Narail,406,0,353,0,313,0,505,443
Khulna,0,0,0,345,0,309,460,0
Bagerhat,387,300,350,280,320,250,401,320
Satkhira,0,0,0,0,0,0,425,310
Kushtia,338,0,315,0,290,0,376,0
Chuadanga,225,0,0,0,0,0,261,0
Meherpur,240,0,0,0,0,0,267,0
Khulna Division,322,262,321,280,297,257,409,299
Rajshahi,320,260,285,245,0,0,343,268
Naogaon,329,261,313,243,278,221,338,262
Natore,275,204,0,0,0,0,349,258
Chapai Nawabganj,288,250,250,240,250,220,375,281
Bogra,0,0,0,0,325,258,400,350
Joypurhat,300,250,0,0,283,250,318,275
Pabna,356,227,345,200,327,0,388,
Sirajganj,323,0,306,0,0,0,331,250
Rajshahi Division,313,242,300,232,293,237,355,276
Rangpur,340,210,0,0,0,0,375,280
Gaibandha,0,0,0,0,0,0,265,194
Kurigram,322,225,0,0,0,0,356,240
Nilphamari,334,241,0,0,0,0,391,282
Lalmonirhat,328,206,0,0,0,0,350,254
Dinajpur,316,259,300,250,290,0,337,265
Thakurgaon,304,244,0,0,0,0,313,256
Panchagar,308,247,0,0,0,0,318,265
Rangpur Division,322,233,300,250,290,0,338,255
BANGLADESH,363,286,349,271,326,250,402,313
