District name,September-18,,,,,,,
,With Food,,,,,,"Witout Food
(in TK)",
,one meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,0,0,0,0,0,0,390,281
Khagrachari,0,0,0,0,0,0,370,253
Rangamati,350,263,300,213,0,0,413,387
Chittagong,479,354,460,323,428,303,502,364
Coxbazar,463,338,415,319,366,275,573,388
Comilla,357,315,349,300,348,0,396,0
Chandpur,0,0,0,0,0,0,362,0
Brahmmanbaria,351,296,300,0,290,227,402,320
Noakhali,400,0,350,0,313,0,494,0
Lakshmipur,350,0,0,0,0,0,390,0
Feni,0,0,0,0,464,0,531,0
Chittagong Division,393,313,362,289,368,268,439,332
Sylhet,394,300,361,262,0,0,403,350
Maulavi Bazar,384,303,375,264,0,0,408,319
Sunamganj,384,292,0,0,0,0,402,294
Habiganj,340,300,0,0,300,0,363,316
Sylhet Division,375,299,368,263,300,0,394,320
Dhaka,451,450,433,400,340,315,461,0
Gazipur,417,317,0,0,390,300,485,357
Manikganj,0,0,0,0,0,0,370,293
Munshiganj,0,0,375,0,356,0,418,0
Narayanganj,435,400,411,384,390,325,459,424
Narsingdi,0,0,381,300,321,0,457,0
Faridpur,383,300,300,0,0,0,475,0
Rajbari,300,0,0,0,0,0,350,0
Madaripur,350,250,0,0,400,250,390,283
Gopalganj,464,409,397,375,313,307,474,444
Shariatpur,0,0,0,0,0,0,392,332
Tangail,366,0,347,0,329,0,407,289
Kishoreganj,0,0,402,,383,0,439,0
Dhaka Division,396,354,381,365,358,299,429,346
Mymensing,410,280,335,200,0,0,450,350
Jamalpur,350,200,290,180,280,190,400,240
Sherpur,415,0,432,0,437,0,447,0
Netrokona,400,250,340,200,0,0,400,300
Mymensing Division,394,243,349,193,359,190,424,297
