District,,,River,,,"Sundar
bans",,,Beel,,,"Ka
pta
i
La
ke",,,"Flood
Plain",,,Pond,,,"Seasonal
cultured
water
body",,,Baor,,,"Shrimp/
Prawn
Farm",,,"Pen
Culture",,,"Cage
Culture",,,Total,,
,Dhaka,,,884,,,0,,,791,,,0,,,4849,,,8545,,,3566,,,0,,,0,,,2046,,,33,,,20721,
,Faridpur,,,1540,,,0,,,464,,,0,,,9462,,,12487,,,1792,,,459,,,2,,,695,,,0,,,26914,
,Gazipur,,,388,,,0,,,1245,,,0,,,16764,,,23353,,,8623,,,0,,,0,,,1058,,,0,,,51434,
,Gopalganj,,,464,,,0,,,646,,,0,,,6692,,,13197,,,1432,,,91,,,2012,,,4476,,,15,,,29029,
,Kishorganj,,,2065,,,0,,,6688,,,0,,,40623,,,20005,,,5486,,,0,,,0,,,1213,,,32,,,76129,
,Madaripur,,,1030,,,0,,,232,,,0,,,7885,,,9932,,,190,,,203,,,218,,,253,,,111,,,20062,
,Manikganj,,,1902,,,0,,,527,,,0,,,10580,,,9506,,,3495,,,0,,,2,,,24,,,0,,,26052,
,Munshiganj,,,2157,,,0,,,165,,,0,,,12214,,,8631,,,4550,,,0,,,0,,,124,,,86,,,27945,
,Narayanganj,,,1250,,,0,,,116,,,0,,,1821,,,7976,,,2574,,,0,,,0,,,388,,,0,,,14135,
,Narsingdi,,,1834,,,0,,,1065,,,0,,,11908,,,17318,,,2326,,,0,,,2,,,56,,,584,,,35108,
,Rajbari,,,1750,,,0,,,238,,,0,,,6204,,,15357,,,2031,,,408,,,3,,,0,,,0,,,26005,
,Shariatpur,,,1577,,,0,,,34,,,0,,,5387,,,15055,,,2246,,,0,,,41,,,40,,,21,,,24414,
,Tangail,,,780,,,0,,,2256,,,0,,,10310,,,47068,,,6475,,,0,,,5,,,256,,,0,,,67156,
Dhaka Div.,,,,,,0,,,14466,,,,,,,,,,,,,,,1161,,,,,,,,,,,,,,
,,,,17621,,,,,,,,,0,,,144699,,,208430,,,44786,,,,,,2285,,,10629,,,881,,,445102,
Mymensingh,,,,,,0,,,18629,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,1244,,,,,,,,,0,,,10788,,,339367,,,4922,,,,,,0,,,0,,,15,,,374975,
,Jamalpur,,,1442,,,0,,,18629,,,0,,,30241,,,25766,,,6312,,,0,,,3,,,23,,,0,,,82428,
Sherpur,,,,,,0,,,18629,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,772,,,,,,,,,0,,,9644,,,14506,,,2670,,,,,,7,,,903,,,0,,,47137,
Netrakona,,,,,,0,,,18629,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,906,,,,,,,,,0,,,2275,,,25494,,,1124,,,,,,0,,,00,,,0,,,48435,
Mymensingh Div.,,,,,,0,,,18629,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,4363,,,,,,,,,0,,,52948,,,405133,,,15029,,,,,,10,,,926,,,15,,,497089,
,Bagerhat,,,5464,,,16664,,,5405,,,0,,,4538,,,16304,,,8700,,,0,,,62331,,,1.15,,,3,,,119455,
,Chuadanga,,,279,,,0,,,5405,,,0,,,1232,,,10231,,,1338,,,1129,,,0,,,0,,,0,,,19616,
,Jessore,,,922,,,0,,,5405,,,0,,,35556,,,133944,,,26401,,,2127,,,35255,,,0,,,0,,,239618,
,Jhenaidah,,,267,,,0,,,5405,,,0,,,5808,,,21024,,,4897,,,1164,,,7,,,0,,,0,,,38574,
,Khulna,,,3335,,,643,,,5405,,,0,,,19115,,,14493,,,0,,,177,,,51249,,,1.72,,,3,,,94450,
,Kushtia,,,1166,,,0,,,5405,,,0,,,3846,,,14721,,,1064,,,684,,,1,,,14,,,34,,,26945,
,Magura,,,1141,,,0,,,5405,,,0,,,1447,,,9839,,,265,,,646,,,25,,,0,,,0,,,18777,
,Meherpur,,,219,,,0,,,5405,,,0,,,760,,,5675,,,205,,,448,,,0,,,0,,,0,,,12714,
,Narail,,,738,,,0,,,5405,,,0,,,3857,,,3907,,,468,,,283,,,4216,,,0,,,0,,,18880,
,Satkhira,,,1009,,,779,,,5405,,,0,,,13852,,,36087,,,9470,,,183,,,71105,,,0,,,0,,,137898,
Khulna Div.,,,,,,18086,,,5405,,,,,,,,,,,,,,,6841,,,,,,,,,,,,,,
,,,,14540,,,,,,,,,0,,,90011,,,266225,,,52809,,,,,,224189,,,16.87,,,39,,,678282,
,Barguna,,,4279,,,0,,,0,,,0,,,2497,,,7368,,,605,,,0,,,967,,,5,,,25,,,15781,
,Barisal,,,41326,,,0,,,22,,,0,,,8254,,,34424,,,12694,,,0,,,2606,,,38,,,0,,,99705,
,Bhola,,,80131,,,0,,,0,,,0,,,3671,,,42971,,,246,,,0,,,137,,,0,,,0,,,127817,
,Jhalokathi,,,1671,,,0,,,9,,,0,,,3635,,,4226,,,448,,,0,,,59,,,107,,,28,,,10197,
,Patuakhali,,,13626,,,0,,,0,,,0,,,9907,,,26203,,,115,,,0,,,3917,,,200,,,6,,,54086,
,Pirojpur,,,5129,,,0,,,9,,,0,,,3634,,,8506,,,1036,,,0,,,1715,,,164,,,13,,,20248,
Barisal Div.,,,,,,0,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,146162,,,,,,,,,0,,,31598,,,123698,,,15145,,,0,,,9401,,,514,,,72,,,327836,
