District,,,River,,,"Sundar
bans",,,Beel,,,"Kaptai
Lake",,,"Flood
Plain",,,Pond,,,"Seasonal
cultured
water body",,,Baor,,,"Shrimp/
Prawn
Farm",,,"Pen
Culture",,,"Cage
Culture",,,Total,,
,Dhaka,,,1153,,,0,,,797,,,0,,,4855,,,8155,,,3539,,,0,,,0,,,140,,,4,,,18643,
,Faridpur,,,2043,,,0,,,478,,,0,,,9498,,,17749,,,1778,,,463,,,5.19,,,1095.5,,,2,,,33112,
,Gazipur,,,501,,,0,,,1249,,,0,,,16795,,,26151,,,8559,,,0,,,0.54,,,1206.11,,,0,,,54462,
,Gopalganj,,,604,,,0,,,659,,,0,,,6739,,,15701,,,1422,,,92,,,2072.67,,,3560.09,,,29.83,,,30880,
,Kishorganj,,,2398,,,0,,,6801,,,0,,,40898,,,22591,,,5445,,,0,,,1.38,,,985.02,,,34.35,,,79154,
,Madaripur,,,1346,,,0,,,240,,,0,,,7893,,,12153,,,189,,,205,,,150.5,,,61,,,483.2,,,22720,
,Manikganj,,,2714,,,0,,,544,,,0,,,10599,,,10515,,,3469,,,0,,,7.36,,,761,,,0,,,28610,
,Munshiganj,,,3099,,,0,,,167,,,0,,,12253,,,11093,,,4515,,,0,,,0,,,101.7,,,2.5,,,31231,
,Narayanganj,,,1815,,,0,,,117,,,0,,,1840,,,10782,,,2555,,,0,,,0,,,1004.5,,,0,,,18113,
,Narsingdi,,,2574,,,0,,,1071,,,0,,,11931,,,21651,,,2307,,,0,,,0.44,,,367,,,599.5,,,40501,
,Rajbari,,,2888,,,0,,,250,,,0,,,6217,,,14548,,,2015,,,411,,,1.88,,,0,,,0,,,26331,
,Shariatpur,,,2376,,,0,,,35,,,0,,,5399,,,15095,,,2229,,,0,,,44.4,,,36.7,,,7,,,25222,
,Tangail,,,1180,,,0,,,2281,,,0,,,10343,,,43871,,,6426,,,0,,,0,,,0,,,30.8,,,64131,
Dhaka Div.,,,,,,0,,,14689,,,,,,,,,,,,,,,1171,,,,,,,,,,,,,,
,,,,24691,,,,,,,,,0,,,145260,,,230055,,,44448,,,,,,2284.36,,,9318.62,,,1193.18,,,473110,
Mymensingh,,,,,,0,,,6739,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,1262,,,,,,,,,0,,,10809,,,17244,,,5885,,,,,,0,,,0,,,742.66,,,42682,
,Jamalpur,,,1382,,,0,,,3083,,,0,,,30470,,,357816,,,7266,,,0,,,1.49,,,34.68,,,0,,,400053,
Sherpur,,,,,,0,,,6582,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,2943,,,,,,,,,0,,,9664,,,31371,,,2651,,,,,,2.18,,,0,,,0,,,53213,
Netrakona,,,,,,0,,,2409,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,961,,,,,,,,,0,,,2281,,,28274,,,1536,,,,,,0,,,0,,,0,,,35461,
"Mymensingh
Div.",,,,,,0,,,18813,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,6548,,,,,,,,,0,,,53223,,,434705,,,17338,,,,,,3.67,,,34.68,,,742.66,,,531408,
,Bagerhat,,,5379,,,17036.57,,,20,,,0,,,4540,,,12192,,,8635,,,0,,,64607.96,,,0,,,0,,,112411,
,Chuadanga,,,359,,,0,,,1074,,,0,,,1233,,,11876,,,1329,,,1139,,,0,,,0,,,0,,,17010,
,Jashore,,,956,,,0,,,1694,,,0,,,35563,,,118467,,,26206,,,2146,,,65724.73,,,0,,,0,,,250757,
,Jhenaidah,,,345,,,0,,,1023,,,0,,,5812,,,23365,,,4860,,,1174,,,12.209,,,0,,,0,,,36591,
,Khulna,,,3346,,,676.42,,,133,,,0,,,19129,,,14906,,,0,,,179,,,49043.85,,,17,,,4,,,87434,
,Kushtia,,,1746,,,0,,,440,,,0,,,3865,,,18028,,,1057,,,690,,,3.935,,,21,,,87.89,,,25939,
,Magura,,,1113,,,0,,,313,,,0,,,1448,,,10621,,,263,,,651,,,5.415,,,0,,,0,,,14414,
,Meherpur,,,282,,,0,,,197,,,0,,,763,,,6872,,,204,,,452,,,0,,,0,,,0,,,8770,
,Narail,,,952,,,0,,,572,,,0,,,3890,,,4254,,,464,,,285,,,4524.84,,,0,,,0,,,14942,
,Satkhira,,,1302,,,512.25,,,16,,,0,,,13855,,,33836,,,9400,,,185,,,53898.91,,,0,,,0,,,113006,
Khulna Div.,,,,,,18225.24,,,5482,,,,,,,,,,,,,,,6901,,,,237821.8,,,,,,,,,,
,,,,15780,,,,,,,,,0,,,90099,,,254417,,,52418,,,,,,5,,,38,,,91.89,,,681274,
,Barguna,,,5821,,,0,,,0,,,0,,,2498,,,6967,,,601,,,0,,,745.96,,,7.2,,,32,,,16673,
,Barishal,,,36872,,,0,,,23,,,0,,,8262,,,36936,,,12601,,,0,,,1189.1,,,44.56,,,0,,,95928,
,Bhola,,,90357,,,0,,,0,,,0,,,3671,,,40152,,,243,,,0,,,106.56,,,0,,,65.73,,,134595,
,Jhalokathi,,,1674,,,0,,,9,,,0,,,3641,,,4710,,,445,,,0,,,38.5,,,405,,,28,,,10950,
,Patuakhali,,,25703,,,0,,,0,,,0,,,9909,,,18580,,,114,,,0,,,2958,,,5,,,12,,,57281,
,Pirojpur,,,3809,,,0,,,9,,,0,,,3637,,,7210,,,1028,,,0,,,1221.93,,,4,,,36.36,,,16956,
Barishal Div.,,,,164236,,0,,,41,,,,0,,,31618,,,114555,,,15032,,,0,,,6260.05,,,465.76,,,174.09,,,332382,
