"Sl.
No.","S
p
e
c
ie
s",Lower Meghna,,,,,,,Upper Meghna,,,,,,,,Total
,,"ila
h
k
a
o
N","a
lo
h
B","la
h
s
ir
a
B","r
u
p
im
h
s
k
a
L","r
u
p
t
a
ir
a
S","r
u
p
d
n
a
h
C","Sub-
Total","j
n
a
g
ih
s
n
u
M","j
n
a
g
n
a
y
a
r
a
N","a
llim
u
C","id
g
n
ih
s
r
a
N","a
ir
a
b
n
a
m
h
a
r
B","j
n
a
g
e
r
o
h
s
iK","j
n
a
g
ib
a
H","Sub-
Total",
1,Rui,14,41,44,15,22,29,165,19,0,34,14,88,108,0,263,428
2,Catla,14,19,31,7,18,22,111,16,0,17,8,55,44,0,140,251
3,Mrigal,7,21,16,20,4,22,90,9,0,17,2,42,56,0,126,216
4,Kalibaus,0,0,0,0,0,0,0,2,0,8,0,9,12,0,31,31
5,Bata,149,62,187,1136,0,78,1612,16,0,11,0,26,47,0,100,1712
6,Ghonia,0,0,0,0,0,0,0,0,0,3,0,11,0,0,14,14
7,Pangas,0,142,826,0,27,84,1079,7,0,7,6,14,23,0,57,1136
8,Boal/Air,0,142,540,0,18,84,784,9,0,34,6,65,26,0,140,924
9,Shol/Gazar/Taki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Koi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Shingi/Magur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Sarpunti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Other Inland Fish,189,913,2077,446,38,638,4301,845,1230,168,1857,670,362,151,5283,9584
14,Hilsa/Illish,12945,84993,27615,17447,1103,31219,175322,381,104,0,152,273,167,0,1077,176399
15,Galda,41,190,646,163,0,0,1040,13,0,29,6,26,70,0,144,1184
16,Bagda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Harina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Chaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Other small
shrimp/prawn",40,277,775,36,17,46,1191,61,16,93,14,39,103,36,362,1553
Total,,13399,86800,32757,19270,1247,32222,185695,1378,1350,421,2065,1318,1018,187,7737,193432
