Year,Capture,,,,,Culture,,,,,,,Marine,,Total,"Growth
Rate
(%)"
,River,"Sundar
bans",Beel,"Kaptai
Lake","Flood
Plain",Pond,"Seasonal
Cultured
waterbody",Baor,Shrimp,Crab,"Pen
Culture","Cage
Culture","Marine
Industrial","Marine
Artisanal",,
2005-06,137859,16423,76365,7548,690753,759628,27738,4498,127923,-,-,-,34084,445726,2328545,5.08
2006-07,136958,17751,75137,8085,738673,811954,30157,4698,129160,-,-,-,35391,452047,2440011,4.79
2007-08,136812,18151,77524,8248,786515,866049,32931,4778,134715,-,-,-,34159,463414,2563296,5.05
2008-09,138160,18462,79200,8590,843671,912178,35842,5038,145585,-,-,-,35429,479215,2701370,5.39
2009-10,141148,20437,79209,7336,781807,1140484,46902,8727,155866,-,-,-,34182,483100,2899198,7.32
2010-11,144566,22451,81564,8980,797024,1219736,51230,4864,184939,-,-,-,41665,504668,3061687,5.60
2011-12,145613,21610,85208,8537,696127,1392412,132163,5186,196306,-,-,-,73386,505234,3261782,6.54
2012-13,147264,15945,87902,9017,701330,1446594,200833,6146,206235,-,-,-,73030,515958,3410254,4.55
2013-14,167373,18366,88911,8179,712976,1526160,193303,6514,216447,-,13054,1447,76885,518500,3548115,4.04
2014-15,174878,17580,92678,8645,730210,1613240,201280,7267,223582,-,13070,1969,84846,515000,3684245,3.84
2015-16,178458,16870,95453,9589,747872,1719783,207658,7729,239798,13160,13364,2062,105348,521180,3878324,5.27
2016-17,271639,18086,98117,9982,765782,1833118,215547,8002,246406,14421,13368,2490,108479,528997,4134434,6.60
