(Per Quintal/Taka),,,,,,,,,,,,,,,
Sl no,Name of Comodity,,Year-2017,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
209,",,",Red Spinach,"3,000",-,"1,700","1,469","2,500","2,058","2,182","2,221","1,911","2,035","2,471","2,625",
,,,,,,,,,,,,,,,"2,197"
210,",,",Palongsak,"2,683","3,210","3,992","3,490","2,861","2,348","2,284","2,752","2,761","3,160","3,395","2,838",
,,,,,,,,,,,,,,,"2,981"
211,",,",Puisak,"3,000",-,-,"5,313","3,788","2,735","2,639","3,483","3,574","4,231","4,537","4,883",
,,,,,,,,,,,,,,,"3,818"
212,",,",Danta,"3,456","4,328","3,874","2,421","2,200","1,787","2,307","3,692","3,790","4,781","4,485","3,514",
,,,,,,,,,,,,,,,"3,386"
213,",,",Cauliflower,"2,256","2,005","2,132","2,111","1,980","1,856","2,245","3,130","2,564","3,605","2,745","2,420",
,,,,,,,,,,,,,,,"2,421"
214,",,",Cabbage,"1,972","1,579","1,576","1,834","1,838","1,841","2,036","2,974","2,633","3,181","2,763","2,495",
,,,,,,,,,,,,,,,"2,227"
215,",,",Olcopy,"2,165","2,001","2,268","2,763","2,752","3,500","7,950","6,217","7,134","9,462","5,487","3,476",
,,,,,,,,,,,,,,,"4,598"
216,Vegetable :,Carrot,"2,954","3,236","3,577","3,135","2,811","2,483","2,947","4,049","4,087","4,763","4,293","3,196",
,,,,,,,,,,,,,,,"3,461"
217,",,",Greenbanana,"2,109","1,821","1,582","1,794","2,325","3,000","5,996","9,195","8,580","8,207","8,487","5,276",
,,,,,,,,,,,,,,,"4,864"
218,",,",Radish,"5,459","3,949","3,935",-,"4,000",-,-,"4,200",-,-,"3,500","7,250",
,,,,,,,,,,,,,,,"4,613"
219,Others :,Sugar Local,"4,875","4,050","4,284","3,445","2,917","2,198","2,410","3,261","3,304","3,805","3,681","3,684",
,,,,,,,,,,,,,,,"3,493"
220,",,",Sugar Import,"2,574","3,006","3,399","2,801","2,560","1,942","2,212","3,050","2,902","3,563","3,500","3,077",
,,,,,,,,,,,,,,,"2,882"
221,Gur :,Akher Gur,-,"2,800","3,760","2,902","2,402","1,801","1,926","2,552","4,354","2,844","2,730","2,221",
,,,,,,,,,,,,,,,"2,754"
222,",,",Khajur Gur,"1,138",759,"1,250",-,"1,000","1,900","1,669","2,160","2,248","2,252","1,953",996,
,,,,,,,,,,,,,,,"1,575"
223,Salt :,Iodin,"1,388","1,387","1,440","1,487","1,578","1,656","1,890","2,385","2,532","2,698","2,241","1,485",
,,,,,,,,,,,,,,,"1,847"
224,",,",Ordinary,"1,164","1,094","1,069","1,325","1,913","1,883","1,000","1,567","1,675","3,110","2,425","1,638",
,,,,,,,,,,,,,,,"1,655"
Sl no,Name of Comodity,,Year-2017,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
225,Bhushi (Husk):,Masur Husk,"1,453","1,473","1,510","1,244","1,237","1,147","1,280","1,647","1,683","1,875","1,891","1,447",
,,,,,,,,,,,,,,,"1,491"
226,",,",Gram,"1,741","1,452","1,323","1,380","1,328","1,175","1,195","1,414","1,661","2,044","2,333","1,707",
,,,,,,,,,,,,,,,"1,563"
227,",,",Khesari,"1,396","1,414","1,646","1,933","1,683","3,875","2,750","4,017","4,650","5,383","3,531","2,293",
,,,,,,,,,,,,,,,"2,881"
228,",,",Wheat,960,834,850,"1,490","1,888","2,863","2,819","4,126","6,119","4,125","2,982","1,791",
,,,,,,,,,,,,,,,"2,571"
229,",,",Paddy Husk,"1,123","1,096",911,-,-,-,-,-,-,"2,950","2,598","1,907",
,,,,,,,,,,,,,,,"1,764"
230,Firewood,Mango,"1,996","1,646","1,639","2,330","2,762","4,016","4,985","5,282","5,951","5,981","6,107","3,946",
,,,,,,,,,,,,,,,"3,887"
231,",,",Greenbanana,337,354,330,443,350,335,341,349,344,440,461,386,
,,,,,,,,,,,,,,,372
232,",,",Radish,971,802,"1,083","1,542","1,280","2,900","1,881","2,986","3,506","3,327","2,342","1,348",
,,,,,,,,,,,,,,,"1,997"
233,Others :,Sugar Local,"6,579","6,408","6,398","6,122","6,402","6,451","5,896","5,470","5,374","5,187","5,157","5,099",
,,,,,,,,,,,,,,,"5,879"
234,",,",Sugar Import,"6,346","6,407","6,428","6,218","6,404","6,510","5,880","5,397","5,262","5,129","5,038","5,036",
,,,,,,,,,,,,,,,"5,838"
235,Gur :,Akher Gur,"6,739","6,720","6,684","6,635","6,767","6,962","6,951","6,673","6,728","6,462","6,252","6,162",
,,,,,,,,,,,,,,,"6,644"
236,Gur :,Khajur Gur,"8,634","9,051","8,638","8,560","8,130","7,758","7,814","7,678","7,907","6,744","7,681","7,907",
,,,,,,,,,,,,,,,"8,042"
237,Salt :,Iodin,"3,070","3,040","2,993","3,007","3,013","3,075","3,173","3,130","3,143","3,225","3,181","3,045",
,,,,,,,,,,,,,,,"3,091"
238,",,",Ordinary,"1,916","1,998","1,823","1,850","1,858","1,934","1,951","1,952","1,920","1,870","1,870","1,843",
,,,,,,,,,,,,,,,"1,899"
239,"Bhushi
(Husk):",Masur Husk,"2,242","2,271","2,265","2,251","2,244","2,242","2,300","2,180","2,364","2,651","2,592","2,596",
,,,,,,,,,,,,,,,"2,350"
