Crop,,2015-16,,,2016-17,,,2017-18,,
,,"Area '000'
Acres","Per acre
Yield (Kg)","Production
'000'M.Tons","Area '000'
Acres","Per acre
Yield (Kg)","Production
'000'M.Tons","Area '000'
Acres","Per acre
Yield (Kg)","Production
'000'M.Tons"
MAJOR CEREALS,,,,,,,,,,
Rice,,,,,,,,,,
AUS,Local,524,530,278,466,545,254,396,562,223
,HYV,1992,1010,20110,1861,1010,1880,2260,1100,2487
,Total Aus,2516,909,2288,2327,917,2134,2657,1662,2710
AMAN,Broadcast,813,482,392,810,489,396,903,490,442
,T. Local,2747,673,1852,2676,680,1820,2313,579,1341
,HYV,10254,10961,11240,10311,1109,11440,10818,1228,12210
,Total Aman,13814,976,13484,13797,990,13656,14034,997,13993
BORO,Local,117,769,90,84,786,66,80,777,62
,HYV,9992,561,15609,9268,1583,14675,9992,1558,15835
,Hybrid,1685,1922,3239,1708,1916,3273,1935,1900,3678
Total Boro,,11794,1606,18938,11060,1629,18014,12008,1630,19576
Total Rice,,28124,1234,34710,27184,1244,33804,28699,1264,36279
,,,,,,,,0,0,0
Wheat,,1099,1226,1348,1026,1278,1311,868,1267,1098
Total Major Cereals,,29223,1233,36058,28210,1245,35115,29566,1264,37377
MINOR CEREALS,,,,,,,,,,
Barley/Jab,,0.880,360,0.317,1,353,0.287,.287,328,0.244
Jower,,0.230,448,0.122,0.207,446,0.092,0.181,481,0.087
Bazra,,0.089,539,0.048,0.076,526,0.04,0.71,535,0.038
Maize,,827,2956,2445,963,3141,3026,990,3323,3288
Cheena & Kaon,,3,421,1,3,401,1,2,419,1
Other Cereals,,1,200,0.20,1,369,0.485,0,0,0
Total Minor Cereals,,834,2943,2446,968,3126,3027,992,3315,3289
"Total Cereals
(Major+minor)",,30057,1236,37156,29178,1307,38141,30558,1330,40666
PULSES,,,,,,,,,,
Gram,,15,425,6,15,427,6,12,400,5
Arhar,,1,425,1,1,433,1,1,405,0.465
Masur,,382,415,158,382,442,169,386,458,177
Motor,,18,411,7,17,411,7,18,459,8
Mung,,101,351,37,102,340,35,93,368,34
Mashkalai,,98,359,35,103,381,39,109,379,41
Khesari,,280,437,122,277,431,119,258,446,115
Other Pulses,,22,540,11,23,501,11,21,447,9
Garikalai-,,-,-,-,-,-,-,0,-,0
Total Pulses,,917,411,377,920,379,387,898,434,389
