Commodity,Unit,2014-15,,2015-16,,2016-17,,2017-18,
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,3,4,5,6,7,8,9,10
"0105- Livefowl domestic
Spices - other",No.,-,-,,,-,-,-,-
0202-Meat of bovine animal,Kg,-,-,541,144,134844,49254,38005,18920-
0303-Eels fish frozen,Kg,10511080,3002590,8737039,2535290,52454535,2081734,8292251,2898584
,,-,-,-,-,-,-,-,-
"03037-Fish, other frozen",Kg,,,,,,,,
,,,,-,-,-,-,-,-
"03039010-90 Livers and
roes frozen",Kg,,,,,,,,
"03052-Liver/roe dry smoked
sltd in brine",Kg,14500,4325,5000,588,9,7,50,346
"03053- Fish filet dry sltd in
brine not smoked",Kg,-,-,800,158,56500,2940,,
"030549-Sharkfins, smoked
cooked or not salted",Kg,7560,2006,2240,7841,-,-,367,801
"030559- Fish dry salted/ in
brine not smoked",Kg,30150,9473,272129,65619,13265418,1879111,2813624,366870
"030559- Fish dry unsalted,
not smoked",Kg,465804,84714,272129,656,-,-,,
"030569- Fish salted, not
dried/smoked and fish in
brine, other.",Kg,49019,39732,78427,34646,5,1,193903,104159
"030613- Shrimps, frozen",Kg,-,-,41839009,33708040,45296057,40778882,,
"030614- Crabs, frozen",Kg,313351,92180,806495,266837,248788,158999,1924298,777440
"030629- Crustaceans, other,
not frozen",Kg,-,-,-,-,-,-,,
"0402- Milk powder
fat<=1.5%)W/sugar",Kg,193166,72990,519220,82960,16380,6544,8280,4146
"0501- Human hair unworked
wash or not & waste",Kg,8501,8290,10704,17186,5700,15844,95893,19686
,,Quantity,"Value
'000'
Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000'
Tk"
1,2,3,4,5,6,7,8,9,10
"0504-Bladder and gut of
animal not fish",Kg,2184245,1142371,1827410,937876,1942660,1193217,1538411,1074586
"0505- Feathers used for
stuffing; down",Kg,169302,38681,146609,15714,125833,21751,115845,32460
0506- Bones (uncrushed),Kg,7889010,257044,3268600,95449,4138100,145713,1217500,44378
05069- Unworked other,Value,7261510,243399,2086000,78240,537100,5761,,
"05079- Horn antler & similar
pcs of animals",Kg,712814,28545,342128,14267308,187050,8655,10430,753
