12129990- Betel leaves,Kg,-,-,-,-,-,-,,
"13023100-Balsam
Mucilages & thickeners:",Kg,228515,11823,206205,9232,159340,7399,109675,4833
14011000- Bamboo,Kg,63400,1492,73450,1183,124140,2188,143960,3346
"1401-Veg mtrl use for
plaiting: other",Kg,481,358,535,498,159340,7399,143960,3346
"1701- Sugarcane/beet
chem pure/solid other",M.ton,896500,34964,32721420,1180639,2213960,77763,7731000,306338
"1703- Molasses, cane
flavoured coloured",M.ton,452042,54244,300000,4645,20000,3528,27428,2850
"190410- Rice, beaten (Muri)",Kg,5208238,677353,5744294,762433,6181611,850689,6750162,1010541
"19041000 Prepared food:
other",Kg,2390331,416934,1987790,388776,2748008,416779,2164144,408675
"19019010 Pineapple
prep/presv w/sugar or not",Kg,57653,2782,23280,1077,13198161,3404372,23315781,6856189
"2106 Food preparations,
other",Kg,7400,911,52938,6828,56240,7300,143952,18837
"22021000- Non-alcoholic
beverage, other nec",Liter,61865417,4479907,64122783,4480845,86190683,5646632,23596386,1165710
