Crops,Area,,,,,Production,,,,
,2013-14,2014-15,2015-16,2016-17,2017-18,2013-14,2014-15,2015-16,2016-17,2017-18
CEREALS,,,,,,,,,,
Aus,36,32,34,32,37,84,84,82,77,97
Aman,97,97,98,125,127,164,164,170,204,209
Boro,304,307,303,284,309,486,490,484,460,501
Wheat,64,65,66,61,52,89,92,92,90,75
Barley/Jab,01,02,02,01,01,01,04,03,02,02
Jower,07,12,10,05,04,09,10,09,07,07
Bazra,04,02,02,03,03,06,05,05,04,04
Maize,8139,8624,8876,10332,10617,64941,69480,74788,92520,100554
Cheena & Kaon,04,04,04,04,03,07,07,07,05,04
Other Cereals,02,02,0.25,0.49,0,02,01,0.24,0.60,0
PULSES,,,,,,,,,,
Gram,06,06,06,05,05,07,08,08,08,06
Arhar,08,08,08,07,07,11,11,10,10,09
Masur,53,62,66,66,67,96,102,96,105,108
Motor,33,33,32,31,32,47,49,49,48,54
Mung,65,65,68,69,62,90,94,105,99,97
Mashkalai,48,52,53,56,59,57,61,64,56,76
Khesari,46,46,46,46,43,60,66,67,65,63
Gari Kalai,03,638,-,-,0,06,7128,-,-,0
Other Pulses,31,07,38,41,36,51,11,51,75,62
OIL SEEDS,,,,,,,,,,
Til,44,45,44,44,40,74,77,74,74,75
Rape & Mastard,76,84,83,87,80,104,126,125,127,123
Ground nut,105,113,110,141,146,178,179,178,208,211
Linseed,13,10,10,08,08,17,13,13,11,12
Castor,-,-,-,-,0,-,-,-,-,0
Coconut,08,12,12,13,14,410,462,460,492,562
Soyabean,-,,-,-,0,-,-,-,-,0
Other Oil Seeds,197,224,220,233,253,530,660,658,598,779
"SPICES &
CONDIMENTS",,,,,,,,,,
Chillies,125,128,126,143,140,246,275,270,306,315
Onion,443,498,495,545,524,986,1211,1200,1327,1235
Garlic,416,449,445,222,317,782,866,860,1066,1158
Turmeric,164,164,164,169,171,464,441,440,488,510
Ginger,152,164,162,144,154,194,210,210,196,200
Coriander,210,379,375,393,381,578,694,693,689,685
