Crops,Area,,,,,Production,,,,
,2013-14,2014-15,2015-16,2016-17,2017-18,2013-14,2014-15,2015-16,2016-17,2017-18
SUGAR CROPS,,,,,,,,,,
Sugarcane,66,64,60,56,55,66,64,61,56,53
FIBRES,,,,,,,,,,
Jute,98,99,100,109,,145,147,148,161,
Cotton,93,110,111,108,107,114,104,116,151,108
Sunhemp,01,03,03,-,,10,32,30,-,
"DRUGS &
NARCOTICS",,,,,,,,,,
Tea,134,136,135,121,150,178,174,170,216,196
Tobacco,97,99,89,88,82,172,249,178,186,180
Betel nut,43,34,35,49,90,941,817,778,1087,950
Betel Leaves,185,186,192,190,178,292,304,351,346,347
"Other Drugs &
Nurcotics",-,-,-,-,,-,-,-,-,
FRUITS (TEMPORARY),,,,,,,,,,
Banana,114,115,117,120,121,112,113,115,117,117
Pineapple,103,104,103,108,107,151,150,152,161,158
Water Melon,126,-,-,122,121,237,-,-,205,183
FRUITS (Permanent),,,,,,,,,,
Mango,855,55,83,92,98,610,626,714,792,717
Jack Fruit,40,60,49,64,5,454,479,465,474,486
Papaya,37,38,65,48,100,480,489,770,493,482
Litchi,55,81,65,82,471,668,726,770,896,934
Ber,43,44,90,121,74,1221,1343,1285,1348,1700
Guava,105,105,102,135,133,1506,1535,1593,1706,1796
Orange,61,55,54,53,11140,172,187,151,158,157
Pomelo,18,21,18,18,24,866,870,914,902,938
Lime & Lemon,77,107,88,117,81,1123,1089,1034,1096,1063
Other Fruits,0.85,0.77,0.13,03,73,61,61,59,61,47
Other Citrus Fruits,0.137,1.64,0.85,01,,199,232,229,252,
