Zila/Division,,2016-17,,,,,2017-18,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
1,Barguna,94656,38305,25.10,2.315,88685,101612,41120,28.43,2.623,107839
2,Barishal,27785,11244,20.80,1.919,21573,16312,6601,27.65,2.550,16833
3,Bhola,69829,28258,22.95,2.117,59820,105244,42590,27.43,2.530,107753
4,Jhalakathi,26821,10854,22.60,2.085,22626,28430,11505,26.56,2.450,28190
5,Patuakhali,46494,18815,27.00,2.490,46858,58812,23800,27.65,2.550,60699
6,Pirojpur,38592,15617,23.13,2.134,33320,28541,11550,27.49,2.535,29285
1,"Barishal
Division",304177,123094,24.03,2.217,272881,338951,137166,27.71,2.556,350599
7,Bandarban,5710,2311,27.10,2.500,5776,7710,3120,33.99,3.136,9783
8,Brahmanbaria,16743,6776,24.60,2.269,15374,19806,8015,27.65,2.550,20438
9,Chandpur,23244,9406,27.60,2.546,23947,23698,9590,28.29,2.610,25027
10,Chattogram,63175,25566,31.60,2.915,74518,71845,29074,31.12,2.871,83470
11,Cumilla,151919,61478,25.50,2.352,144604,174769,70725,28.45,2.624,185611
12,Cox' Bazar,2780,1125,26.62,2.455,2762,8827,3572,28.95,2.670,9537
13,Feni,13217,5349,24.10,2.223,11890,16522,6686,27.49,2.535,16951
14,Khagrachari,2901,1174,27.00,2.490,2924,4819,1950,27.10,2.500,4875
15,Laksmipur,43101,17442,22.01,2.030,35411,58540,23690,29.05,2.680,63489
16,Noakhali,48433,19600,23.63,2.180,42720,77768,31471,28.19,2.600,81824
17,Rangamati,2410,975,22.30,2.057,2006,1161,470,28.19,2.600,1222
2,"Chattogram
Division",373633,151201,25.95,2.394,361932,465464,188363,28.91,2.666,502227
18,Dhaka,1423,576,24.60,2.269,1307,1843,746,29.27,2.700,2014
19,Faridpur,2459,995,21.00,1.937,1928,3212,1300,27.75,2.560,3328
20,Gazipur,3036,1229,26.30,2.426,2980,3351,1356,29.81,2.750,3729
21,Gopalgonj,897,363,27.22,2.511,911,1334,540,27.10,2.500,1350
22,Kishoregonj,52409,21209,23.30,2.149,45582,59368,24025,29.28,2.701,64892
23,Madaripur,499,202,22.99,2.121,428,680,275,27.99,2.582,710
24,Manikgonj,1252,507,25.30,2.334,1182,1510,611,27.43,2.530,1546
25,Munsigonj,321,130,26.00,2.398,312,220,89,28.63,2.640,235
26,Narayanganj,320,129,24.00,2.214,287,1705,690,28.74,2.651,1829
27,Narsingdi,698,282,21.70,2.002,565,806,326,27.10,2.500,815
28,Rajbari,174,70,26.60,2.454,173,363,147,27.95,2.578,379
29,Shariatpur,4308,1743,20.72,1.911,3332,4448,1800,28.14,2.596,4672
30,Tangail,242,98,22.90,2.112,207,390,158,29.30,2.703,427
3,"Dhaka
Division",68038,27533,23.31,2.150,59193,79231,32063,29.05,2.680,85926
31,Bagerhat,11461,4638,27.90,2.573,11936,12800,5180,28.44,2.624,13590
32,Chuadanga,67070,27142,30.20,2.786,75607,94890,38400,31.60,2.914,111916
