Zila/Division,,2016-17,,,,,2017-18,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Productio
n
(M. Ton)"
33,Jashore,320,129,16.91,1.560,202,0,0,0.00,0.000,0
34,Jhenaidah,56,23,17.10,1.577,36,20,8,17.62,1.625,13
35,Khulna,13455,5445,11.20,1.033,5625,12417,5025,12.92,1.192,5990
36,Kustia,990,401,13.34,1.230,493,272,110,13.80,1.273,140
37,Magura,627,254,11.50,1.061,269,2632,1065,12.01,1.108,1180
38,Meherpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
39,Narail,18908,7652,11.01,1.016,7771,13072,5290,12.55,1.158,6125
40,Satkhira,0,0,0.00,0.000,0,0,0,0.00,0.000,0
4,"Khulna
Division",37298,15094,11.65,1.075,16226,29537,11953,12.71,1.173,14018
41,Jamalpur.,0,0,0.00,0.000,0,0,0,0,0,0
42,Mymensingh,0,0,0.00,0.000,0,0,0,0,0,0
43,Netrokona,0,0,0.00,0.000,0,0,0,0,0,0
44,Sherpur,0,0,0.00,0.000,0,0,0,0,0,0
5,"Mymensingh
Division",0,0,0.00,0.000,0,0,0,0.00,0,0
45,Bogra,0,0,0.00,0.000,0,0,0,0.00,0,0
46,Joypurhat,0,0,0.00,0.000,0,0,0,0.00,0,0
47,Naogaon,60,24,15.54,1.433,35,7537,3050,15.18,1.400,4270
48,Natore,46391,18773,13.54,1.249,23447,43652,17665,15.90,1.466,25900
49,"Chapai
Nawabgonj",0,0,0.00,0.000,0,0,0,0.00,0.000,0
50,Pabna,99130,40116,13.40,1.236,49584,105059,42515,14.90,1.374,58420
51,Rajshahi,0,0,0.00,0.000,0,0,0,0.00,0.000,0
52,Sirajgonj,34581,13994,13.60,1.254,17555,47383,19175,14.52,1.339,25680
6,"Rajshahi
Division","18016
2",72908,13.48,1.243,90620,203631,82405,15.03,1.387,114270
53,Dinajpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
54,Gaibandha,0,0,0.00,0.000,0,0,0,0.00,0.000,0
55,Kurigram,0,0,0.00,0.000,0,0,0,0.00,0.000,0
56,Lalmonirhat,0,0,0.00,0.000,0,0,0,0.00,0.000,0
57,Nilphamari,0,0,0.00,0.000,0,0,0,0.00,0.000,0
58,Panchagar,0,0,0.00,0.000,0,0,0,0.00,0.000,0
59,Rangpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
60,Thakurgaon,0,0,0.00,0.000,0,0,0,0.00,0.000,0
7,"Rangpur
Division",0,0,0.00,0.000,0,0,0,0.00,0.000,0
61,Hobigonj,56052,22683,15.52,1.432,32472,66720,27000,15.18,1.400,37800
62,Maulovibazar,4850,1963,12.60,1.162,2281,4831,1955,15.64,1.442,2820
63,Sunamgonj,0,0,0.00,0.000,0,141,57,10.65,0.982,56
64,Sylhet,8562,3465,14.80,1.365,4730,7846,3175,15.50,1.430,4540
8,Sylhet Division,69464,28111,15.23,1.405,39483,79537,32187,15.23,1.405,45216
BANGLADESH,,810494,327989,13.10,1.208,396272,903078,365456,13.12,1.210,442201
