Zila/Division,,2016-17,,,,,2017-18,,,,
,,Acres,Hectares,"Acre
(Maun
d)","Hectare
(M. Ton)","Productio
n
(M. Ton)",Acres,Hectares,"Acre
(Mau
nd)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Jashore,300673,121676,30.61,2.823,343546,308369,124790,30.63,2.825,352592
34,Jhenaidah,218561,88447,32.66,3.013,266450,245022,99155,30.34,2.798,277473
35,Khulna,163345,66102,31.03,2.862,189197,166219,67265,26.77,2.469,166090
36,Kustia,201553,81564,29.90,2.758,224951,205897,83322,30.02,2.769,230692
37,Magura,139002,56251,28.90,2.666,149950,139444,56430,30.29,2.794,157682
38,Meherpur,58950,23856,32.92,3.037,72439,63248,25595,30.30,2.794,71523
39,Narail,52661,21311,28.54,2.633,56101,69697,28205,30.60,2.823,79620
40,Satkhira,210103,85024,32.99,3.043,258727,205287,83075,30.10,2.777,230671
4,"Khulna
Division",1500420,607187,30.96,2.856,1733931,1560307,631422,29.95,2.763,1744623
41,Jamalpur.,189751,76788,28.90,2.666,204696,165168,66840,30.79,2.840,189814
42,Mymensingh,535628,216757,28.80,2.657,575815,529273,214185,30.45,2.809,601596
43,Netrokona,242521,98143,28.70,2.647,259812,213775,86510,30.38,2.802,242386
44,Sherpur,126655,51255,27.96,2.579,132186,145424,58850,31.83,2.936,172810
5,"Mymensing
h Division",1094555,442942,28.70,2.647,1172509,1053640,426385,30.68,2.830,1206606
45,Bogra,433527,175439,29.90,2.758,483854,387666,156880,30.29,2.794,438273
46,Joypurhat,165380,66926,31.60,2.915,195073,172532,69820,30.54,2.817,196705
47,Naogaon,445069,180110,32.95,3.039,547407,341202,138077,30.41,2.805,387278
48,Natore,139337,56387,32.85,3.030,170856,137821,55773,30.41,2.805,156469
49,"Chapai
Nawabgonj",118097,47791,31.17,2.875,137405,111269,45028,30.13,2.779,125128
50,Pabna,125579,50819,31.06,2.865,145595,127106,51437,30.42,2.806,144346
51,Rajshahi,169063,68416,32.10,2.961,202573,171045,69218,30.24,2.789,193069
52,Sirajgonj,147482,59683,30.81,2.842,169613,142125,57515,30.23,2.789,160382
6,"Rajshahi
Division",1743534,705570,31.54,2.909,2052375,1590766,643748,30.34,2.799,1801650
53,Dinajpur,599917,242773,27.91,2.574,624998,625818,253255,30.32,2.797,708262
54,Gaibandha,254462,102975,28.99,2.674,275358,264976,107230,30.16,2.782,298265
55,Kurigram,207513,83976,27.88,2.572,215956,239852,97063,30.45,2.808,272601
56,Lalmonirhat,201748,81643,30.61,2.823,230515,208511,84380,30.36,2.801,236318
57,Nilphamari,266014,107650,30.29,2.794,300768,275028,111298,30.86,2.847,316827
58,Panchagar,223653,90507,30.49,2.812,254542,238239,96410,30.21,2.786,268621
59,Rangpur,389825,157754,30.64,2.826,445847,400424,162043,30.73,2.835,459364
60,Thakurgaon,312314,126387,30.91,2.851,360344,334713,135451,30.61,2.823,382410
7,"Rangpur
Division",2455446,993665,29.55,2.726,2708328,2587563,1047130,30.47,2.810,2942668
61,Hobigonj,151913,61476,26.25,2.421,148851,177425,71800,30.28,2.793,200532
62,Maulovibazar,232468,94075,28.60,2.638,248174,232857,94232,29.97,2.765,260513
63,Sunamgonj,96662,39117,26.85,2.477,96878,138863,56195,29.20,2.693,151355
64,Sylhet,190799,77212,27.95,2.578,199061,215949,87390,30.41,2.805,245110
8,"Sylhet
Division",671842,271880,27.63,2.549,692964,765095,309617,30.03,2.770,857510
BANGLADESH,,10310651,4172494,29.72,2.742,11439541,10817952,4377788,30.24,2.789,12210162
