Zila/Division,,2017-18,,,,,2018-19,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Jashore,698,282,30.03,2.770,782,480,194,29.22,2.695,524
34,Jhenaidah,6578,2662,33.63,3.102,8257,8379,3391,31.10,2.869,9727
35,Khulna,522,211,25.96,2.395,506,428,173,19.78,1.825,316
36,Kustia,21631,8754,41.50,3.828,33508,23079,9340,38.39,3.541,33072
37,Magura,10593,4287,29.69,2.739,11740,9014,3648,28.77,2.654,9680
38,Meherpur,16335,6610,39.20,3.616,23902,19659,7956,40.37,3.724,29624
39,Narail,4066,1645,30.01,2.768,4555,3750,1518,29.98,2.765,4197
40,Satkhira,2473,1001,29.50,2.721,2724,2171,879,31.24,2.882,2532
4,"Khulna
Division",64966,26291,36.38,3.355,88217,72029,29148,35.41,3.267,95218
41,Jamalpur.,13643,5521,29.47,2.718,15008,10167,4114,32.01,2.953,12148
42,Mymensingh,3136,1269,31.10,2.869,3641,3226,1305,24.42,2.252,2941
43,Netrokona,3980,1611,25.54,2.356,3794,3810,1542,25.05,2.311,3563
44,Sherpur,1579,639,26.34,2.430,1552,2561,1036,27.89,2.573,2666
5,"Mymensingh
Division",22338,9040,28.78,2.654,23995,19764,7998,28.8955,2.665,21317
45,Bogura,6615,2677,27.35,2.523,6753,6461,2615,28.49,2.628,6871
46,Joypurhat,2965,1200,27.61,2.547,3056,5733,2320,28.05,2.587,6003
47,Naogaon,69129,27975,34.04,3.140,87837,58630,23726,34.98,3.227,76554
48,Natore,46986,19014,33.86,3.123,59386,52861,21392,30.98,2.858,61129
49,"Chapai
Nawabgonj",61590,24924,36.61,3.377,84166,63391,25653,37.82,3.489,89490
50,Pabna,62778,25405,33.50,3.090,78502,63068,25522,31.26,2.883,73591
51,Rajshahi,54683,22129,35.28,3.254,72013,61157,24749,32.20,2.970,73507
52,Sirajgonj,14483,5861,29.05,2.680,15705,14653,5930,30.11,2.777,16469
6,"Rajshahi
Division",319229,129185,34.19,3.154,407417,325954,131907,33.17,3.060,403614
53,Dinajpur,23884,9665,31.35,2.892,27949,18485,7480,30.59,2.822,21107
54,Gaibandha,7319,2962,27.62,2.548,7546,8374,3389,28.89,2.665,9030
55,Kurigram,22066,8930,35.10,3.238,28911,20133,8147,33.09,3.052,24868
56,Lalmonirhat,3980,1611,29.90,2.758,4442,3901,1579,30.59,2.822,4454
57,Nilphamari,12204,4939,34.74,3.204,15826,12101,4897,32.25,2.975,14567
58,Panchagar,54489,22051,35.68,3.291,72571,40286,16303,36.17,3.336,54391
59,Rangpur,6684,2705,33.07,3.050,8251,4192,1696,32.04,2.955,5014
60,Thakurgaon,150831,61038,34.97,3.226,196885,124138,50236,35.65,3.288,165193
7,"Rangpur
Division",281457,113899,34.49,3.182,362380,231610,93727,34.5415,3.186,298624
61,Hobigonj,1341,543,21.46,1.979,1074,1206,488,19.87,1.833,894
62,Maulovibazar,190,77,23.47,2.165,166,91,37,24.18,2.230,82
63,Sunamgonj,1385,560,28.70,2.647,1484,1349,546,28.22,2.603,1421
64,Sylhet,865,350,24.45,2.255,789,435,176,19.05,1.757,309
8,"Sylhet
Division",3781,1530,24.90,2.297,3514,3081,1247,23.54,2.171,2707
BANGLADESH,,867884,351213,33.94,3.130,1099373,816322,330348,33.37,3.078,"101681
1"
