Zila/Division,,2016-17,,2017-18,,2018-19,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,0,0,0,0,0,0
2,Barishal,0,0,0,0,0,0
3,Bhola,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0
1,Barishal,0,0,0,0,0,0
7,Bandarban,388,319,396,326,397,329
8,Brahmanbaria,0,0,75,7,20,40
9,Chandpur,2107,3437,1939,3393,1710,2693
10,Chattogram,0,0,0,0,0,0
11,Cumilla,7,10,0,0,86,73
12,Cox's Bazar,0,0,0,0,0,0
13,Feni,0,0,0,0,0,0
14,Khagrachhari,468,431,350,428,388,405
15,Laksmipur,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0
17,Rangamati,962,1276,688,794,538,754
2,Chattogram,3932,5473,3448,4948,3139,4294
18,Dhaka,917,1965,825,1829,827,1842
19,Faridpur,0,0,0,0,0,0
20,Gazipur,123,172,38,76,12,26
21,Gopalganj,0,0,0,0,25,62
22,Kishorganj,0,0,0,0,0,0
23,Madaripur,0,0,0,0,0,0
24,Manikganj,13886,27547,11877,25163,11696,25691
25,Munshiganj,1665,3457,2111,4114,5644,2274
26,Narayanganj,63,85,0,0,0,0
27,Narsingdi,0,0,0,0,0,0
28,Rajbari,0,0,35,82,0,0
29,Shariatpur,0,0,0,0,53,110
30,Tangail,0,0,0,0,0,0
3,Dhaka,16654,33226,14886,31264,18257,30005
31,Bagerhat,0,0,0,0,0,0
32,Chuadanga,266,303,156,150,71,165
33,Jashore,0,0,0,0,0,0
34,Jhenaidah,0,0,0,0,227,1447
35,Khulna,0,0,0,0,0,0
36,Kushtia,513,973,499,1089,625,1382
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,0,0,0,0,0,0
38,Meherpur,0,0,0,0,0,0
39,Narail,0,0,0,0,0,0
40,Satkhira,0,0,0,0,0,0
4,Khulna,779,1276,655,1239,923,2994
41,Jamalpur,0,0,0,0,123,79
42,Mymensing,0,0,0,0,0,0
43,Netrakona,0,0,0,0,0,0
44,Sherpur,0,0,0,0,109,398
5,Mymensing,0,0,0,0,232,477
45,Bogura,2608,5994,1579,3489,1355,3111
46,Joypurhat,189,180,189,180,189,181
47,Naogaon,1825,4170,2599,6265,2232,5125
48,Natore,722,1078,2471,4585,19949,47233
49,Chapai Nawabganj,1590,2415,1517,2690,1636,2885
50,Pabna,56,110,91,243,87,240
51,Rajshahi,20629,46679,20551,50977,20735,52352
52,Sirajganj,85,202,109,202,171,351
6,Rajshahi,27704,60828,29106,68631,46354,111478
53,Dinajpur,17194,45669,13419,36624,10419,29118
54,Gaibandha,452,1397,462,1442,1048,3804
55,Kurigram,744,2110,1244,2200,6167,18059
56,Lalmonirhat,10948,25043,13022,37386,14261,43353
57,Nilphamari,5751,11959,6233,18011,5212,17084
58,Panchagarh,2003,5787,1251,3733,1761,5451
59,Rangpur,19812,50671,20912,55655,20273,53937
60,Thakurgaon,40041,95121,52805,132805,48962,129412
7,Rangpur,96945,237757,109348,287856,108103,300218
61,Habiganj,0,0,0,0,0,0
62,Maulvibazar,0,0,0,0,0,0
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,0,0,0,0,0,0
8,Sylhet,0,0,0,0,0,0
,BANGLADESH,146014,338560,157443,393938,177008,449466
