Zila/Division,,2016-17,,2017-18,,2018-19,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,137,43,89,29,41,14
2,Barishal,995,385,988,385,989,803
3,Bhola,531,307,275,132,275,168
4,Jhallokati,236,82,245,87,244,86
5,Patuakhali,1177,333,945,367,946,370
6,Pirojpur,0,0,0,0,0,0
1,Barishal,3076,1150,2542,1000,2495,1441
7,Bandarban,6,3,6,3,7,3
8,Brahmanbaria,0,0,0,0,0,0
9,Chandpur,0,0,0,0,0,0
10,Chattogram,73,25,73,25,68,24
11,Cumilla,0,0,0,0,0,0
12,Cox's Bazar,0,0,0,0,0,0
13,Feni,45,22,47,25,40,18
14,Khagrachhari,0,0,0,0,0,0
15,Laksmipur,22,4,22,4,17,3
16,Noakhali,162,61,283,109,87,31
17,Rangamati,0,0,0,0,0,0
2,Chattogram,308,115,431,166,219,79
18,Dhaka,5,1,6,2,7,3
19,Faridpur,236,103,343,119,223,90
20,Gazipur,46,18,48,19,47,20
21,Gopalganj,92,41,105,38,93,44
22,Kishorganj,10,3,8,2,6,2
23,Madaripur,1409,511,1289,453,1285,462
24,Manikganj,4,2,4,1,5,2
25,Munshiganj,0,0,0,0,0,0
26,Narayanganj,19,9,19,9,19,7
27,Narsingdi,4,2,5,1,4,1
28,Rajbari,391,143,58,28,59,29
29,Shariatpur,351,172,322,171,289,158
30,Tangail,3,1,3,1,4,2
3,Dhaka,2570,1006,2210,844,2041,820
31,Bagerhat,11,5,8,3,10,4
32,Chuadanga,103,39,113,39,125,44
33,Jashore,287,133,258,115,246,104
34,Jhenaidah,81,36,78,37,90,42
35,Khulna,3,1,3,1,5,2
36,Kushtia,103,39,150,73,351,156
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,402,134,383,116,384,116
38,Meherpur,20,7,21,7,23,8
39,Narail,360,200,360,150,39,16
40,Satkhira,3,1,2,1,3,1
4,Khulna,1373,595,1376,542,1276,493
41,Jamalpur,83,29,83,29,91,36
42,Mymensing,217,134,51,24,55,27
43,Netrakona,0,0,0,0,0,0
44,Sherpur,34,16,38,18,39,18
5,Mymensing,334,179,172,71,185,81
45,Bogura,26,10,26,11,24,10
46,Joypurhat,0,0,0,0,0,0
47,Naogaon,226,86,225,86,222,85
48,Natore,49,21,49,21,62,25
49,Chapai Nawabganj,1910,665,1697,412,1638,474
50,Pabna,152,94,158,100,159,99
51,Rajshahi,4022,2067,3033,1502,3053,1514
52,Sirajganj,72,29,72,29,88,36
6,Rajshahi,6457,2972,5260,2161,5246,2243
53,Dinajpur,12,4,13,4,4,2
54,Gaibandha,49,26,27,16,26,15
55,Kurigram,254,105,243,95,243,107
56,Lalmonirhat,14,8,9,6,10,7
57,Nilphamari,2,1,0,0,0,0
58,Panchagarh,37,11,38,11,38,12
59,Rangpur,26,15,23,12,24,11
60,Thakurgaon,98,48,74,32,79,32
7,Rangpur,492,218,427,176,424,186
61,Habiganj,3,1,0,0,3,1
62,Maulvibazar,2,1,3,4,2,3
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,0,0,0,0,0,0
8,Sylhet,5,2,3,4,5,4
,BANGLADESH,14615,6237,12421,4964,11891,5347
