Name of Crops,2016-17,,2017-18,,2018-19,
,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
"Sesame(Till) (Rabi &
Kharif)",92671,33999,92831,34859,84526,31613
"Rape & Mustard
(Local & HYV)",831260,362860,759874,351537,667242,311740
"Groundnut (Rabi &
Kharif)",91188,66060,94008,66828,87131,62832
Sub-Total,1015119,462919,946713,453224,838899,406185
Linseed,13257,4164,13920,4464,13057,3641
Soya bean,155351,96921,146888,98699,154396,110785
Coconut,9602,408635,10365,466975,88740,431596
Sunflower,3425,1913,3731,2531,3187,1975
Sub-Total,181635,511633,174904,572669,259380,547997
Grand-Total,1196834,974552,1121617,1025893,1098279,954182
