Zila/Division,,2016-17,,2017-18,,2018-19,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,113,51,111,51,113,55
2,Barishal,1109,465,895,395,896,400
3,Bhola,158,53,155,58,89,30
4,Jhallokati,489,254,502,259,507,214
5,Patuakhali,529,172,535,161,540,180
6,Pirojpur,30,6,33,11,32,7
1,Barishal,2428,1001,2231,935,2177,886
7,Bandarban,540,162,540,162,538,165
8,Brahmanbaria,1368,616,1220,507,1300,608
9,Chandpur,242,93,231,46,217,51
10,Chattogram,24,3,24,3,24,3
11,Cumilla,2296,975,2079,904,2243,796
12,Cox's Bazar,0,0,0,0,0,0
13,Feni,0,0,0,0,0,0
14,Khagrachhari,178,35,131,29,22,56
15,Laksmipur,0,0,7,1,6,1
16,Noakhali,15,6,17,7,9,3
17,Rangamati,3472,941,3453,938,3556,692
2,Chattogram,8135,2831,7702,2597,8113,2375
18,Dhaka,796,269,790,267,771,281
19,Faridpur,3623,1461,3621,1461,3815,1560
20,Gazipur,82,25,327,433,305,370
21,Gopalganj,822,408,822,408,768,371
22,Kishorganj,42,9,29,8,31,9
23,Madaripur,550,165,551,170,583,178
24,Manikganj,5280,1258,5308,1461,5224,1626
25,Munshiganj,582,293,601,258,524,204
26,Narayanganj,67,32,0,0,76,37
27,Narsingdi,842,317,1578,610,1370,567
28,Rajbari,4833,2234,4811,2218,4415,2016
29,Shariatpur,61,15,58,13,60,15
30,Tangail,5930,1791,5859,1747,5706,1846
3,Dhaka,23510,8277,24355,9054,23648,9080
31,Bagerhat,387,88,281,57,284,61
32,Chuadanga,754,324,613,262,648,259
33,Jashore,7544,2690,7358,2679,6574,2405
34,Jhenaidah,3967,1263,5136,1853,5597,2058
35,Khulna,5408,868,4666,665,3822,344
36,Kushtia,6704,3597,6750,3659,6739,3595
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,757,268,733,257,389,137
38,Meherpur,298,125,279,121,239,106
39,Narail,4245,1575,3684,1454,2379,959
40,Satkhira,355,89,368,95,333,96
4,Khulna,30419,10887,29868,11102,27004,10020
41,Jamalpur,373,94,448,138,492,158
42,Mymensing,242,71,252,75,290,137
43,Netrakona,40,11,99,60,40,12
44,Sherpur,75,24,88,28,87,25
5,Mymensing,730,200,887,301,909,332
45,Bogura,146,44,150,47,148,45
46,Joypurhat,55,17,55,18,56,18
47,Naogaon,427,173,429,173,436,178
48,Natore,3925,1302,4028,1405,2931,1265
49,Chapai Nawabganj,85,23,93,24,141,36
50,Pabna,9267,3931,9304,3930,8654,3457
51,Rajshahi,2088,893,2376,923,2567,926
52,Sirajganj,4358,1472,4352,1473,2318,821
6,Rajshahi,20351,7855,20787,7993,17251,6746
53,Dinajpur,43,10,62,20,57,17
54,Gaibandha,979,594,877,518,786,452
55,Kurigram,502,163,528,170,533,189
56,Lalmonirhat,122,54,111,48,118,51
57,Nilphamari,58,21,28,8,40,14
58,Panchagarh,4915,1922,4907,1920,3393,1252
59,Rangpur,197,82,201,87,207,85
60,Thakurgaon,190,62,190,62,193,62
7,Rangpur,7006,2908,6904,2833,5327,2122
61,Habiganj,22,9,24,11,24,12
62,Maulvibazar,31,13,31,13,29,14
63,Sunamganj,31,12,33,14,35,18
64,Sylhet,8,6,9,6,9,8
8,Sylhet,92,40,97,44,97,52
,BANGLADESH,92671,33999,92831,34859,84526,31613
