Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M.Tons )",,,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,,2018-19
1,Barguna,0,0,6137,0,0,0,9636,85671,10000,9636,85671,10000,
2,Barishal,231,200,12386,599,600,0,11461,11377,14086,12060,11977,14086,
3,Bhola,40,41,13135,136,153,1766,18632,21402,27573,18768,21555,29339,
4,Jhallokati,0,0,4971,0,0,0,6320,5981,6500,6320,5981,6500,
5,Patuakhali,0,0,6934,0,0,0,14318,11953,10000,14318,11953,10000,
6,Pirojpur,228,228,3325,2318,2320,2526,21096,20922,21396,23414,23242,23922,
1,Barishal,499,469,46888,3053,3073,4292,81463,157306,89555,84516,160379,93847,
7,Bandarban,75,75,31,462,462,462,622,622,622,1084,1084,1084,
8,Brahmanbaria,0,0,167,0,0,0,5604,6102,5323,5604,6102,5323,
9,Chandpur,0,0,2252,0,0,0,8297,9822,12146,8297,9822,12146,
10,Chattogram,199,200,7028,836,838,837,6019,6022,6035,6855,6860,6872,
11,Cumilla,0,0,609,0,0,3108,10362,7427,5767,10362,7427,8875,
12,Cox's Bazar,698,698,729,3259,3259,7773,7359,7359,5282,10618,10618,13055,
13,Feni,445,10,503,50,97,102,2476,2196,2223,2526,2293,2325,
14,Khagrachhari,17,17,166,28,32,33,722,827,888,750,859,921,
15,Laksmipur,0,0,0,0,0,0,13060,13036,13036,13060,13036,13036,
16,Noakhali,945,0,671,0,1491,0,23443,16021,16303,23443,17512,16303,
17,Rangamati,0,245,230,2049,2066,19,2251,2105,653,4300,4171,672,
2,Chattogram,2380,1244,12386,6684,8245,12334,80215,71539,68278,86899,79784,80612,
18,Dhaka,184,29,171,221,0,109,2671,2670,2717,2892,2670,2826,
19,Faridpur,37,37,464,216,220,216,4324,4420,4635,4540,4640,4851,
20,Gazipur,19,18,207,172,174,193,2821,2827,1606,2993,3001,1799,
21,Gopalganj,600,19,367,214,3235,36,2855,7285,3028,3069,10520,3064,
22,Kishorganj,63,25,1254,280,270,320,5309,4740,5315,5589,5010,5635,
23,Madaripur,0,0,480,0,0,0,6334,6334,6090,6334,6334,6090,
24,Manikganj,5,5,814,80,80,70,5563,5568,3839,5643,5648,3909,
25,Munshiganj,0,0,75,0,0,0,1265,1274,1220,1265,1274,1220,
26,Narayanganj,6,26,46,37,0,0,1231,1555,1580,1268,1555,1580,
27,Narsingdi,0,67,109,0,0,0,2487,1873,19061,2487,1873,19061,
28,Rajbari,169,124,657,4532,4811,5650,4216,4587,5213,8748,9398,10863,
29,Shariatpur,0,0,38,0,0,0,7005,6425,6242,7005,6425,6242,
30,Tangail,14,14,266,117,105,98,4337,3480,3149,4454,3585,3247,
3,Dhaka,322,1139,4948,5869,8895,6692,"5041
8",53038,63695,56287,61933,70387,
31,Bagerhat,5343,287,777,5324,5629,0,"1606
7",17428,23538,21391,23057,23538,
32,Chuadanga,112,109,112,538,800,811,898,1321,760,1436,2121,1571,
33,Jashore,509,2569,1552,3752,3879,3969,8313,8540,8508,12065,12419,12477,
34,Jhenaidah,64,67,406,331,354,361,"1126
1",23,13309,11592,377,13670,
35,Khulna,655,655,950,1063,1063,985,7629,7637,6936,8692,8700,7921,
