Name of Crops,2016-17,,2017-18,,2018-19,
,"Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)"
Chili (Kharif),43637,31108,45726,35941,43947,43452
Chili (Rabi),211824,105764,204022,105236,195256,106021
Onion,458969,1866502,441105,1737714,426157,1802868
Garlic,163733,425401,176464,461970,177262,466389
Turmeric,62746,143542,63549,149985,69645,147439
Ginger,22998,77478,23745,79438,23747,80234
Coriander seed,43886,16779,42475,16680,50049,19295
Coriander,0,0,0,0,7377,5487
Cassia Leaf,0,0,0,0,1376,1436
Capsicum,0,0,0,0,8,11
Methi,0,0,0,0,369,185
Mint,0,0,0,0,9,9
Other spices(perennial),156,1590,333,2180,-,-
Other spices (temporary),10329,6606,9287,6414,-,-
Total,1007793,2666574,997086,2586964,995202,2672826
