Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
&Outside Garden (M.Tons
)",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
1,Barguna,0,1580,1497,0,0,0,1277,4148,1103,1277,1039,1103
2,Barishal,0,1592,1531,0,0,0,3413,1433,1900,3413,2811,1900
3,Bhola,0,1278,1084,0,0,0,974,0,1400,974,683,1400
4,Jhallokati,0,1014,940,0,0,0,902,775,893,902,953,893
5,Patuakhali,0,1912,1838,0,0,0,617,3693,585,617,629,585
6,Pirojpur,0,2440,2303,0,0,0,2838,4395,2700,2838,3071,2700
1,Barishal,0,9816,9193,0,0,0,10021,14444,8581,10021,9186,8581
7,Bandarban,0,13,0,0,0,0,9,0,9,9,9,9
8,Brahmanbaria,0,54,51,0,0,0,131,0,127,131,131,127
9,Chandpur,0,1403,1363,0,0,0,4711,0,4277,4711,4488,4277
10,Chattogram,0,1114,1097,0,0,0,2950,0,2798,2950,2838,2798
11,Cumilla,0,490,471,0,0,0,733,0,875,733,875,875
12,Cox's Bazar,1,117,113,5,0,0,175,0,396,180,396,396
13,Feni,0,963,914,0,0,2,1170,0,1105,1170,1142,1107
14,Khagrachhari,0,105,105,0,0,0,374,0,390,374,375,390
15,Laksmipur,0,1686,1621,0,0,0,4672,0,4689,4672,4692,4689
16,Noakhali,0,917,843,0,0,0,3305,0,2018,3305,145,2018
17,Rangamati,9,227,226,38,4,30,440,6,172,478,121,202
2,Chattogram,10,7090,6804,43,4,32,18670,6,16856,18713,15212,16888
18,Dhaka,0,134,74,0,0,0,536,144,333,536,565,333
19,Faridpur,113,2609,2260,944,52,419,4826,2133,4252,5770,6027,4671
20,Gazipur,53,540,513,351,0,83,1335,827,1460,1686,1692,1543
21,Gopalganj,62,2654,2551,66,1407,49,3265,12767,2774,3331,2588,2823
22,Kishorganj,0,86,80,0,0,0,101,116,48,101,32,48
23,Madaripur,0,2872,2680,0,0,0,7392,10127,5755,7392,5303,5755
24,Manikganj,38,1086,1039,179,0,204,2226,206,50,2405,2356,254
25,Munshiganj,0,218,137,0,0,0,1114,21,557,1114,1093,557
26,Narayanganj,0,84,80,0,0,0,255,45,280,255,289,280
27,Narsingdi,0,136,122,0,0,0,279,0,295,279,3534,295
28,Rajbari,5,1004,1417,0,3,220,479,716,178,479,3432,398
29,Shariatpur,3,1512,1295,41,0,22,3023,1201,1388,3064,3145,1410
30,Tangail,17,720,650,94,0,103,1668,0,1889,1762,1591,1992
3,Dhaka,291,13654,12898,1675,1462,1100,26499,28303,19259,28174,31647,20359
31,Bagerhat,0,1926,1850,0,13,0,1963,4540,1838,1963,4101,1838
32,Chuadanga,123,1344,1299,1997,26,2100,3573,850,3778,5570,9720,5878
33,Jashore,260,4969,4029,625,89,5950,12403,2700,6744,13028,8427,12694
34,Jhenaidah,49,4466,4368,1594,346,2960,7906,1720,8938,9500,8870,11898
35,Khulna,17,2046,1672,242,0,137,3288,1551,2783,3530,3727,2920
36,Kushtia,4100,1451,1161,263,28,1605,6168,632,2269,6431,8386,3874
