Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
1,Barguna,0,1909,1058,0,0,0,1245,1245,3212,1245,4148,3212
2,Barishal,0,1031,561,0,0,0,1443,1443,698,1443,1433,698
3,Bhola,0,0,0,0,0,0,0,0,0,0,0,0
4,Jhallokati,0,922,486,0,0,0,592,592,500,592,775,500
5,Patuakhali,0,2464,1071,0,0,0,2260,2260,3668,2260,3693,3668
6,Pirojpur,0,2117,796,0,0,0,4677,4677,4027,4677,4395,4027
1,Barishal,0,8443,3972,0,0,0,10217,10217,12105,10217,14444,12105
7,Bandarban,0,0,0,0,0,0,0,0,0,0,0,0
8,Brahmanbaria,0,0,0,0,0,0,0,0,0,0,0,0
9,Chandpur,0,0,0,0,0,0,0,0,0,0,0,0
10,Chattogram,0,0,0,0,0,0,0,0,0,0,0,0
11,Cumilla,0,0,0,0,0,0,0,0,0,0,0,0
12,Cox's Bazar,0,0,0,0,0,0,0,0,0,0,0,0
13,Feni,0,0,0,0,0,0,0,0,0,0,0,0
14,Khagrachhari,0,0,0,0,0,0,0,0,0,0,0,0
15,Laksmipur,0,0,0,0,0,0,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0,0,0,0,0,0,0
17,Rangamati,1,5,6,4,4,4,0,4,7,4,10,11
2,Chattogram,1,5,6,4,4,4,6,10,7,10,10,11
18,Dhaka,0,90,5,0,0,0,199,199,134,199,144,134
19,Faridpur,19,1104,3,85,52,322,2055,2140,468,2140,2215,790
20,Gazipur,0,341,11,0,0,35,867,867,86,867,827,121
21,Gopalganj,94,2152,31,1407,1407,368,12767,14174,382,14174,14174,750
22,Kishorganj,0,43,4,0,0,0,111,111,45,111,116,45
23,Madaripur,0,3173,27,0,0,547,11785,11785,1503,11785,10127,2050
24,Manikganj,0,124,15,0,0,0,209,209,197,209,206,197
25,Munshiganj,0,20,5,0,0,0,21,21,20,21,21,20
26,Narayanganj,0,75,5,0,0,0,45,45,39,45,45,39
27,Narsingdi,0,0,0,0,0,0,0,0,0,0,0,0
28,Rajbari,0,255,17,0,3,696,736,736,378,736,719,1074
29,Shariatpur,7,731,15,11,0,317,1224,1235,102,1235,1201,419
30,Tangail,0,0,0,0,0,0,0,0,0,0,0,0
3,Dhaka,120,8109,138,1503,1462,2285,30019,31522,3354,31522,29795,5639
31,Bagerhat,5,2190,37,23,13,0,4659,4682,4141,4682,4553,4141
32,Chuadanga,0,136,902,8,26,185,910,918,36,918,876,221
33,Jashore,9,672,146,83,89,85,2540,2623,2721,2623,2789,2806
34,Jhenaidah,20,393,52,329,346,0,2045,2374,1581,2374,2066,1581
35,Khulna,0,833,51,0,0,0,1427,1427,1235,1427,1551,1235
36,Kushtia,1,202,16,30,28,0,647,677,589,687,660,589
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
37,Magura,0,1053,0,0,0,0,2706,2072,1864,2706,2072,1864
38,Meherpur,0,81,22,0,0,0,320,289,321,320,289,321
39,Narail,29,1149,495,1102,1296,248,13217,13093,6886,14319,14389,7134
40,Satkhira,7,1270,876,125,122,0,5863,6476,3836,5988,6598,3836
4,Khulna,71,7979,2597,1700,1920,518,34334,33923,23210,36034,35843,23728
41,Jamalpur,0,0,5,0,0,0,0,0,9,0,0,9
42,Mymensing,0,0,0,0,0,0,0,0,0,0,0,0
43,Netrakona,0,6,0,0,0,0,5,5,8,5,5,8
44,Sherpur,0,51,7,0,0,0,32,32,44,32,32,44
5,Mymensing,0,57,12,0,0,0,37,37,61,37,37,61
45,Bogura,0,824,98,0,0,0,557,575,683,557,575,683
46,Joypurhat,0,104,0,0,0,0,172,179,184,172,179,184
47,Naogaon,4,3349,413,489,0,0,1933,2536,2550,2422,2536,2550
48,Natore,0,1105,0,0,0,0,2855,2149,2849,2855,2146,2849
49,Chapai Nawabganj,0,163,51,0,0,0,515,618,620,515,618,620
50,Pabna,0,418,147,0,0,68,581,393,375,581,393,443
51,Rajshahi,0,1845,0,0,0,0,4328,4277,0,4328,4277,0
52,Sirajganj,0,20,2,0,0,0,24,22,23,24,22,23
6,Rajshahi,4,7827,711,489,0,68,10965,10749,7284,11454,10746,7352
53,Dinajpur,0,295,38,0,0,0,172,182,181,172,182,181
54,Gaibandha,0,71,8,0,0,0,94,24,24,94,24,24
55,Kurigram,0,10,1,0,0,0,8,3,3,8,3,3
56,Lalmonirhat,0,0,0,0,0,0,0,0,0,0,0,0
57,Nilphamari,0,16,3,0,0,0,9,9,10,9,9,10
58,Panchagarh,0,4,0,0,0,0,2,2,2,2,2,2
59,Rangpur,0,207,17,0,0,0,126,130,135,126,130,135
60,Thakurgaon,0,14,1,0,7,0,17,11,20,17,18,20
7,Rangpur,0,617,68,0,7,0,428,361,375,428,368,375
61,Habiganj,0,0,0,0,0,0,0,0,0,0,0,0
62,Maulvibazar,0,0,1,0,0,0,19,0,19,19,0,19
63,Sunamganj,0,0,0,0,0,0,0,0,0,0,0,0
64,Sylhet,0,0,0,0,0,0,0,0,0,0,0,0
8,Sylhet,0,0,1,0,0,0,19,0,19,19,0,19
,BANGLADESH,196,33036,7505,3696,3393,2875,86025,87823,46415,89721,91216,49290
