Zila/Division,,2017-18,,,,,2018-19,,,,
,,Area,,Yield per,,"Production
(Bales)",Area,,Yield per,,"Production
(Bales)"
,,Acres,Hectares,"Acre
(Bales)","Hectare
(Bales)",,Acres,Hectares,"Acre
(Bales)","Hectare
(Bales)",
33,Jashore,71361,28878,5.13,12.677,366082,70066,28354,5.03,12.430,352432
34,Jhenaidah,59512,24083,5.27,13.023,313628,57343,23205,5.37,13.270,307932
35,Khulna,4921,1991,4.76,11.762,23424,4820,1951,4.67,11.540,22509
36,Kustia,102225,41368,5.05,12.479,516236,105770,42803,5.33,13.171,563754
37,Magura,99215,40150,4.84,11.960,480201,97875,39608,3.95,9.761,386606
38,Meherpur,64020,25907,5.24,12.949,335465,63721,25786,5.13,12.677,326889
5,Narail,54513,22060,5.01,12.380,273110,53660,21715,5.26,12.998,282252
39,Satkhira,28739,11630,5.05,12.479,145132,23589,9546,5.25,12.973,123842
40,Khulna Division,542418,219505,5.08,12.564,2757911,536476,217100,4.99,12.331,2677051
41,Jamalpur.,98955,40045,4.74,11.713,469047,91785,37143,4.81,11.886,441486
42,Mymensingh,16893,6836,3.91,9.662,66052,15241,6168,3.74,9.242,57001
43,Netrokona,12556,5081,4.08,10.082,51228,13763,5570,5.71,14.110,78587
44,Sherpur,5704,2308,3.74,9.242,21333,4691,1898,3.13,7.735,14683
5,"Mymensingh
Division",134108,54271,4.53,11.197,607660,125480,50779,4.72,11.654,591757
45,Bogura,16269,6584,4.99,12.331,81182,17508,7085,5.03,12.430,88065
46,Joypurhat,7054,2855,5.12,12.652,36116,6964,2818,5.11,12.627,35588
47,Naogaon,16862,6824,5.07,12.528,85490,15072,6099,5.27,13.023,79429
48,Natore,60093,24318,4.95,12.232,297460,61767,24996,4.61,11.392,284746
49,"Chapai
Nawabgonj",2883,1167,4.83,11.935,13925,2714,1098,4.96,12.257,13461
50,Pabna,109644,44371,5.19,12.825,569052,112690,45603,4.93,12.183,555562
51,Rajshahi,34985,14158,5.17,12.776,180872,33892,13715,5.04,12.454,170816
52,Sirajgonj,33447,13535,4.57,11.293,152853,35527,14377,4.56,11.268,162003
6,"Rajshahi
Division",281237,113810,5.04,12.450,1416952,286134.3,115792,4.86,12.001,1389670
53,Dinajpur,21101,8539,4.96,12.257,104661,22690,9182,4.24,10.477,96206
54,Gaibandha,31368,12694,5.06,12.504,158722,32048,12969,4.98,12.306,159599
55,Kurigram,42803,17321,5.16,12.751,220863,41839,16931,5.28,13.047,220910
56,Lalmonirhat,10314,4174,5.24,12.949,54045,10086,4082,5.42,13.393,54666
57,Nilphamari,24780,10028,4.58,11.318,113492,25953,10503,4.90,12.108,127170
58,Panchagar,26978,10917,4.63,11.441,124908,27323,11057,4.19,10.354,114483
59,Rangpur,27473,11118,5.01,12.380,137640,29768,12046,5.39,13.319,160450
60,Thakurgaon,21464,8686,5.03,12.430,107964,21811,8826,5.11,12.627,111454
7,"Rangpur
Division",206281,83477,4.96,12.246,1022296,211518,85597,4.94,12.208,1044937
61,Hobigonj,850,344,4.57,11.293,3885,883,357,4.11,10.150,3627
62,Maulovibazar,0,0,0.00,0.000,0,0,0,0.00,0.000,0
63,Sunamgonj,2356,953,2.65,6.548,6243,2512,1017,2.05,5.066,5150
64,Sylhet,0,0,0.00,0.000,0,1303,527,1.55,3.298,1739
8,Sylhet Division,3206,1297,3.16,7.806,10128,4698,1901,2.24,5.531,10516
BANGLADESH,,1873632,758218,4.75,11.731,8894683,1852479,749658,4.63,11.440,8576087
