Zila/Division,,2016-17,,2017-18,,2018-19,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,870,1650,870,1474,761,1622
2,Barishal,4655,9456,4841,7151,4842,6520
3,Bhola,794,1252,808,1332,737,1191
4,Jhallokati,1058,1275,1081,1330,1100,1396
5,Patuakhali,647,1125,654,1188,835,1310
6,Pirojpur,1143,1693,1159,1592,1154,1645
1,Barishal,9167,16451,9413,14067,9429,13684
7,Bandarban,101,84,96,80,96,80
8,Brahmanbaria,12,5,0,0,0,0
9,Chandpur,258,724,264,598,267,597
10,Chattogram,976,1778,960,1749,535,1201
11,Cumilla,188,642,188,653,193,657
12,Cox's Bazar,13446,21254,8521,21902,8502,21890
13,Feni,88,120,93,134,13,26
14,Khagrachhari,127,217,134,231,144,242
15,Laksmipur,419,545,435,562,441,587
16,Noakhali,664,964,639,813,416,2498
17,Rangamati,219,240,214,226,206,216
2,Chattogram,16498,26573,11544,26948,10813,27994
18,Dhaka,0,0,0,0,0,0
19,Faridpur,190,375,173,346,190,375
20,Gazipur,38,137,38,134,39,127
21,Gopalganj,57,197,63,214,33,88
22,Kishorganj,154,267,159,275,151,264
23,Madaripur,347,1124,349,1126,107,149
24,Manikganj,20,100,0,0,0,0
25,Munshiganj,177,337,173,326,139,1011
26,Narayanganj,4,6,3,5,2,3
27,Narsingdi,354,722,359,739,331,675
28,Rajbari,243,590,249,987,245,1071
29,Shariatpur,1268,1276,1210,1269,1186,1252
30,Tangail,34,161,34,167,29,155
3,Dhaka,2886,5292,2810,5588,2452,5170
31,Bagerhat,2427,5074,2500,5411,2403,5313
32,Chuadanga,7290,40892,7341,41379,7476,42161
33,Jashore,1403,7225,1518,7525,1591,7786
34,Jhenaidah,5238,38150,5657,38655,5773,38675
35,Khulna,666,2266,675,2119,667,2055
36,Kushtia,3453,24746,3526,24827,3585,19332
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,154,767,155,759,49,251
38,Meherpur,197,1478,198,1885,206,1814
39,Narail,1043,7506,1032,7447,1091,7871
40,Satkhira,1131,2690,1167,2844,1214,2929
4,Khulna,23002,130794,23769,132851,24055,128187
41,Jamalpur,66,213,63,203,57,186
42,Mymensing,302,1056,288,1001,295,1024
43,Netrakona,20,46,19,46,21,47
44,Sherpur,57,193,63,216,75,257
5,Mymensing,445,1508,433,1466,448,1514
45,Bogura,76,187,64,156,75,183
46,Joypurhat,22,75,24,75,24,130
47,Naogaon,20,69,43,121,42,221
48,Natore,255,700,225,963,269,736
49,Chapai Nawabganj,23,65,0,0,27,92
50,Pabna,57,149,59,152,86,165
51,Rajshahi,4592,28610,4780,28197,4868,28640
52,Sirajganj,0,0,0,0,0,0
6,Rajshahi,5045,29855,5195,29664,5391,30167
53,Dinajpur,56,140,53,129,59,156
54,Gaibandha,250,926,263,1100,278,1171
55,Kurigram,85,146,80,142,58,95
56,Lalmonirhat,5,5,5,5,10,11
57,Nilphamari,0,0,0,0,0,0
58,Panchagarh,91,100,87,41,89,96
59,Rangpur,191,300,193,313,208,347
60,Thakurgaon,0,0,0,0,0,0
7,Rangpur,678,1617,681,1730,702,1876
61,Habiganj,461,138,395,104,354,99
62,Maulvibazar,407,1598,420,1630,420,1642
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,230,426,230,426,187,296
8,Sylhet,1098,2162,1045,2160,961,2037
,BANGLADESH,58819,214252,54890,214474,54251,210629
