Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
1,Barguna,0,0,0,0,0,0,0,0,0,0,0,79
2,Barishal,0,0,0,0,0,0,0,0,0,0,0,232
3,Bhola,0,0,0,0,0,0,0,0,0,0,0,73
4,Jhallokati,0,0,0,0,0,0,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0,0,0,0,0,0,221
6,Pirojpur,0,0,0,0,0,0,0,0,0,0,0,23
1,Barishal,0,0,0,0,0,0,0,0,0,0,0,628
7,Bandarban,0,0,0,0,0,0,0,0,0,0,0,0
8,Brahmanbaria,0,0,8,0,0,0,0,0,0,0,0,16
9,Chandpur,0,0,199,0,0,0,0,0,0,0,0,199
10,Chattogram,0,0,0,0,0,0,0,0,0,0,0,16
11,Cumilla,0,0,0,0,0,0,0,0,0,0,0,126
12,Cox's Bazar,0,0,0,0,0,0,0,0,0,0,0,0
13,Feni,0,0,0,0,0,0,0,0,0,0,0,2
14,Khagrachhari,0,0,0,0,0,0,0,0,0,0,0,15
15,Laksmipur,0,0,0,0,0,0,0,0,0,0,0,43
16,Noakhali,0,0,0,0,0,0,0,0,0,0,0,128
17,Rangamati,0,0,0,0,0,0,0,0,0,0,0,0
2,Chattogram,0,0,0,0,0,0,0,0,0,0,0,545
18,Dhaka,0,0,0,0,0,0,0,0,0,0,0,72
19,Faridpur,0,0,0,0,0,0,0,0,0,0,0,37
20,Gazipur,0,0,0,0,0,0,0,0,0,0,0,64
21,Gopalganj,0,0,0,0,0,0,0,0,0,0,0,11
22,Kishorganj,0,0,0,0,0,0,0,0,0,0,0,2
23,Madaripur,0,0,0,0,0,0,0,0,0,0,0,0
24,Manikganj,0,0,0,0,0,0,0,0,0,0,0,0
25,Munshiganj,0,0,0,0,0,0,0,0,0,0,0,24
26,Narayanganj,0,0,32,0,0,0,0,0,0,0,0,30
27,Narsingdi,0,0,0,0,0,0,0,0,0,0,0,10
28,Rajbari,0,0,0,0,0,0,0,0,0,0,0,0
29,Shariatpur,0,0,0,0,0,0,0,0,0,0,0,32
30,Tangail,0,0,0,0,0,0,0,0,0,0,0,0
3,Dhaka,0,0,32,0,0,0,0,0,0,0,0,282
31,Bagerhat,0,0,0,0,0,0,0,0,0,0,0,0
32,Chuadanga,0,0,0,0,0,0,0,0,0,0,0,9
33,Jashore,0,0,0,0,0,0,0,0,0,0,0,28
34,Jhenaidah,0,0,0,0,0,0,0,0,0,0,0,0
35,Khulna,0,0,0,0,0,0,0,0,0,0,0,0
36,Kushtia,0,0,0,0,0,0,0,0,0,0,0,0
