Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
1,Barguna,0,0,0,0,0,0,0,0,0,0,0,0
2,Barishal,0,0,25,0,0,0,0,0,58,0,0,58
3,Bhola,0,0,4,0,0,0,0,0,5,0,0,5
4,Jhallokati,0,0,19,0,0,0,0,0,13,0,0,13
5,Patuakhali,0,0,10,0,0,0,0,0,8,0,0,8
6,Pirojpur,0,0,3,0,0,0,0,0,4,0,0,4
1,Barishal,0,0,61,0,0,0,0,0,88,0,0,88
7,Bandarban,0,0,3,0,0,0,0,0,1,0,0,1
8,Brahmanbaria,0,0,24,0,0,0,0,0,29,0,0,29
9,Chandpur,0,0,11,0,0,0,0,0,9,0,0,9
10,Chattogram,0,0,13,0,0,0,0,0,9,0,0,9
11,Cumilla,0,0,47,0,0,16,0,0,9,0,0,25
12,Cox's Bazar,0,0,0,0,0,0,0,0,0,0,0,0
13,Feni,0,0,11,0,0,0,0,0,2,0,0,2
14,Khagrachhari,0,0,4,0,0,0,0,0,2,0,0,2
15,Laksmipur,0,0,0,0,0,0,0,0,0,0,0,0
16,Noakhali,0,0,8,0,0,0,0,0,6,0,0,6
17,Rangamati,0,0,2,0,0,0,0,0,225,0,0,225
2,Chattogram,0,0,123,0,0,16,0,0,292,0,0,308
18,Dhaka,0,0,7,0,0,0,0,0,20,0,0,20
19,Faridpur,0,0,33,0,0,0,0,0,51,0,0,51
20,Gazipur,0,0,9,0,0,0,0,0,16,0,0,16
21,Gopalganj,0,0,25,0,0,0,0,0,65,0,0,65
22,Kishorganj,0,0,19,0,0,0,0,0,19,0,0,19
23,Madaripur,0,0,23,0,0,0,0,0,161,0,0,161
24,Manikganj,0,0,3,0,0,0,0,0,117,0,0,117
25,Munshiganj,0,0,2,0,0,0,0,0,193,0,0,193
26,Narayanganj,0,0,8,0,0,0,0,0,30,0,0,30
27,Narsingdi,0,0,26,0,0,0,0,0,39,0,0,39
28,Rajbari,0,0,8,0,0,4,0,0,15,0,0,19
29,Shariatpur,0,0,21,0,0,0,0,0,11,0,0,11
30,Tangail,0,0,109,0,0,0,0,0,127,0,0,127
3,Dhaka,0,0,293,0,0,4,0,0,864,0,0,868
31,Bagerhat,0,0,0,0,0,0,0,0,0,0,0,0
32,Chuadanga,0,0,5,0,0,0,0,0,5,0,0,5
33,Jashore,0,0,32,0,0,0,0,0,120,0,0,120
34,Jhenaidah,0,0,26,0,0,0,0,0,46,0,0,46
35,Khulna,0,0,17,0,0,0,0,0,7,0,0,7
36,Kushtia,0,0,35,0,0,0,0,0,26,0,0,26
