Zila/Division,,2016-17,,2017-18,,2018-19,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,66,42,70,85,70,85
2,Barishal,190,254,479,721,479,721
3,Bhola,203,302,220,335,220,335
4,Jhallokati,109,93,145,124,145,124
5,Patuakhali,28,38,28,33,28,33
6,Pirojpur,172,163,185,172,185,172
1,Barishal,768,892,1127,1470,1127,1470
7,Bandarban,347,667,344,667,346,667
8,Brahmanbaria,390,679,476,864,296,999
9,Chandpur,183,311,187,321,176,324
10,Chattogram,833,4422,841,4473,846,4512
11,Cumilla,570,1358,570,1420,580,1696
12,Cox's Bazar,150,400,143,397,143,397
13,Feni,83,153,81,150,77,146
14,Khagrachhari,725,2020,749,2078,776,2370
15,Laksmipur,68,97,67,94,67,98
16,Noakhali,78,109,39,21,0,0
17,Rangamati,581,2545,585,2551,596,2619
2,Chattogram,4008,12761,4082,13036,3903,13828
18,Dhaka,1021,1840,1020,1254,1023,1464
19,Faridpur,813,3004,780,2946,813,3004
20,Gazipur,1111,1313,1106,1319,1102,1326
21,Gopalganj,246,672,250,654,258,685
22,Kishorganj,355,1068,360,925,334,877
23,Madaripur,153,278,154,282,111,231
24,Manikganj,487,585,495,616,554,673
25,Munshiganj,423,486,448,480,453,483
26,Narayanganj,393,689,392,696,375,634
27,Narsingdi,1153,2732,1038,3116,1047,3170
28,Rajbari,808,1995,843,3778,891,4053
29,Shariatpur,144,256,152,254,155,243
30,Tangail,1021,1840,1398,3934,1427,4083
3,Dhaka,8128,16758,8436,20254,8543,20926
31,Bagerhat,521,1442,521,1461,511,1300
32,Chuadanga,2102,6316,2111,6345,2138,6485
33,Jashore,3057,16292,3068,16728,3026,16639
34,Jhenaidah,2367,11466,2685,12972,2677,13897
35,Khulna,420,918,396,730,408,740
36,Kushtia,1076,4771,310,871,1113,4997
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,456,1886,467,1950,474,1951
38,Meherpur,626,3455,623,3451,638,3643
39,Narail,420,2152,418,2195,455,2436
40,Satkhira,1083,3891,1132,3946,1118,3801
4,Khulna,12128,52589,11731,50649,12558,55889
41,Jamalpur,792,2178,822,2276,878,2396
42,Mymensing,1547,4793,1542,4875,1742,4900
43,Netrakona,154,357,150,357,202,410
44,Sherpur,754,2246,774,2247,789,2294
5,Mymensing,3247,9574,3288,9755,3611,10000
45,Bogura,1305,5368,1442,5804,1476,5971
46,Joypurhat,498,3363,509,3419,497,3241
47,Naogaon,1135,6999,1091,6760,1083,6637
48,Natore,529,1017,521,960,483,801
49,Chapai Nawabganj,710,1872,717,1882,709,1988
50,Pabna,2390,6075,2427,5892,2458,6108
51,Rajshahi,2548,17014,2444,16246,2617,18036
52,Sirajganj,612,2126,614,2300,598,2259
6,Rajshahi,9727,43834,9765,43263,9921,45041
53,Dinajpur,1199,3830,1085,3248,1093,3317
54,Gaibandha,1613,5339,1563,5171,1503,4944
55,Kurigram,643,2146,634,2150,649,2532
56,Lalmonirhat,432,1178,388,1278,437,1453
57,Nilphamari,482,1896,366,1476,484,1911
58,Panchagarh,379,802,392,811,398,781
59,Rangpur,1042,2541,997,2443,1001,2464
60,Thakurgaon,1165,3280,1173,2599,1190,2628
7,Rangpur,6955,21012,6598,19176,6755,20030
61,Habiganj,284,665,298,664,314,843
62,Maulvibazar,295,1456,298,1475,299,1479
63,Sunamganj,79,291,93,338,109,585
64,Sylhet,46,59,44,65,73,98
8,Sylhet,704,2471,733,2542,795,3005
,BANGLADESH,45665,159891,45760,160145,47213,170189
