Zila/Division,,2016-17,,2017-18,,2018-19,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,0,0,0,0,32,78
2,Barishal,0,0,0,0,236,833
3,Bhola,0,0,0,0,40,98
4,Jhallokati,0,0,0,0,165,300
5,Patuakhali,0,0,0,0,90,148
6,Pirojpur,0,0,0,0,216,610
1,Barishal,0,0,0,0,779,2067
7,Bandarban,0,0,0,0,36,43
8,Brahmanbaria,0,0,0,0,11,72
9,Chandpur,0,0,0,0,47,86
10,Chattogram,0,0,0,0,176,349
11,Cumilla,0,0,0,0,10,27
12,Cox's Bazar,0,0,0,0,0,0
13,Feni,0,0,0,0,18,48
14,Khagrachhari,0,0,0,0,160,450
15,Laksmipur,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0
17,Rangamati,0,0,0,0,184,514
2,Chattogram,0,0,0,0,642,1589
18,Dhaka,0,0,0,0,0,0
19,Faridpur,0,0,0,0,187,832
20,Gazipur,0,0,0,0,37,142
21,Gopalganj,0,0,0,0,159,572
22,Kishorganj,0,0,0,0,6,12
23,Madaripur,0,0,0,0,21,67
24,Manikganj,0,0,0,0,49,57
25,Munshiganj,0,0,0,0,0,0
26,Narayanganj,0,0,0,0,69,217
27,Narsingdi,0,0,0,0,0,0
28,Rajbari,0,0,0,0,71,254
29,Shariatpur,0,0,0,0,8,22
30,Tangail,0,0,0,0,204,692
3,Dhaka,0,0,0,0,811,2867
31,Bagerhat,0,0,0,0,239,553
32,Chuadanga,0,0,0,0,102,487
33,Jashore,0,0,0,0,673,4321
34,Jhenaidah,0,0,0,0,272,1311
35,Khulna,0,0,0,0,136,460
36,Kushtia,0,0,0,0,169,661
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,0,0,0,0,4,12
38,Meherpur,0,0,0,0,0,0
39,Narail,0,0,0,0,153,520
40,Satkhira,0,0,0,0,140,218
4,Khulna,0,0,0,0,1888,8543
41,Jamalpur,0,0,0,0,8,28
42,Mymensing,0,0,0,0,98,291
43,Netrakona,0,0,0,0,11,36
44,Sherpur,0,0,0,0,5,89
5,Mymensing,0,0,0,0,122,444
45,Bogura,0,0,0,0,23,71
46,Joypurhat,0,0,0,0,21,87
47,Naogaon,0,0,0,0,56,216
48,Natore,0,0,0,0,87,235
49,Chapai Nawabganj,0,0,0,0,38,82
50,Pabna,0,0,0,0,21,86
51,Rajshahi,0,0,0,0,15,88
52,Sirajganj,0,0,0,0,24,93
6,Rajshahi,0,0,0,0,285,958
53,Dinajpur,0,0,0,0,157,481
54,Gaibandha,0,0,0,0,4,8
55,Kurigram,0,0,0,0,0,0
56,Lalmonirhat,0,0,0,0,3,14
57,Nilphamari,0,0,0,0,7,31
58,Panchagarh,0,0,0,0,52,81
59,Rangpur,0,0,0,0,13,52
60,Thakurgaon,0,0,0,0,66,133
7,Rangpur,0,0,0,0,245,377
61,Habiganj,0,0,0,0,0,0
62,Maulvibazar,0,0,0,0,0,0
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,0,0,0,0,0,0
8,Sylhet,0,0,0,0,0,0
,BANGLADESH,0,0,0,0,4772,16845
