Zila/Division,,2016-17,,2017-18,,2018-19,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,45,21,41,45,43,48
2,Barishal,255,419,263,433,265,436
3,Bhola,268,671,281,689,280,687
4,Jhallokati,84,263,100,102,102,107
5,Patuakhali,77,58,79,127,83,128
6,Pirojpur,196,343,205,365,206,366
1,Barishal,925,1775,969,1761,979,1772
7,Bandarban,226,366,226,366,228,369
8,Brahmanbaria,146,663,150,654,175,781
9,Chandpur,188,398,190,412,190,390
10,Chattogram,1508,4752,1497,4742,1498,4884
11,Cumilla,943,5465,752,3345,750,3343
12,Cox's Bazar,208,463,219,471,207,455
13,Feni,336,310,320,287,320,288
14,Khagrachhari,406,1016,421,1045,421,1044
15,Laksmipur,517,842,517,896,320,288
16,Noakhali,373,824,373,724,345,649
17,Rangamati,314,781,314,791,330,785
2,Chattogram,5165,15880,4979,13733,4784,13276
18,Dhaka,227,310,239,173,240,175
19,Faridpur,190,141,192,157,193,159
20,Gazipur,409,453,409,453,406,448
21,Gopalganj,257,595,299,738,300,738
22,Kishorganj,443,1079,444,1251,306,812
23,Madaripur,83,282,93,335,92,335
24,Manikganj,148,58,150,59,149,57
25,Munshiganj,77,86,77,76,77,74
26,Narayanganj,169,352,169,353,171,354
27,Narsingdi,260,509,249,532,248,531
28,Rajbari,99,92,106,99,107,101
29,Shariatpur,92,116,94,122,97,124
30,Tangail,855,1572,887,1631,887,1630
3,Dhaka,3309,5645,3408,5979,3273,5538
31,Bagerhat,140,119,140,118,147,139
32,Chuadanga,17,20,24,29,28,35
33,Jashore,665,3015,679,3042,636,2972
34,Jhenaidah,367,871,378,923,384,944
35,Khulna,171,231,171,241,165,215
36,Kushtia,11,13,10,12,12,14
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,76,184,78,190,81,204
38,Meherpur,8,40,8,64,8,63
39,Narail,183,521,180,520,188,519
40,Satkhira,100,220,115,252,155,255
4,Khulna,1738,5234,1783,5391,1804,5360
41,Jamalpur,216,515,260,577,261,579
42,Mymensing,1543,4671,869,1923,869,1920
43,Netrakona,170,519,200,370,201,372
44,Sherpur,362,1026,387,1727,388,1729
5,Mymensing,2291,6731,1716,4597,1719,4600
45,Bogura,275,738,278,745,280,748
46,Joypurhat,1471,6136,1474,6039,1471,6136
47,Naogaon,51,118,51,128,52,136
48,Natore,111,65,111,65,108,73
49,Chapai Nawabganj,0,0,0,0,0,0
50,Pabna,55,318,73,4,74,385
51,Rajshahi,8,5,7,4,9,6
52,Sirajganj,495,932,407,815,407,816
6,Rajshahi,2466,8312,2401,7800,2401,8300
53,Dinajpur,169,270,169,270,172,254
54,Gaibandha,195,107,195,107,185,75
55,Kurigram,49,69,49,68,58,76
56,Lalmonirhat,132,356,132,356,129,331
57,Nilphamari,32,49,32,49,34,48
58,Panchagarh,272,542,272,542,271,546
59,Rangpur,234,242,234,242,238,247
60,Thakurgaon,51,55,51,55,61,65
7,Rangpur,1134,1690,1134,1689,1148,1642
61,Habiganj,231,609,232,643,222,580
62,Maulvibazar,189,234,193,238,194,240
63,Sunamganj,64,111,63,105,66,115
64,Sylhet,130,70,165,98,148,98
8,Sylhet,614,1024,653,1084,630,1033
,BANGLADESH,17642,46291,17043,42034,16738,41521
