Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
1,Barguna,0,0,0,0,0,0,0,0,0,0,0,0
2,Barishal,0,1,11,0,0,0,0,29,10,0,29,10
3,Bhola,0,0,0,0,0,0,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0,0,0,0,0,0,0
1,Barishal,0,1,11,0,0,0,0,29,10,0,29,10
7,Bandarban,0,0,0,0,0,0,6,6,7,6,6,7
8,Brahmanbaria,0,17,56,0,0,0,50,61,226,50,61,226
9,Chandpur,0,2,0,0,0,0,8,8,9,8,8,9
10,Chattogram,0,6,33,0,0,0,64,71,125,64,71,125
11,Cumilla,0,5,16,0,0,0,62,52,74,62,52,74
12,Cox's Bazar,0,4,11,0,0,0,73,72,75,73,72,75
13,Feni,0,4,11,0,4,0,30,7,71,30,11,71
14,Khagrachhari,0,4,18,0,0,0,102,92,99,102,92,99
15,Laksmipur,0,3,0,0,0,0,21,20,21,21,20,21
16,Noakhali,0,10,29,0,0,0,72,89,88,72,89,88
17,Rangamati,0,29,838,0,0,0,216,637,672,216,637,672
2,Chattogram,0,84,1012,0,4,0,704,1115,1467,704,1119,1467
18,Dhaka,0,8,19,0,0,0,198,99,101,198,99,101
19,Faridpur,0,16,215,0,0,0,236,231,242,236,231,242
20,Gazipur,0,22,57,0,0,0,172,319,197,172,319,197
21,Gopalganj,0,22,30,0,0,0,563,570,519,563,570,519
22,Kishorganj,0,15,215,0,0,0,162,176,242,162,176,242
23,Madaripur,0,0,0,0,0,0,0,0,0,0,0,0
24,Manikganj,0,6,1,0,0,0,64,70,35,64,70,35
25,Munshiganj,0,0,5,0,0,0,0,0,12,0,0,12
26,Narayanganj,0,3,10,0,0,0,30,42,30,30,42,30
27,Narsingdi,0,19,43,0,0,0,264,292,242,264,292,242
28,Rajbari,0,30,263,0,0,220,438,461,359,438,461,579
29,Shariatpur,0,4,15,0,0,106,9,162,75,9,162,181
30,Tangail,0,24,334,0,0,0,353,333,250,353,333,250
3,Dhaka,0,169,1207,0,0,326,2489,2755,2304,2489,2755,2630
31,Bagerhat,0,27,70,0,0,0,247,246,294,247,246,294
32,Chuadanga,0,13,10736,0,0,13,295,307,197,295,307,210
33,Jashore,0,35,140,0,0,0,815,836,847,815,836,847
34,Jhenaidah,0,39,72,0,0,0,834,783,719,834,783,719
35,Khulna,0,28,70,0,0,0,410,394,392,410,394,392
36,Kushtia,0,112,200,0,0,0,3543,3517,3540,3543,3517,3540
