Zila/Division,,2016-17,,2017-18,,2018-19,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,0,0,0,0,100,124
2,Barishal,0,0,0,0,237,493
3,Bhola,0,0,0,0,77,73
4,Jhallokati,0,0,0,0,75,95
5,Patuakhali,0,0,0,0,137,139
6,Pirojpur,0,0,0,0,130,207
1,Barishal,0,0,0,0,756,1131
7,Bandarban,0,0,0,0,112,128
8,Brahmanbaria,0,0,0,0,235,886
9,Chandpur,0,0,0,0,115,155
10,Chattogram,0,0,0,0,158,201
11,Cumilla,0,0,0,0,382,790
12,Cox's Bazar,0,0,0,0,14,18
13,Feni,0,0,0,0,46,57
14,Khagrachhari,0,0,0,0,206,357
15,Laksmipur,0,0,0,0,243,279
16,Noakhali,0,0,0,0,101,109
17,Rangamati,0,0,0,0,122,206
2,Chattogram,0,0,0,0,1734,3186
18,Dhaka,0,0,0,0,112,127
19,Faridpur,0,0,0,0,536,1255
20,Gazipur,0,0,0,0,121,166
21,Gopalganj,0,0,0,0,217,299
22,Kishorganj,0,0,0,0,229,443
23,Madaripur,0,0,0,0,182,267
24,Manikganj,0,0,0,0,67,70
25,Munshiganj,0,0,0,0,112,127
26,Narayanganj,0,0,0,0,206,437
27,Narsingdi,0,0,0,0,154,254
28,Rajbari,0,0,0,0,378,930
29,Shariatpur,0,0,0,0,322,303
30,Tangail,0,0,0,0,471,1086
3,Dhaka,0,0,0,0,3107,5764
31,Bagerhat,0,0,0,0,198,215
32,Chuadanga,0,0,0,0,80,201
33,Jashore,0,0,0,0,844,1449
34,Jhenaidah,0,0,0,0,538,2249
35,Khulna,0,0,0,0,741,899
36,Kushtia,0,0,0,0,330,1026
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,0,0,0,0,91,148
38,Meherpur,0,0,0,0,140,475
39,Narail,0,0,0,0,126,254
40,Satkhira,0,0,0,0,533,1460
4,Khulna,0,0,0,0,3621,8376
41,Jamalpur,0,0,0,0,392,1177
42,Mymensing,0,0,0,0,682,1977
43,Netrakona,0,0,0,0,177,230
44,Sherpur,0,0,0,0,43,88
5,Mymensing,0,0,0,0,1294,3472
45,Bogura,0,0,0,0,361,1233
46,Joypurhat,0,0,0,0,23,10
47,Naogaon,0,0,0,0,129,336
48,Natore,0,0,0,0,108,126
49,Chapai Nawabganj,0,0,0,0,115,278
50,Pabna,0,0,0,0,376,593
51,Rajshahi,0,0,0,0,89,201
52,Sirajganj,0,0,0,0,177,366
6,Rajshahi,0,0,0,0,1378,3143
53,Dinajpur,0,0,0,0,262,428
54,Gaibandha,0,0,0,0,171,263
55,Kurigram,0,0,0,0,186,283
56,Lalmonirhat,0,0,0,0,131,223
57,Nilphamari,0,0,0,0,126,297
58,Panchagarh,0,0,0,0,194,365
59,Rangpur,0,0,0,0,313,507
60,Thakurgaon,0,0,0,0,173,268
7,Rangpur,0,0,0,0,245,377
61,Habiganj,0,0,0,0,272,441
62,Maulvibazar,0,0,0,0,135,405
63,Sunamganj,0,0,0,0,232,854
64,Sylhet,0,0,0,0,233,385
8,Sylhet,0,0,0,0,872,1885
,BANGLADESH,0,0,0,0,13007,27334
