Zila/Division,,2016-17,,2017-18,,2018-19,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,0,0,0,0,22,39
2,Barishal,0,0,0,0,119,219
3,Bhola,0,0,0,0,171,250
4,Jhallokati,0,0,0,0,69,51
5,Patuakhali,0,0,0,0,70,84
6,Pirojpur,0,0,0,0,1,5
1,Barishal,0,0,0,0,452,648
7,Bandarban,0,0,0,0,103,128
8,Brahmanbaria,0,0,0,0,122,243
9,Chandpur,0,0,0,0,74,146
10,Chattogram,0,0,0,0,106,122
11,Cumilla,0,0,0,0,212,550
12,Cox's Bazar,0,0,0,0,74,209
13,Feni,0,0,0,0,43,99
14,Khagrachhari,0,0,0,0,169,276
15,Laksmipur,0,0,0,0,187,225
16,Noakhali,0,0,0,0,144,165
17,Rangamati,0,0,0,0,72,95
2,Chattogram,0,0,0,0,1306,2258
18,Dhaka,0,0,0,0,134,278
19,Faridpur,0,0,0,0,131,386
20,Gazipur,0,0,0,0,38,33
21,Gopalganj,0,0,0,0,51,64
22,Kishorganj,0,0,0,0,11,22
23,Madaripur,0,0,0,0,49,57
24,Manikganj,0,0,0,0,0,0
25,Munshiganj,0,0,0,0,42,33
26,Narayanganj,0,0,0,0,527,614
27,Narsingdi,0,0,0,0,2,25
28,Rajbari,0,0,0,0,0,0
29,Shariatpur,0,0,0,0,21,14
30,Tangail,0,0,0,0,216,857
3,Dhaka,0,0,0,0,1222,2383
31,Bagerhat,0,0,0,0,0,0
32,Chuadanga,0,0,0,0,79,195
33,Jashore,0,0,0,0,0,0
34,Jhenaidah,0,0,0,0,444,782
35,Khulna,0,0,0,0,187,233
36,Kushtia,0,0,0,0,0,0
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,0,0,0,0,0,0
38,Meherpur,0,0,0,0,65,183
39,Narail,0,0,0,0,44,50
40,Satkhira,0,0,0,0,0,0
4,Khulna,0,0,0,0,819,1443
41,Jamalpur,0,0,0,0,169,394
42,Mymensing,0,0,0,0,118,391
43,Netrakona,0,0,0,0,71,118
44,Sherpur,0,0,0,0,94,331
5,Mymensing,0,0,0,0,452,1234
45,Bogura,0,0,0,0,69,119
46,Joypurhat,0,0,0,0,19,17
47,Naogaon,0,0,0,0,57,133
48,Natore,0,0,0,0,15,3
49,Chapai Nawabganj,0,0,0,0,5,3
50,Pabna,0,0,0,0,0,0
51,Rajshahi,0,0,0,0,0,0
52,Sirajganj,0,0,0,0,64,107
6,Rajshahi,0,0,0,0,229,382
53,Dinajpur,0,0,0,0,110,128
54,Gaibandha,0,0,0,0,98,187
55,Kurigram,0,0,0,0,85,117
56,Lalmonirhat,0,0,0,0,97,187
57,Nilphamari,0,0,0,0,120,250
58,Panchagarh,0,0,0,0,167,178
59,Rangpur,0,0,0,0,295,615
60,Thakurgaon,0,0,0,0,81,98
7,Rangpur,0,0,0,0,1053,1760
61,Habiganj,0,0,0,0,34,38
62,Maulvibazar,0,0,0,0,0,0
63,Sunamganj,0,0,0,0,38,45
64,Sylhet,0,0,0,0,60,83
8,Sylhet,0,0,0,0,132,166
,BANGLADESH,0,0,0,0,5665,10274
