Zila/Division,,2016-17,,2017-18,,2018-19,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,129,280,138,434,137,500
2,Barishal,703,3266,710,3308,724,3336
3,Bhola,829,3333,611,2302,771,1908
4,Jhallokati,672,7486,698,3378,803,5198
5,Patuakhali,290,541,283,867,285,980
6,Pirojpur,706,2168,716,2201,705,2202
1,Barishal,3329,17074,3156,12490,3425,14124
7,Bandarban,778,1491,786,1515,792,1527
8,Brahmanbaria,1060,2368,645,2046,648,2050
9,Chandpur,1002,4666,998,5168,996,5158
10,Chattogram,1170,5531,1170,5516,1178,5527
11,Cumilla,1695,10760,1527,10687,1650,10247
12,Cox's Bazar,272,1183,271,1205,269,1205
13,Feni,214,1241,226,1253,221,1181
14,Khagrachhari,724,2504,735,2571,756,2676
15,Laksmipur,703,2493,685,2429,676,2390
16,Noakhali,1198,3652,1057,3137,1038,2990
17,Rangamati,616,2480,608,2398,596,2201
2,Chattogram,9432,38369,8708,37925,8820,37152
18,Dhaka,2215,9116,2241,19608,2209,19540
19,Faridpur,472,1479,858,3566,858,3566
20,Gazipur,2520,7680,2508,7368,2510,7393
21,Gopalganj,509,2949,567,3418,574,3710
22,Kishorganj,629,4714,682,5192,655,4950
23,Madaripur,575,1972,725,3099,718,3086
24,Manikganj,711,2374,730,2447,745,2568
25,Munshiganj,524,3469,540,3471,538,2661
26,Narayanganj,1386,5719,1363,5644,1363,5644
27,Narsingdi,1195,10207,1156,9903,1075,8573
28,Rajbari,907,4459,581,3328,585,3349
29,Shariatpur,392,2187,300,2000,419,2399
30,Tangail,2219,10053,2006,9092,2173,9692
3,Dhaka,14254,66378,14257,78136,14422,77131
31,Bagerhat,718,3215,716,3501,519,2231
32,Chuadanga,527,2343,540,2376,819,4938
33,Jashore,982,5478,1006,5445,1029,5791
34,Jhenaidah,837,4218,862,4299,881,4418
35,Khulna,462,1182,473,1218,474,1224
36,Kushtia,444,1935,440,1836,448,1843
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,203,1021,218,1092,223,1141
38,Meherpur,229,1616,236,1689,228,1724
39,Narail,362,1737,350,1708,425,2106
40,Satkhira,458,2526,511,2829,496,2698
4,Khulna,5222,25271,5352,25993,5542,28114
41,Jamalpur,963,4743,1294,6023,1318,6043
42,Mymensingh,1763,13507,1738,1834,1743,10960
43,Netrakona,426,1252,436,1264,462,1273
44,Sherpur,481,2936,485,3006,510,3015
5,Mymensingh,3633,22438,3953,12127,4033,21291
45,Bogura,752,3589,785,3749,748,3579
46,Joypurhat,207,1252,218,1334,215,1331
47,Naogaon,393,1579,394,1600,406,1654
48,Natore,349,1048,311,1000,329,1057
49,Chapai Nawabganj,194,647,210,725,213,730
50,Pabna,512,1158,534,1239,554,1317
51,Rajshahi,944,6260,627,4051,844,5104
52,Sirajganj,728,5311,695,5349,707,5451
6,Rajshahi,4079,20844,3774,19047,4016,20223
53,Dinajpur,660,2991,625,3103,632,3201
54,Gaibandha,440,1101,542,1481,542,1462
55,Kurigram,444,1819,405,1646,476,2048
56,Lalmonirhat,310,2565,290,2179,301,2590
57,Nilphamari,277,2270,257,2022,282,2313
58,Panchagarh,509,2293,527,2856,548,2974
59,Rangpur,472,1462,545,1743,555,1758
60,Thakurgaon,237,851,239,853,251,898
7,Rangpur,3349,15352,3430,15883,3587,17244
61,Habiganj,767,7340,815,7766,928,7783
62,Maulvibazar,567,3899,568,3908,571,3918
63,Sunamganj,797,4875,809,4894,809,4902
64,Sylhet,1235,4244,1237,4146,1238,4151
8,Sylhet,3366,20358,3429,20714,3546,20754
,BANGLADESH,46664,226084,46059,222315,47391,236033
