Zila/Division,,2016-17,,2017-18,,2018-19,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,0,0,35,65,30,31
2,Barishal,0,0,0,0,0,0
3,Bhola,0,0,121,329,111,311
4,Jhallokati,0,0,0,0,0,0
5,Patuakhali,1,1,72,109,1,1
6,Pirojpur,0,0,0,0,0,0
1,Barishal,1,1,228,503,142,343
7,Bandarban,5,6,5,6,5,6
8,Brahmanbaria,14,17,15,17,15,17
9,Chandpur,24,58,22,25,21,47
10,Chattogram,39,133,39,135,39,135
11,Cumilla,7,12,6,7,11,24
12,Cox's Bazar,14,14,13,12,13,12
13,Feni,1,1,21,42,1,1
14,Khagrachhari,12,21,12,21,10,19
15,Laksmipur,7,13,7,13,7,3
16,Noakhali,40,33,34,46,7,7
17,Rangamati,0,0,0,0,0,0
2,Chattogram,163,308,174,324,129,271
18,Dhaka,413,2759,399,2943,435,3103
19,Faridpur,15,42,16,44,20,50
20,Gazipur,44,167,49,190,52,204
21,Gopalganj,0,0,0,0,0,0
22,Kishorganj,48,155,49,153,40,127
23,Madaripur,0,0,0,0,0,0
24,Manikganj,1122,3298,1122,3324,1127,3316
25,Munshiganj,0,0,0,0,0,0
26,Narayanganj,39,73,39,73,39,73
27,Narsingdi,1,1,1,2,1,2
28,Rajbari,46,95,45,50,45,50
29,Shariatpur,7,8,5,7,9,9
30,Tangail,106,354,105,355,100,340
3,Dhaka,1841,6952,1830,7141,1868,7274
31,Bagerhat,33,77,31,76,41,85
32,Chuadanga,55,215,63,251,71,267
33,Jashore,106,405,111,415,114,423
34,Jhenaidah,64,224,67,245,59,196
35,Khulna,13,26,15,31,14,27
36,Kushtia,58,137,63,174,72,195
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,24,85,20,79,22,73
38,Meherpur,25,75,36,108,32,95
39,Narail,4,3,7,11,0,0
40,Satkhira,87,325,82,299,87,311
4,Khulna,469,1572,495,1689,512,1672
41,Jamalpur,119,316,316,1477,303,1318
42,Mymensingh,89,281,92,300,96,303
43,Netrakona,20,18,21,19,21,20
44,Sherpur,81,272,134,516,147,565
5,Mymensingh,309,887,563,2312,567,2206
45,Bogura,130,592,130,585,137,597
46,Joypurhat,43,135,44,137,45,137
47,Naogaon,35,169,37,185,38,195
48,Natore,77,150,72,143,64,146
49,Chapai Nawabganj,0,0,0,0,2,1
50,Pabna,423,3203,432,3202,439,3312
51,Rajshahi,55,217,56,200,51,169
52,Sirajganj,65,249,55,224,48,199
6,Rajshahi,828,4715,826,4676,824,4756
53,Dinajpur,130,230,137,248,136,249
54,Gaibandha,134,265,148,298,151,314
55,Kurigram,65,132,68,138,66,156
56,Lalmonirhat,87,227,93,310,96,364
57,Nilphamari,83,145,81,142,94,345
58,Panchagarh,163,331,169,331,181,599
59,Rangpur,165,387,170,399,197,492
60,Thakurgaon,80,129,86,138,88,145
7,Rangpur,907,1846,952,2004,1009,2664
61,Habiganj,0,0,0,0,0,0
62,Maulvibazar,6,18,7,18,7,20
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,9,7,9,7,27,40
8,Sylhet,15,25,16,25,34,60
,BANGLADESH,4533,16306,5084,18674,5085,19246
