Zila/Division,,2016-17,,2017-18,,2018-19,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,0,0,0,0,90,130
2,Barishal,0,0,0,0,194,329
3,Bhola,0,0,0,0,228,406
4,Jhallokati,0,0,0,0,32,45
5,Patuakhali,0,0,0,0,75,120
6,Pirojpur,0,0,0,0,58,66
1,Barishal,0,0,0,0,677,1096
7,Bandarban,0,0,0,0,12,18
8,Brahmanbaria,0,0,0,0,160,339
9,Chandpur,0,0,0,0,121,95
10,Chattogram,0,0,0,0,59,132
11,Cumilla,0,0,0,0,821,1930
12,Cox's Bazar,0,0,0,0,850,98
13,Feni,0,0,0,0,5,7
14,Khagrachhari,0,0,0,0,78,90
15,Laksmipur,0,0,0,0,0,0
16,Noakhali,0,0,0,0,22,23
17,Rangamati,0,0,0,0,13,20
2,Chattogram,0,0,0,0,2141,2752
18,Dhaka,0,0,0,0,1100,1681
19,Faridpur,0,0,0,0,232,364
20,Gazipur,0,0,0,0,121,127
21,Gopalganj,0,0,0,0,453,3236
22,Kishorganj,0,0,0,0,99,208
23,Madaripur,0,0,0,0,423,802
24,Manikganj,0,0,0,0,650,1605
25,Munshiganj,0,0,0,0,505,991
26,Narayanganj,0,0,0,0,0,0
27,Narsingdi,0,0,0,0,1044,1611
28,Rajbari,0,0,0,0,301,652
29,Shariatpur,0,0,0,0,442,644
30,Tangail,0,0,0,0,730,1617
3,Dhaka,0,0,0,0,6100,13538
31,Bagerhat,0,0,0,0,122,142
32,Chuadanga,0,0,0,0,197,269
33,Jashore,0,0,0,0,793,2082
34,Jhenaidah,0,0,0,0,407,927
35,Khulna,0,0,0,0,625,643
36,Kushtia,0,0,0,0,329,606
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,0,0,0,0,143,424
38,Meherpur,0,0,0,0,80,163
39,Narail,0,0,0,0,369,1091
40,Satkhira,0,0,0,0,169,53
4,Khulna,0,0,0,0,3234,6400
41,Jamalpur,0,0,0,0,280,632
42,Mymensingh,0,0,0,0,456,688
43,Netrakona,0,0,0,0,164,211
44,Sherpur,0,0,0,0,211,690
5,Mymensingh,0,0,0,0,1111,2221
45,Bogura,0,0,0,0,32,61
46,Joypurhat,0,0,0,0,80,88
47,Naogaon,0,0,0,0,193,360
48,Natore,0,0,0,0,274,435
49,Chapai Nawabganj,0,0,0,0,140,298
50,Pabna,0,0,0,0,107,295
51,Rajshahi,0,0,0,0,120,104
52,Sirajganj,0,0,0,0,145,146
6,Rajshahi,0,0,0,0,1091,1787
53,Dinajpur,0,0,0,0,91,140
54,Gaibandha,0,0,0,0,138,187
55,Kurigram,0,0,0,0,226,180
56,Lalmonirhat,0,0,0,0,79,225
57,Nilphamari,0,0,0,0,31,51
58,Panchagarh,0,0,0,0,218,411
59,Rangpur,0,0,0,0,69,58
60,Thakurgaon,0,0,0,0,183,165
7,Rangpur,0,0,0,0,1035,1417
61,Habiganj,0,0,0,0,0,0
62,Maulvibazar,0,0,0,0,49,198
63,Sunamganj,0,0,0,0,53,55
64,Sylhet,0,0,0,0,57,39
8,Sylhet,0,0,0,0,159,292
,BANGLADESH,0,0,0,0,15548,29503
