Zila/Division,,2016-17,,2017-18,,2018-19,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,0,0,0,0,76,230
2,Barishal,0,0,0,0,235,899
3,Bhola,0,0,0,0,74,266
4,Jhallokati,0,0,0,0,251,922
5,Patuakhali,0,0,0,0,55,170
6,Pirojpur,0,0,0,0,483,1306
1,Barishal,0,0,0,0,1174,3793
7,Bandarban,0,0,0,0,24,22
8,Brahmanbaria,0,0,0,0,43,64
9,Chandpur,0,0,0,0,0,0
10,Chattogram,0,0,0,0,88,160
11,Cumilla,0,0,0,0,1,3
12,Cox's Bazar,0,0,0,0,0,0
13,Feni,0,0,0,0,0,0
14,Khagrachhari,0,0,0,0,15,25
15,Laksmipur,0,0,0,0,0,0
16,Noakhali,0,0,0,0,3,3
17,Rangamati,0,0,0,0,2,1
2,Chattogram,0,0,0,0,176,278
18,Dhaka,0,0,0,0,29,40
19,Faridpur,0,0,0,0,113,209
20,Gazipur,0,0,0,0,75,290
21,Gopalganj,0,0,0,0,0,0
22,Kishorganj,0,0,0,0,39,110
23,Madaripur,0,0,0,0,35,157
24,Manikganj,0,0,0,0,0,0
25,Munshiganj,0,0,0,0,9,5
26,Narayanganj,0,0,0,0,14,13
27,Narsingdi,0,0,0,0,73,116
28,Rajbari,0,0,0,0,27,87
29,Shariatpur,0,0,0,0,0,0
30,Tangail,0,0,0,0,25,58
3,Dhaka,0,0,0,0,439,1085
31,Bagerhat,0,0,0,0,560,1314
32,Chuadanga,0,0,0,0,33,146
33,Jashore,0,0,0,0,0,0
34,Jhenaidah,0,0,0,0,115,336
35,Khulna,0,0,0,0,211,292
36,Kushtia,0,0,0,0,0,0
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,0,0,0,0,0,0
38,Meherpur,0,0,0,0,0,0
39,Narail,0,0,0,0,0,0
40,Satkhira,0,0,0,0,115,105
4,Khulna,0,0,0,0,1034,2193
41,Jamalpur,0,0,0,0,48,112
42,Mymensingh,0,0,0,0,8,9
43,Netrakona,0,0,0,0,0,0
44,Sherpur,0,0,0,0,0,0
5,Mymensingh,0,0,0,0,56,121
45,Bogura,0,0,0,0,0,0
46,Joypurhat,0,0,0,0,0,0
47,Naogaon,0,0,0,0,0,0
48,Natore,0,0,0,0,0,0
49,Chapai Nawabganj,0,0,0,0,0,0
50,Pabna,0,0,0,0,0,0
51,Rajshahi,0,0,0,0,0,0
52,Sirajganj,0,0,0,0,0,0
6,Rajshahi,0,0,0,0,0,0
53,Dinajpur,0,0,0,0,4,5
54,Gaibandha,0,0,0,0,0,0
55,Kurigram,0,0,0,0,0,0
56,Lalmonirhat,0,0,0,0,0,0
57,Nilphamari,0,0,0,0,0,0
58,Panchagarh,0,0,0,0,22,29
59,Rangpur,0,0,0,0,0,0
60,Thakurgaon,0,0,0,0,8,9
7,Rangpur,0,0,0,0,34,43
61,Habiganj,0,0,0,0,0,0
62,Maulvibazar,0,0,0,0,32,131
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,0,0,0,0,20,24
8,Sylhet,0,0,0,0,52,0
,BANGLADESH,0,0,0,0,2965,7513
