Zila/Division,,2017-18,,,,,2018-19,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
1,Barguna,0,0,0,0.00,0.000,0,0,0,0.000,0
2,Barishal,0,0,0,0.00,0.000,0,0,0,0.000,0
3,Bhola,0,0,0,0.00,0.000,185,75,102.00,9.408,704
4,Jhalakathi,0,0,0,0.00,0.000,0,0,,0.000,0
5,Patuakhali,0,0,0,0.00,0.000,0,0,0,0.000,0
6,Pirojpur,0,0,0,0.00,0.000,0,0,0,0.000,0
1,"Barishal
Division",0,0,0,0.00,0.000,185,75,102,9.4084434,704
7,Bandarban,1172,474,100.25,9.247,4386,1193,483,104.05,9.598,4634
8,Brahmanbaria,901,365,96.51,8.902,3246,893,362,78.19,7.212,2607
9,Chandpur,9050,3662,98.00,9.039,33106,2071,838,81.05,7.476,6266
10,Chattogram,9572,3874,150.26,13.860,53688,8499,3440,131.53,12.132,41730
11,Cumilla,367,149,99.02,9.134,1356,192,78,84.56,7.800,606
12,Cox' Bazar,1934,783,135.68,12.515,9795,1992,806,128.15,11.821,9530
13,Feni,0,0,0.00,0.000,0,43,17,0,0.000,0
14,Khagrachari,970,393,99.63,9.190,3607,984,398,91.1,8.403,3346
15,Laksmipur,0,0,0.00,0.000,0,68,28,0,0.000,0
16,Noakhali,0,0,0.00,0.000,0,0,0,0,0.000,0
17,Rangamati,0,0,0.00,0.000,0,0,0,0,0.000,0
2,"Chattogram
Division",23966,9699,122.05,11.258,109183,15936,6449,115.5,10.656,68718
18,Dhaka,0,0,0.00,0.000,0,0,0,0,0.000,0
19,Faridpur,0,0,0.00,0.000,0,0,0,0,0.000,0
20,Gazipur,120,49,96.07,8.861,430,106,43,75.52,6.966,299
21,Gopalgonj,0,0,0.00,0.000,0,0,0,0,0.000,0
22,Kishoregonj,4143,1677,80.45,7.421,12441,3575,1447,74.60,6.881,9955
23,Madaripur,0,0,0.00,0.000,0,0,0,0,0.000,0
24,Manikgonj,57,23,106.50,9.824,227,0,0,0,0.000,0
25,Munsigonj,0,0,0.00,0.000,0,0,0,0,0.000,0
26,Narayanganj,0,0,0.00,0.000,0,0,0,0,0.000,0
27,Narsingdi,163,66,88.70,8.182,540,239,97,77.93,7.188,694
28,Rajbari,0,0,0.00,0.000,0,0,0,0,0.000,0
29,Shariatpur,10,4,85.20,7.859,32,0,0,0,0.000,0
30,Tangail,3478,1407,99.75,9.201,12950,3052,1235,101.92,9.401,11611
3,"Dhaka
Division",7971,3226,89.47,8.252,26620,6972,2821,86.688,7.996,22559
31,Bagerhat,0,0,0.00,0,0,0,0,0.00,0.000,0
32,Chuadanga,0,0,0.00,0,0,0,0,0.00,0.000,0
