Zila/Division,,2016-17,,2017-18,,2018-19,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,83,96,73,73,85,101
2,Barishal,0,0,0,0,0,0
3,Bhola,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0
1,Barishal,83,96,73,73,85,101
7,Bandarban,0,0,0,0,0,0
8,Brahmanbaria,270,3407,270,3407,78,117
9,Chandpur,0,0,0,0,0,0
10,Chattogram,304,476,0,0,73,291
11,Cumilla,0,0,0,0,0,0
12,Cox's Bazar,0,0,0,0,0,0
13,Feni,0,0,0,0,0,0
14,Khagrachhari,0,0,0,0,0,0
15,Laksmipur,2,7,2,7,3,8
16,Noakhali,5,4,5,4,5,4
17,Rangamati,0,0,0,0,0,0
2,Chattogram,581,3893,277,3418,159,420
18,Dhaka,5161,19464,5172,22684,5206,22571
19,Faridpur,365,552,357,564,357,546
20,Gazipur,18,77,0,0,0,0
21,Gopalganj,63,86,66,92,68,94
22,Kishorganj,14,53,13,51,0,0
23,Madaripur,1579,8374,2370,8337,2371,3336
24,Manikganj,76,284,0,0,87,334
25,Munshiganj,80,527,0,0,119,1360
26,Narayanganj,65,100,51,80,41,63
27,Narsingdi,0,0,0,0,0,0
28,Rajbari,32,61,44,121,44,121
29,Shariatpur,366,549,373,559,5523,2855
30,Tangail,495,1297,486,1284,486,1284
3,Dhaka,8314,31424,8932,33772,14302,32564
31,Bagerhat,1,8,2,10,4,30
32,Chuadanga,121,2247,25,280,195,458
33,Jashore,63,44,65,50,69,53
34,Jhenaidah,95,1167,188,2332,1469,1736
35,Khulna,2,13,5,15,0,0
36,Kushtia,54,500,55,532,30,502
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,24,335,25,355,24,345
38,Meherpur,225,1569,225,1573,251,1749
39,Narail,0,0,0,0,0,0
40,Satkhira,0,0,0,0,0,0
4,Khulna,585,5883,590,5147,2042,4873
41,Jamalpur,0,0,16,34,27,56
42,Mymensingh,13,26,19,36,20,38
43,Netrakona,0,0,0,0,0,0
44,Sherpur,0,0,0,0,0,0
5,Mymensingh,13,26,35,70,47,94
45,Bogura,66,638,64,418,70,460
46,Joypurhat,0,0,0,0,0,0
47,Naogaon,4,23,8,43,1,3
48,Natore,0,0,0,0,0,0
49,Chapai Nawabganj,0,0,0,0,37,83
50,Pabna,7498,52904,8156,66166,8259,67236
51,Rajshahi,0,0,0,0,0,0
52,Sirajganj,19948,104202,19954,104237,19750,103880
6,Rajshahi,27516,157767,28182,170864,28117,171662
53,Dinajpur,37,100,41,115,59,158
54,Gaibandha,0,0,20,80,26,104
55,Kurigram,0,0,0,0,0,0
56,Lalmonirhat,0,0,0,0,12,148
57,Nilphamari,40,133,43,146,35,107
58,Panchagarh,0,0,0,0,0,0
59,Rangpur,24,57,29,87,83,321
60,Thakurgaon,0,0,0,0,0,0
7,Rangpur,101,290,133,428,215,838
61,Habiganj,0,0,0,0,0,0
62,Maulvibazar,0,0,0,0,0,0
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,0,0,0,0,0,0
8,Sylhet,0,0,0,0,0,0
,BANGLADESH,37193,199380,38222,213772,44967,210552
