Zila/Division,,2016-17,,2017-18,,2018-19,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,14,4,0,0,13,3
2,Barishal,0,0,0,0,0,0
3,Bhola,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0
1,Barishal,14,4,0,0,13,3
7,Bandarban,0,0,5,1,6,3
8,Brahmanbaria,9,2,7,1,6,2
9,Chandpur,0,0,0,0,0,0
10,Chattogram,158,172,157,171,44,18
11,Cumilla,2,1,1,1,1,2
12,Cox's Bazar,3,5,3,5,2,2
13,Feni,0,0,0,0,0,0
14,Khagrachhari,0,0,0,0,0,0
15,Laksmipur,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0
17,Rangamati,38,16,34,15,39,15
2,Chattogram,210,196,207,194,98,42
18,Dhaka,0,0,0,0,0,0
19,Faridpur,5,9,4,5,5,6
20,Gazipur,9,4,10,4,10,3
21,Gopalganj,0,0,0,0,0,0
22,Kishorganj,1,1,1,1,22,48
23,Madaripur,5,1,4,2,4,1
24,Manikganj,0,0,0,0,0,0
25,Munshiganj,0,0,0,0,0,0
26,Narayanganj,44,63,46,63,43,57
27,Narsingdi,0,0,0,0,0,0
28,Rajbari,0,0,0,0,0,0
29,Shariatpur,0,0,0,0,0,0
30,Tangail,2,6,2,6,2,2
3,Dhaka,66,84,67,81,86,117
31,Bagerhat,15,5,16,6,17,8
32,Chuadanga,96,452,96,453,101,354
33,Jashore,273,612,275,618,756,2457
34,Jhenaidah,1296,1926,472,577,390,516
35,Khulna,0,0,5,1,7,2
36,Kushtia,0,0,0,0,0,0
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,2,1,2,1,2,2
38,Meherpur,0,0,0,0,0,0
39,Narail,0,0,0,0,0,0
40,Satkhira,1,0.424,1,1,2,2
4,Khulna,1683,2996.424,867,1657,1275,3341
41,Jamalpur,0,0,0,0,0,0
42,Mymensingh,0,0,0,0,0,0
43,Netrakona,0,0,0,0,0,0
44,Sherpur,0,0,0,0,0,0
5,Mymensingh,0,0,0,0,0,0
45,Bogura,11,7,11,9,11,8
46,Joypurhat,0,0,0,0,0,0
47,Naogaon,7,13,7,15,8,17
48,Natore,0,0,0,0,0,0
49,Chapai Nawabganj,0,0,0,0,5,8
50,Pabna,0,0,0,0,0,0
51,Rajshahi,1,1,0,0,0.1,0.11
52,Sirajganj,3,3,0,0,0.41,0.47
6,Rajshahi,22,24,18,24,25,35
53,Dinajpur,2,2,3,2,4,3
54,Gaibandha,0,0,0,0,0,0
55,Kurigram,0,0,0,0,0,0
56,Lalmonirhat,0,0,0,0,0,0
57,Nilphamari,0,0,0,0,0,0
58,Panchagarh,0,0,0,0,0,0
59,Rangpur,20,20,22,22,22,23
60,Thakurgaon,0,0,0,0,0,0
7,Rangpur,22,22,25,24,26,26
61,Habiganj,0,0,0,0,0,0
62,Maulvibazar,0,0,0,0,0,0
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,3,1,3,1,3,2
8,Sylhet,3,1,3,1,3,2
,BANGLADESH,2020,3327.424,1187,1981,1526,3566
