Hobigonj,14379,24711,50.00,12356,26735,48.10,48000
Maulvibazar,274,553,27.00,149,423,47.42,749
Sunamgonj,42872,8128,11.00,894,43766,51.80,84624
Sylhet,900,2532,36.00,912,1812,42.40,2867
Netrokona,2171,0,0.00,0,2171,50.40,4084
Kishoregonj,0,0,0.00,0,0,0,0
Bangladesh,60596,35924,39.84,14311,74906,50.19,140325
Maulvibazar,19822,14089,14.75,2078,21900,37.72,30834
Sunamgonj,307233,40009,9.47,3789,311022,39.40,457376
Sylhet,33146,52431,32.75,17169,50315,30.80,57840
Netrokona,33113,21790,36.00,7844,40957,43.57,66611
Kishoregonj,91120,15990,39.00,6236,97356,46.90,170437
Bangladesh,515983,188341,31.50,59325,575309,40.31,865696
