District/Division,,"Total
area","Forest
area","Not available
for cultivation
area","Culturable
waste area","Current
fallow
area","Single
cropped
area","Double
cropped area","Triple
cropped area","Quardruple
Cropped
area","Net
cropped
area","Gross
cropped
area"
1,,2,3,4,5,6,7,8,9,10,11,12
39,Jashore,644,0,178,3,14,28,268,152,1,449,1024
40,Jhenaidah,486,0,149,2,0,26,203,106,0,335,750
41,Magura,257,0,68,9,15,10,89,65,1,165,387
42,Narail,239,0,87,0,1,15,88,48,0,151,335
43,Khulna,1086,546,195,10,44,185,78,28,0,291,425
44,Bagerhat,978,567,87,9,16,181,78,39,1,299,458
45,Satkhira,943,370,136,13,45,236,111,31,1,379,555
46,Kushtia,398,0,132,9,11,17,107,122,0,246,597
47,Chuadanga,290,0,78,1,0,10,67,134,0,211,546
48,Meherpur,186,0,62,0,2,3,20,103,1,122,346
6,"Khulna
Division",5507,1483,1172,56,148,711,1104,828,5,2648,5423
49,Rajshahi,599,0,127,0,0,102,245,122,3,472,970
50,Naogoan,849,7,128,1,0,175,355,181,2,713,1436
51,Natore,470,0,126,2,5,77,189,71,0,337,668
52,"Chapai
Nawbganj",421,0,103,2,0,65,176,75,0,316,642
53,Bogura,716,0,191,0,0,4,291,228,1,524,1274
54,Joypurhat,250,0,60,1,0,4,104,81,0,189,455
55,Pabna,587,0,198,2,0,40,235,110,2,387,848
56,Sirajganj,594,0,217,1,16,16,234,109,1,360,815
7,"Rajshahi
Division",4486,7,1150,9,21,483,1829,977,9,3298,7108
57,Rangpur,593,3,142,1,0,24,289,132,2,447,1006
58,Gaibandah,523,0,149,1,18,56,228,71,0,355,725
59,Kurigram,555,0,218,5,7,60,212,51,2,325,645
60,Nilphamari,382,1,94,2,0,6,192,87,1,285,655
61,Lalmonirhat,308,0,101,2,1,6,128,72,0,204,478
62,Dinajpur,851,18,160,2,0,56,399,215,1,671,1503
63,Thakurgaon,440,2,52,1,0,13,259,111,1,384,868
64,Panchagarh,347,5,80,2,0,29,162,69,0,260,560
8,"Rangpur
Division",3999,29,996,16,24,250,1869,808,7,2934,6440
BANGLADESH,,36465,6368,8841,575,907,5514,9800,4418,42,19774,38536
