station name,Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep,Oct,Nov,Dec,Annual
Dhaka,2018,68,61,59,69,79,81,81,78,77,72,68,68,71
Tangail,2018,80,72,69,76,81,80,83,82,81,79,***,***,***
Mymensinghh,2018,82,76,75,79,82,84,85,83,84,84,81,84,81
Faridpur,2018,80,73,68,76,82,83,85,83,83,***,***,***,***
Madaripur,2018,80,76,72,78,84,87,87,84,84,89,***,***,***
Srimangal,2018,86,78,73,79,83,83,84,84,84,85,82,85,82
Sylhet,2018,81,71,67,75,83,84,85,83,85,***,***,***,***
Bogra,2018,80,69,67,74,79,80,83,81,80,77,71,***,***
Dinajpur,2018,84,72,68,76,79,79,81,81,81,80,76,76,77
Ishurdi,2018,82,73,67,77,81,80,85,82,81,81,77,86,79
Rajshahi,2018,83,75,67,75,82,81,86,84,84,82,80,78,79
Rangpur,2018,84,74,69,77,79,81,81,80,82,80,77,77,78
Sayedpur,2018,84,84,***,70,***,78,***,81,81,***,80,***,***
Chuadanga,2018,79,73,67,74,79,81,86,85,83,82,78,79,78
Jessore,2018,78,71,68,72,77,79,82,82,81,***,***,***,***
Khulna,2018,78,73,71,73,79,82,86,83,83,80,***,***,***
Mongla,2018,75,72,72,73,80,86,88,86,86,***,***,***,***
Satkhira,2018,77,71,70,72,76,80,84,84,83,81,80,78,78
Barisal,2018,80,76,74,78,85,86,88,85,84,84,82,82,82
Bhola,2018,81,77,75,76,85,86,87,86,85,84,89,***,***
Khepupara,2018,78,78,77,77,81,87,87,86,85,***,***,***,***
Patuakhali,2018,79,75,75,78,85,88,89,87,86,84,82,80,82
Chandpur,2018,77,73,69,74,82,85,85,83,81,78,76,75,78
Teknaf,2018,70,75,81,79,74,83,86,84,***,***,***,***,***
Ambagan(Ctg),2018,78,73,75,78,84,89,90,85,85,87,***,***,***
Cumilla,2018,75,75,74,77,82,83,83,81,82,80,77,76,78
Cox's Bazar,2018,72,71,75,74,79,87,90,87,85,85,76,89,80
Feni,2018,78,73,71,74,83,84,86,83,82,82,90,***,***
Hatiya,2018,83,83,80,81,87,89,90,87,88,***,***,***,***
Kutubdia,2018,72,76,79,75,78,85,86,83,84,***,***,***,***
M.court,2018,78,76,74,77,84,86,88,84,84,81,78,***,***
Rangamati,2018,77,68,63,70,77,79,80,75,76,81,74,98,76
Sandwip,2018,81,78,78,79,85,87,88,86,86,85,***,***,***
Chattogram,2018,71,72,76,76,79,85,85,82,81,82,73,72,77
Sitakunda,2018,81,77,78,76,83,84,86,85,86,85,79,80,81
