"Name of
Distict/Division",September,,,,,,,
,Without food,,With food,,Without food,,With food,
,Male,Female,Male,Female,Male,Female,Male,Female
Bandarban,361,256,328,224,0,0,0,0
0Khagrachari,325,250,0,0,0,0,0,0
Rangamati,407,305,375,278,0,0,0,0
Chattogram,483,350,450,322,0,0,0,0
Coxs Bazar,485,375,455,345,0,0,0,0
Cumilla,372,330,340,0,0,0,0,0
Chandpur,350,0,320,0,0,0,0,0
Brahmmanbaria,332,300,305,272,0,0,0,0
Noakhali,409,0,374,0,0,0,0,0
Lakshmipur,330,0,295,0,0,0,0,0
Feni,415,0,386,0,0,0,0,0
Chattogram,388,309,363,288,0,0,0,0
DSyivlhiseito n,367,300,335,270,0,0,0,0
Moulvibazar,363,280,332,252,0,0,0,0
Sunamganj,319,268,284,240,0,0,0,0
Habiganj,358,257,330,232,0,0,0,0
Sylhet Division,352,276,320,249,0,0,0,0
Dhaka,405,325,373,300,0,0,0,0
Gazipur,440,332,410,305,0,0,0,0
Manikganj,353,281,325,253,0,0,0,0
Munshiganj,383,320,355,292,0,0,0,0
Narayanganj,407,325,375,300,0,0,0,0
Narsingdi,390,305,360,278,0,0,0,0
Faridpur,400,0,370,0,0,0,0,0
Rajbari,442,0,410,0,0,0,0,0
Madaripur,375,300,345,267,0,0,0,0
Gopalganj,404,300,373,272,0,0,0,0
Shariatpur,360,270,330,240,0,0,0,0
Tangail,331,250,300,0,0,0,0,0
Kishoreganj,350,0,322,0,0,0,0,0
Dhaka Division,388,301,358,279,0,0,0,0
Mymensingh,348,255,318,230,0,0,0,0
Jamalpur,350,0,320,235,0,0,0,0
Sherpur,340,246,312,0,0,0,0,0
Netrokona,341,250,314,0,0,0,0,0
Mymensingh,345,250,316,233,0,0,0,0
DBaivriissaiol n,399,0,370,0,0,0,0,0
Jhalokathi,466,0,435,0,0,0,0,0
Perojpur,460,350,430,318,0,0,0,0
Bhola,413,0,380,0,0,0,0,0
Patuakhali,394,0,375,0,0,0,0,0
Barguna,400,0,367,0,0,0,0,0
Barisal Division,422,350,393,318,0,0,0,0
,Without food,,With food,,Without food,,With food,
,Male,Female,Male,Female,Male,Female,Male,Female
Jashore,320,250,290,0,0,0,0,0
Jhenaidah,342,253,312,227,0,0,0,0
Magura,370,0,341,0,0,0,0,0
Narail,325,245,295,220,0,0,0,0
Khulna,359,0,330,0,0,0,0,0
Bagerhat,374,252,342,0,0,0,0,0
Satkhira,340,250,0,0,0,0,0,0
Kushtia,330,0,300,250,0,0,0,0
Chuadanga,300,0,272,245,0,0,0,0
Meherpur,305,0,275,0,0,0,0,0
Khulna Division,337,250,306,236,0,0,0,0
Rajshahi,328,267,301,240,0,0,0,0
Naogaon,302,250,276,222,0,0,0,0
Natore,328,237,300,210,0,0,0,0
Chapai,305,248,274,220,0,0,0,0
NBoagwraab ganj,330,250,300,221,0,0,0,0
Joypurhat,335,290,308,263,0,0,0,0
Pabna,360,282,331,244,0,0,0,0
Sirajganj,328,275,298,252,0,0,0,0
Rajshahi,327,262,299,234,0,0,0,0
DRaivnisgipounr,320,227,295,202,0,0,0,0
Gaibandha,252,220,0,0,0,0,0,0
Kurigram,332,230,299,205,0,0,0,0
Nilphamari,315,235,284,210,0,0,0,0
Lalmonirhat,300,225,272,203,0,0,0,0
Dinajpur,342,240,313,215,0,0,0,0
Thakurgaon,320,272,284,238,0,0,0,0
Panchagarh,325,250,295,223,0,0,0,0
Rangpur,313,237,292,214,0,0,0,0
DBAivNisGioLnA DESH,359,279,331,256,0,0,0,0
