District name,March-18,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,400,250,0,0,0,0,430,300
Khagrachari,400,250,0,0,0,0,439,292
Rangamati,425,325,380,275,325,225,455,350
Chattogram,464,335,442,322,409,297,495,350
Coxbazar,500,350,450,300,400,250,550,400
Cumilla,475,371,372,314,322,200,515,412
Chandpur,0,0,0,0,0,0,367,0
Brahmmanbaria,355,240,300,0,260,225,370,260
Noakhali,469,0,0,0,420,,505,0
Lakshmipur,390,0,0,0,0,0,480,0
Feni,0,0,0,0,438,0,487,0
Chattogram Division,431,303,389,303,368,239,463,338
Sylhet,388,350,363,268,300,0,397,360
Moulvibazar,341,250,320,241,0,0,381,291
Sunamganj,296,207,0,0,0,0,302,223
Habiganj,350,205,0,200,365,0,375,235
Sylhet Division,344,253,342,236,333,0,364,277
Dhaka,397,350,367,300,323,250,440,400
Gazipur,428,267,0,0,379,250,496,306
Manikganj,384,348,340,260,329,255,365,350
Munshiganj,400,300,0,0,316,300,405,350
Narayanganj,435,300,416,269,390,225,436,324
Narsingdi,0,0,431,244,426,230,466,245
Faridpur,400,350,400,0,0,0,442,0
Rajbari,450,0,0,0,0,0,500,0
Madaripur,263,260,0,0,260,250,325,281
Gopalganj,425,350,412,333,397,283,430,377
Shariatpur,312,190,0,0,0,0,343,271
Tangail,347,289,280,0,0,0,355,270
Kishoreganj,0,0,410,0,362,0,438,0
Dhaka Division,385,300,382,281,354,255,419,318
Mymensingh,460,300,0,0,0,0,480,320
Jamalpur,343,200,315,190,312,187,380,262
Sherpur,0,0,480,0,0,0,550,0
Netrokona,400,0,350,260,0,0,450,350
Mymensingh Division,401,250,382,225,312,187,465,311
