District name,April-18,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,450,350,0,0,0,0,500,400
Khagrachari,400,250,0,0,0,0,438,323
Rangamati,425,325,380,275,325,225,525,425
Chattogram,477,335,443,322,377,300,505,354
Coxbazar,550,350,500,300,450,250,600,400
Cumilla,486,384,457,348,435,310,559,406
Chandpur,0,0,0,0,0,0,380,
Brahmmanbaria,393,250,350,0,312,225,487,277
Noakhali,458,0,404,0,393,0,563,0
Lakshmipur,290,0,0,0,0,0,340,0
Feni,0,0,0,0,431,0,542,0
Chattogram Division,437,321,422,311,389,262,494,369
Sylhet,413,350,368,270,325,0,451,300
Moulvibazar,370,256,289,220,0,0,429,295
Sunamganj,374,262,0,0,0,0,402,294
Habiganj,440,300,0,0,0,0,462,325
Sylhet Division,399,292,329,245,325,0,436,304
Dhaka,410,380,397,350,333,310,427,400
Gazipur,429,363,0,0,408,250,541,374
Manikganj,405,278,341,260,325,255,443,350
Munshiganj,0,0,0,0,339,300,381,300
Narayanganj,435,340,412,319,390,300,458,357
Narsingdi,0,280,393,250,391,200,363,300
Faridpur,400,350,400,0,0,0,433,0
Rajbari,450,0,0,0,0,0,500,0
Madaripur,450,340,0,0,400,250,517,350
Gopalganj,467,383,425,333,354,283,518,453
Shariatpur,384,270,0,0,0,0,432,323
Tangail,358,274,0,0,0,0,367,290
Kishoreganj,0,0,584,,538,0,621,0
Dhaka Division,419,407,422,302,386,269,462,350
Mymensingh,520,350,0,0,0,0,540,370
Jamalpur,384,250,330,240,295,237,431,312
Sherpur,0,0,556,0,0,0,600,450
Netrokona,550,0,525,350,0,0,600,420
Mymensingh Division,485,300,470,295,295,237,543,388
