District name,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barisal,450,0,400,0,0,0,500,0
Jhalokathi,450,0,0,0,0,0,480,0
Perojpur,440,400,0,0,0,0,470,0
Bhola,440,0,0,0,0,0,460,0
Patuakhali,420,0,0,0,0,0,450,0
Barguna,425,0,0,0,0,0,450,0
Barisal Division,438,400,400,0,0,0,468,0
Jashore,0,0,0,0,0,0,322,221
Jhenaidah,386,270,380,258,375,250,427,288
Magura,376,0,345,0,330,0,415,0
Narail,304,0,0,0,402,0,330,318
Khulna,0,0,0,0,0,0,455,345
Bagerhat,450,350,437,340,400,325,450,360
Satkhira,0,0,0,0,0,0,356,231
Kushtia,342,0,330,0,300,0,393,0
Chuadanga,287,0,0,0,0,0,312,0
Meherpur,280,0,0,0,0,0,317,0
Khulna Division,346,310,373,299,361,288,378,294
Rajshahi,373,289,352,250,340,0,390,318
Naogaon,348,301,332,278,324,282,341,310
Natore,320,260,302,242,300,240,360,272
Chapai Nawabganj,313,252,300,240,290,232,319,274
Bogra,360,0,341,0,330,250,370,0
Joypurhat,340,250,0,0,325,260,355,280
Pabna,400,0,341,0,397,200,420,0
Sirajganj,0,0,0,0,0,0,375,0
Rajshahi Division,351,270,328,253,329,244,366,291
Rangpur,360,230,0,0,0,0,385,260
Gaibandha,0,0,0,0,0,0,343,275
Kurigram,330,227,0,0,0,0,345,250
Nilphamari,358,234,0,0,0,0,400,265
Lalmonirhat,359,273,340,250,0,0,372,282
Dinajpur,328,270,325,252,320,0,386,301
Thakurgaon,321,272,0,0,0,0,330,280
Panchagarh,366,248,0,0,0,0,340,268
Rangpur Division,346,251,333,251,320,0,363,273
BANGLADESH,389,305,387,293,366,271,419,309
