"SL
No",Nane of Region,Aman,Boro,Wheat,"Sugar-
cane",Cotton,Potato,Vegetables,"Other
Crops","Total
Irrigated
Area"
1,Bandarban,0,8,0,..,1,2,3,2,16
2,Khagrachari,12,25,0,1,2,2,11,8,61
3,Rangamati,0,18,0,..,0,1,8,4,31
4,Chattogram,5,166,..,2,1,10,60,27,271
5,Coxs Bazar,0,114,0,1,..,4,19,13,151
6,Cumilla,12,380,2,1,0,12,21,15,443
7,Chandpur,..,158,..,1,0,20,7,1,186
8,Brahmmanbaria,18,262,1,0,0,2,10,1,294
9,Noakhali,..,147,0,..,0,..,5,1,153
10,Lakshmipur,0,110,..,..,0,1,5,5,121
11,Feni,0,73,..,..,0,..,6,2,84
,Chattogram Division,42,1461,3,6,4,54,155,79,1811
12,Sylhet,63,134,..,0,0,2,17,10,226
13,Moulvibazar,7,82,..,0,..,4,9,4,106
14,Sunamganj,16,344,1,0,0,2,11,6,380
15,Habiganj,12,207,..,0,0,4,9,5,237
,Sylhet Division,98,767,1,0,0,12,46,25,949
16,Dhaka,6,114,..,0,0,2,3,..,125
17,Gazipur,22,161,,,..,1,8,3,190
18,Manikganj,16,119,..,..,0,2,4,19,160
19,Munshiganj,0,57,..,..,0,75,7,3,143
20,Narayanganj,3,49,..,..,0,5,17,1,85
21,Narsingdi,12,128,..,..,0,..,33,2,167
22,Faridpur,51,72,76,5,0,1,15,77,297
23,Rajbari,75,78,35,0,0,..,8,15,211
24,Madaripur,7,83,11,..,..,2,7,32,142
25,Gopalganj,7,187,15,..,0,1,5,6,221
26,Shariatpur,12,61,7,..,0,3,9,10,102
27,Tangail,71,420,7,1,..,3,21,10,535
28,Kishoreganj,11,392,2,..,..,9,8,3,425
,Dhaka Division,293,1921,153,6,0,104,145,181,2803
29,Mymensingh,22,607,3,1,..,2,26,1,662
30,Jamalpur,47,318,17,9,0,11,17,15,435
31,Sherpur,11,219,2,..,0,10,15,6,262
32,Netrokona,8,421,1,..,0,1,4,4,439
,Mymensingh Division,88,1565,23,10,0,24,62,26,1798
