"Sl.
no",District Name,UpaZila Name,Reserve Forest,,"Protected
Forest","Acqired
Forest","Vested
Forest","Un-
classed
Forest","TotalForest
Area
Control by
F.D","Unclassed
StateForest
R.D","Khas
F.Area","TotalForest
Area (Acres)
(F.D+R.D)"
,,,"20th
Amendments","4&6
Amendments",,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
1,Dhaka,Savar,-,934.74,-,-,-,-,934.74,-,-,934.74
,Toatal,1,-,934.74,-,-,-,-,934.74,-,-,934.74
2,Narayangonj,"Sonargaon
Fatulla","-
-","-
-","-
-","-
-","-
-","-
-","-
-","-
-","-
-","-
-"
,Total,2,-,-,-,-,-,-,-,-,-,-
3,Munshigonj,Munshigonj,-,-,-,-,-,-,-,-,-,-
,Total,1,-,-,-,-,-,-,-,-,-,-
4,Manikgonj,Manikgonj,-,-,-,-,-,-,-,-,-,-
,Toatal,1,-,-,-,-,-,-,-,-,-,-
5,Narshingdi,"Narshingdi
Shibpur","-
-","-
-","-
-","-
-","-
-","-
-","-
-","-
-","-
-","-
-"
,Total,2,-,-,-,-,-,-,-,-,-,-
6,Gazipur,"Gazipur
Kaliakair
Shreepur
Kapasia
Kaligonj","-
677.08
-
-
-","14963.67
18839.97
27583..46
2487.20
69.04","-
-
-
-
-","-
-
-
-
-","-
-
-
-
-","-
-
-
-
-","14963.67
19517.05
27583.46
2487.20
69.04","-
-
-
-
-","-
-
-
-
-","14963.67
19517.05
27583.46
2487.20
69.04"
,Total,5,677.08,63943.34,-,-,-,-,64620.42,-,-,64620.64
7,Tangail,"Sakhipur
Mirzapur
Kalihati
Ghatail
Madhupur","38232.28
7275.93
191.02
7251.01
2526.14","8988.32
300.43
468.27
14604.46
43039.04","-
-
-
-
-","-
-
-
-
-","-
-
-
-
-","-
-
-
-
-","47220.60
7576.36
659.29
21855.47
45565.18","-
-
-
-
-","-
-
-
-
-","47220.60
7576.36
659.29
21855.47
45565.18"
,Total,5,55476.38,67400.52,-,-,-,-,122876.9,-,-,122876.90
8,Mymensinghh,"Bhaluka
Trisal
Fulbaria
Muktagacha
Haluaghat
Dhubaura","603.49
102.17
6436.09
966.82
248.24
-","22317.59
-
86.33
6678.24
1006.97
255.32","-
-
-
-
-
-","-
-
-
-
-
-","-
-
-
-
-
-","-
-
-
-
-
-","22921.08
102.17
6522.42
7645.06
1255.21
255.32","-
-
-
-
-
-","-
-
-
-
-
-","22921.08
102.17
6522.42
7645.06
1255.21
255.32"
,Total,6,8356.81,30344.45,-,-,-,-,38701.26,-,-,38701.26
9,Netrokona,"Durgapur
Kalmakandha","-
-","1398.54
426.14","-
-","-
-","-
-","-
-","1398.54
426.14","-
-","-
-","1398.54
426.14"
,Total,2,-,1824.68,-,-,-,-,1824.68,-,-,1824.68
10,Jamalpur,"Jamalpur sadar
Bakshigonj","-
-","3269.47
7094.92","-
-","-
-","-
-","-
-","3269.47
7094.92","-
-","-
-","3269.47
7094.92"
,Total,2,-,10364.39,-,-,-,-,10364.39,-,-,10364.39
11,Sherpur,"Jhinaighati
Nalitabari
Shreebardi","-
-
-","9464.63
3786
6218.06","-
-
-","-
-
-","-
-
-","-
-
-","9464.63
3786
6218.06","-
-
-","-
-
-","9464.63
3786
6218.06"
,Total,3,-,19468.69,-,-,-,-,19468.69,-,-,19468.69
12,Cumilla,"Cimilla sadar
Choddagram
Chandina
Muradnagar","-
-
-
-","1596.86
81.78
-
-","-
-
-
-","-
-
-
-","-
-
-
-","-
-
-
-","1596.86
81.78
-
-","-
-
-
-","-
-
-
-","1596.86
81.78
-
-"
,Total,4,-,1678.64,-,-,-,-,1678.64,-,-,1678.64
13,Sylhet,"Sylhet sadar
Goinghat
Companigonj
Kanaighat
Jaintapur","1443
14167.29
5833.95
-
-","-
12211.02
18932.02
1706.76
4101.70","-
-
-
-
-","-
-
-
-
-","-
-
-
-
-","-
-
-
-
-","1443
26378.31
24765.97
1706.76
4101.70","-
-
-
517.75
471.13","-
-
-
-
-","1443
26378.31
24765.97
2224.51
4572.83"
,Total,5,21444.24,36951.50,-,-,-,-,58395.74,988.88,-,59384.62
,,,"20th
Amendments","4&6
Amendments",,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
14,Habiganj,"Madhabpur
Chunarughat
Bahubal
Nabiganj","4765
17856.22
3307.63
500","2500
4459.39
-
-","-
-
-
-","-
-
-
-","-
-
-
-","-
-
-
-","7265
22315.61
3307.63
500","-
-
2200
-","-
-
1350
-","7265
22315.61
6857.63
500"
,Total,4,26428.85,6959.39,-,-,-,-,33388.24,2200,1350,36938.24
15,Maulvibazar,"Kamalganj
M.bazar sadar
Kulaura
Sreemangal
Rajnagar
Baralekha","26995.23
885.87
14882.55
2867
274.26
13570.90","841.30
-
3006.58
-
-
1368","-
-
-
-
-
-","-
95
10837
-
-
-","-
-
-
-
-
-","-
-
-
-
-
-","27836.53
980.87
28726.13
2867
274.26
14938.90","-
-
-
1079.41
-
-","-
-
-
-
-
-","27836.53
980.87
28726.13
3946.41
274.26
14938.90"
,Total,6,59475.81,5215.88,-,10932,-,-,75623.69,1079.41,-,76703.10
16,Sunamganj,"Taherpur
Bhisambarpur
S.ganj sadar
Dharmapasha
Chatak
Doarabazar","2102.80
-
600
-
891.40
5087.62","1500
2000
1015
1500
2447.27
470.36","-
-
-
-
-
-","-
-
-
-
-
-","-
-
-
-
-
-","-
-
-
-
-
-","3602.8
2000
1615
1500
3338.67
5557.98","-
-
-
-
-
-","-
-
-
-
-
-","3602.80
2000
1615
1500
3338.67
5557.98"
,Total,6,8681.82,8932.63,-,-,-,-,17614.45,-,-,17614.45
17,Bagerhat,"Sharankhola
Morelganj
Mongla","341,790.00
58,130.00
267,611.00","-
-
-","-
-
-","-
-
-","-
-
-","-
-
-","341790
58130
267611","-
-
-","-
-
-","341790
58130
267611"
,Total,3,"667,511.00",-,-,-,-,-,667531,-,-,667531
"18
19","Khulna
Total
Satkhira","Dakop
Koira
2
Shampur
Debahata
Satkhira sadar","122,240.00
235,160.00
357,400.00
400,965.00
-
-","-
-
-
-
-
-","-
-
-
-
-
-","-
-
-
-
-
-","-
-
-
-
-
-","-
-
-
-
-
-","122240
235160
357400
400965
-
-","-
-
-
-
-
-","-
-
-
-
-
-","122240
235160
357400
400965
-
-"
,Total,3,"400,965.00",-,-,-,-,-,400965,-,-,400965
20,Rangamati,"Rangamati
sadar
Bhagaichari
Langadu
Barkal
Kaptai
Bilaichari
Jurachari
Kawkhali
Naniarchar
Rajasthali","-
333,799.80
6,723.00
582.40
20,804.02
148,622.60
39,915.00
6,329.00
-
16,489.33","7000
-
7514.30
-
10605.17
-
-
6591.74
15000
10,416.50","-
-
-
-
-
-
-
-
-
-","-
-
-
-
1.5
-
-
-
-
-","-
-
-
-
-
-
-
-
-
-","-
-
-
-
-
-
-
-
-
-","7000
333799.80
14237.30
582.40
31410.69
148622.60
39915
12920.74
15000
26905.83","88406
83519.72
82488.60
192866.10
67609.34
37818.40
84095.50
28090.40
66540.36
32456.12","19.80
-
-
-
-
-
-
0.71
-
-","95425.80
417319.52
96725.90
193448.50
99021.03
186441
124010.50
41011.85
81540.36
59361.95"
,Total,10,"573,265.15",57127.71,-,1.5,-,-,630394.36,763890.54,21.51,1394306.41
21,Khagrachari,"Kharachari sadar
Dighinala
Mahalchari
Lakshmichari
Matiranga
Panchari
Ramnagar
Manikchari","7,642.71
71,567.62
5,802.50
-
2,180.00
1,300.00
-
-","1989.29
1825.88
807.50
-
1605
1115
-
-","-
-
-
-
-
-
-
-","-
-
-
-
-
-
-
-","-
-
-
-
-
-
-
-","-
459
1420
165
1225.51
933.25
-
-","9632
73852.50
8030
165
5010.51
3348.25
-
-","59027.25
99820.57
42055.77
34639.39
95049.36
95049.36
31413.83
19863.29","-
-
-
-
-
-
-
-","68659.25
173673.07
50085.77
34804.39
100059.87
10059.87
31413.83
19863.29"
,Total,8,"88,492.83",7342.67,-,-,-,4202.76,100038.26,454077.95,-,554116.21
,,,"20th
Amendments","4&6
Amendments",,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
22,Bandarban,"Bandarban
sadar","9,881.00",3264.63,-,-,-,7770.83,20916.46,104217.97,-,125134.43
,,Roangchari,"40,378.40",1135.6,-,-,-,5600,47114,72207.6,-,119321.60
,,Thanshi,"82,080.00",-,-,-,-,11266,93346,98410.8,-,191756.80
,,Ruma,"7,500.00",-,-,-,-,10757.92,18257.92,71982.08,-,90240
,,Lama,-,8540.19,-,-,-,-,8540.19,41723.28,-,50263.47
,,Naikhongchari,-,4840,-,-,-,1000,5840,77136.08,-,82976.08
